Stock Target Advisor : Analyst Ratings
All rights reserved - Redistribution or sharing without prior permission of Stock Target Advisor is prohibited
Download Date : 2021-01-21
Download Created for User : venky2063@gmail.com 
(C) www.stocktargetadvisor.com
 
Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
AAPL,Apple Inc,NSD,Common Stock,USD ,2168691621888,Loop Capital,Reiterated by,Buy,127.14,155,01/15/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2202001735680,Barclays,Maintains,Equal-Weight,128.91,116,01/14/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2169869172736,Wells Fargo,Target Raised by,Positive - Overweight,128.8,155,01/12/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2255968796672,Credit Suisse,Target Set by,Neutral,129.41,120,01/04/2021
AAPL,Apple Inc,NSD,Common Stock,USD ,2180140761088,RBC Capital,Target Set by,Buy,131.88,132,12/22/2020
AAPL,Apple Inc,NSD,Common Stock,USD ,2188131565568,Citigroup,Target Raised by,,126.66,150,12/18/2020
AAPL,Apple Inc,NSD,Common Stock,USD ,2174190092288,Morgan Stanley,Target Raised by,Overweight,127.81,144,12/16/2020
AAPL,Apple Inc,NSD,Common Stock,USD ,2070479110144,Cascend Securities,Maintains,Buy,127.88,140,12/15/2020
AAPL,Apple Inc,NSD,Common Stock,USD ,2114683797504,Wedbush,Maintains,Outperform,121.78,160,12/09/2020
AAPL,Apple Inc,NSD,Common Stock,USD ,1982239735808,Loop Capital,Upgraded by,Hold - Buy,119.05,131,11/30/2020
