Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
CSCO,Cisco Systems Inc,NSD,Common Stock,USD ,209611882496,Goldman Sachs,Upgrades,Buy,50.51,59,03/25/2021
CSCO,Cisco Systems Inc,NSD,Common Stock,USD ,188122972160,JPMorgan Chase,Upgrades,Overweight,46.25,55,03/05/2021
CSCO,Cisco Systems Inc,NSD,Common Stock,USD ,201049767936,DZ Bank,Upgraded by,Hold - Buy,47.58,52,02/11/2021
CSCO,Cisco Systems Inc,NSD,Common Stock,USD ,204937232384,Citigroup,Target Raised by,,47.24,50,02/10/2021
CSCO,Cisco Systems Inc,NSD,Common Stock,USD ,204937232384,Oppenheimer Holdings,Reiterated by,Buy,47.24,50,02/10/2021
CSCO,Cisco Systems Inc,NSD,Common Stock,USD ,204937232384,Piper Sandler,Target Raised by,Neutral,47.24,47,02/10/2021
CSCO,Cisco Systems Inc,NSD,Common Stock,USD ,204937232384,Raymond James Financial,Target Raised by,Outperform,47.24,50,02/10/2021
CSCO,Cisco Systems Inc,NSD,Common Stock,USD ,204937232384,Goldman Sachs,Target Set by,Neutral,47.24,50,02/10/2021
CSCO,Cisco Systems Inc,NSD,Common Stock,USD ,163226828800,Citigroup,Target Raised by,,41.4,45,11/13/2020
CSCO,Cisco Systems sInc,NSD,Common Stock,USD ,163226828800,RBC Capital,Target Set by,Buy,41.4,49,11/13/2020
