Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
COST,Costco Wholesale Cor..,NSD,Common Stock,USD ,143344648192,Wells Fargo,Upgraded by,Equal Weight - Overweight,328.65,370,03/11/2021
COST,Costco Wholesale Cor..,NSD,Common Stock,USD ,141320372224,Jefferies,Maintains,Buy,317.32,405,03/05/2021
COST,Costco Wholesale Cor..,NSD,Common Stock,USD ,141320372224,Robert W Baird,Target Lowered by,Outperform,317.32,395,03/05/2021
COST,Costco Wholesale Cor..,NSD,Common Stock,USD ,141320372224,Oppenheimer Holdings,Target Lowered by,Top Pick - Outperform,317.32,350,03/05/2021
COST,Costco Wholesale Cor..,NSD,Common Stock,USD ,141320372224,Telsey Advisory Group,Target Lowered by,Outperform,317.32,375,03/05/2021
COST,Costco Wholesale Cor..,NSD,Common Stock,USD ,141320372224,D.A. Davidson,Target Lowered by,Positive - Neutral,317.32,325,03/05/2021
COST,Costco Wholesale Cor..,NSD,Common Stock,USD ,141320372224,Stifel Nicolaus,Target Lowered by,Buy,317.32,370,03/05/2021
COST,Costco Wholesale Cor..,NSD,Common Stock,USD ,141320372224,Loop Capital,Target Lowered by,Buy,317.32,380,03/05/2021
COST,Costco Wholesale Cor..,NSD,Common Stock,USD ,141320372224,RBC Capital,Target Lowered by,Outperform,317.32,399,03/05/2021
COST,Costco Wholesale Cor..,NSD,Common Stock,USD ,141320372224,Wells Fargo,Maintains,Equal-Weight,317.32,340,03/05/2021
