Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
DIS,The Walt Disney Comp..,NYE,Common Stock,USD ,358531989504,Citigroup,Target Raised by,Buy,190.98,230,02/25/2021
DIS,The Walt Disney Comp..,NYE,Common Stock,USD ,358531989504,Citigroup,Maintains,Buy,190.98,230,02/25/2021
DIS,The Walt Disney Comp..,NYE,Common Stock,USD ,338437079040,Argus,Maintains,Buy,186.44,225,02/17/2021
DIS,The Walt Disney Comp..,NYE,Common Stock,USD ,338437079040,Argus,Target Raised by,Buy,186.44,225,02/17/2021
DIS,The Walt Disney Comp..,NYE,Common Stock,USD ,338437079040,UBS,Maintains,Buy,186.44,215,02/17/2021
DIS,The Walt Disney Comp..,NYE,Common Stock,USD ,338437079040,UBS,Target Raised by,Buy,186.44,215,02/17/2021
DIS,The Walt Disney Comp..,NYE,Common Stock,USD ,340669857792,Deutsche Bank,Target Raised by,Buy,186.35,222,02/16/2021
DIS,The Walt Disney Comp..,NYE,Common Stock,USD ,340669857792,Bank of America,Reiterated by,Buy,187.67,223,02/14/2021
DIS,The Walt Disney Comp..,NYE,Common Stock,USD ,340482162688,Rosenblatt Securities,Target Raised by,Buy,187.67,220,02/12/2021
DIS,The Walt Disney Comp..,NYE,Common Stock,USD ,340482162688,Sanford Bernstein,Target Set by,Neutral,187.67,124,02/12/2021
