Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
FB,Facebook Inc,NSD,Common Stock,USD ,725273083904,Jefferies,Target Raised by,Hold,257.62,79,02/26/2021
FB,Facebook Inc,NSD,Common Stock,USD ,770294743040,Loop Capital,Maintains,Buy,273.9,370,02/16/2021
FB,Facebook Inc,NSD,Common Stock,USD ,735638585344,Citigroup,Target Raised by,,262.01,320,02/01/2021
FB,Facebook Inc,NSD,Common Stock,USD ,775133724672,Goldman Sachs,Target Set by,Buy,265,355,01/28/2021
FB,Facebook Inc,NSD,Common Stock,USD ,775133724672,Piper Sandler,Reiterated by,Neutral,265,285,01/28/2021
FB,Facebook Inc,NSD,Common Stock,USD ,775133724672,JMP Securities,Target Raised by,Outperform,265,355,01/28/2021
FB,Facebook Inc,NSD,Common Stock,USD ,775133724672,UBS,Target Raised by,Buy,265,350,01/28/2021
FB,Facebook Inc,NSD,Common Stock,USD ,775133724672,KeyBanc,Maintains,Overweight,265,360,01/28/2021
FB,Facebook Inc,NSD,Common Stock,USD ,775133724672,Pivotal Research,Target Raised by,Hold,265,340,01/28/2021
FB,Facebook Inc,NSD,Common Stock,USD ,775133724672,Morgan Stanley,Target Raised by,Positive - Overweight,265,345,01/28/2021
