Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
GE,General Electric Com..,NYE,Common Stock,USD ,110300676096,Bank of America,Reiterated by,Buy,13.35,15,03/15/2021
GE,General Electric Com..,NYE,Common Stock,USD ,116175200256,Oppenheimer Holdings,Downgrades,Perform,12.27,,03/11/2021
GE,General Electric Com..,NYE,Common Stock,USD ,116175200256,Cowen,Reiterated by,Hold,12.27,10,03/11/2021
GE,General Electric Com..,NYE,Common Stock,USD ,116175200256,Deutsche Bank,Maintains,Hold,12.27,14,03/11/2021
GE,General Electric Com..,NYE,Common Stock,USD ,124241707008,Credit Suisse,Target Set by,Neutral,14.17,13,03/08/2021
GE,General Electric Com..,NYE,Common Stock,USD ,117841100800,Morgan Stanley,Maintains,Overweight,13.57,17,03/04/2021
GE,General Electric Com..,NYE,Common Stock,USD ,117841100800,Morgan Stanley,Target Raised by,Overweight,13.57,17,03/04/2021
GE,General Electric Com..,NYE,Common Stock,USD ,105390637056,Goldman Sachs,Target Raised by,Buy,12.5,15,02/22/2021
GE,General Electric Com..,NYE,Common Stock,USD ,98898935808,Morgan Stanley,Maintains,Overweight,11.38,13,01/27/2021
GE,General Electric Com..,NYE,Common Stock,USD ,97322156032,DZ Bank,Upgrades,Hold,10.93,11,12/16/2020
