Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
GME,GameStop Corp,NYE,Common Stock,USD ,4534252544,Telsey Advisory Group,Downgrades,Underperform,65.01,33,01/25/2021
GME,GameStop Corp,NYE,Common Stock,USD ,1391452672,Standpoint Research,Downgraded by,Buy - Hold,31.4,,01/13/2021
GME,GameStop Corp,NYE,Common Stock,USD ,1103837568,Benchmark,Target Lowered by,Sell,13.66,5,12/09/2020
GME,GameStop Corp,NYE,Common Stock,USD ,1103837568,Telsey Advisory Group,Target Lowered by,Outperform,13.66,18,12/09/2020
GME,GameStop Corp,NYE,Common Stock,USD ,1050405056,Wedbush,Target Raised by,Neutral,16.9,16,12/04/2020
GME,GameStop Corp,NYE,Common Stock,USD ,778401984,Jefferies,Downgraded by,Buy - Hold,11.8,13,10/12/2020
GME,GameStop Corp,NYE,Common Stock,USD ,873597568,Benchmark,Target Raised by,,12.02,6,10/09/2020
GME,GameStop Corp,NYE,Common Stock,USD ,683854016,Loop Capital,Target Raised by,,10.04,9,09/23/2020
GME,GameStop Corp,NYE,Common Stock,USD ,394381696,Jefferies,Upgraded by,Hold - Buy,6.91,8,09/14/2020
GME,GameStop Corp,NYE,Common Stock,USD ,394381696,Telsey Advisory Group,Upgrades,Outperform,6.91,10,09/14/2020
