Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
INTC,Intel Corporation,NSD,Common Stock,USD ,252068528128,DZ Bank,Upgrades,Buy,62.02,76,03/25/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,257919238144,Evercore ISI,Target Raised by,In-Line,62.04,75,03/24/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,257919238144,Loop Capital,Maintains,Sell,62.04,55,03/24/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,257919238144,Needham & Company LLC,Maintains,Buy,62.04,74,03/24/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,257919238144,Jefferies,Maintains,Hold,62.04,59,03/24/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,257919238144,Roth Capital,Target Raised by,Positive - Neutral,62.04,65,03/24/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,257919238144,Truist Securities,Target Raised by,,62.04,73,03/24/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,257919238144,Mizuho Securities,Target Raised by,,62.04,72,03/24/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,256740966400,Mizuho Securities,Reiterated by,Buy,60.4,70,02/25/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,225537130496,Northland Capital,Downgraded by,Market Perform - Under Perform,56.69,46,02/01/2021
