Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
JNJ,Johnson & Johnson,NYE,Common Stock,USD ,448795377664,Credit Suisse,Maintains,Outperform,167.88,193,01/27/2021
JNJ,Johnson & Johnson,NYE,Common Stock,USD ,448795377664,JPMorgan Chase,Target Raised by,Neutral,167.88,175,01/27/2021
JNJ,Johnson & Johnson,NYE,Common Stock,USD ,448795377664,Morgan Stanley,Maintains,Overweight,167.88,187,01/27/2021
JNJ,Johnson & Johnson,NYE,Common Stock,USD ,448795377664,SVB Leerink,Target Raised by,Outperform,167.88,200,01/27/2021
JNJ,Johnson & Johnson,NYE,Common Stock,USD ,448795377664,Wells Fargo,Maintains,Overweight,167.88,190,01/27/2021
JNJ,Johnson & Johnson,NYE,Common Stock,USD ,448795377664,Raymond James Financial,Maintains,Outperform,167.88,183,01/27/2021
JNJ,Johnson & Johnson,NYE,Common Stock,USD ,448795377664,Cowen,Target Raised by,Outperform,167.88,195,01/27/2021
JNJ,Johnson & Johnson,NYE,Common Stock,USD ,436948959232,Cantor Fitzgerald,Target Raised by,Overweight,170.48,200,01/26/2021
JNJ,Johnson & Johnson,NYE,Common Stock,USD ,392432746496,Morgan Stanley,Maintains,Overweight,150.57,178,12/15/2020
JNJ,Johnson & Johnson,NYE,Common Stock,USD ,387351904256,Raymond James Financial,Reiterated by,Buy,146.36,,11/21/2020
