Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
INTC,Intel Corporation,NSD,Common Stock,USD ,256740966400,Mizuho Securities,Reiterated by,Buy,60.4,70,02/25/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,225537130496,Northland Capital,Downgraded by,Market Perform - Under Perform,56.69,46,02/01/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,232192671744,Bank of America,Reiterated by,Sell,56.66,58,01/23/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,255961071616,Oppenheimer Holdings,Reiterated by,Hold,56.66,,01/22/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,255961071616,Sanford Bernstein,Target Set by,Sell,56.66,43,01/22/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,255961071616,RBC Capital,Target Raised by,Underperform,56.66,47,01/22/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,255961071616,Wedbush,Target Raised by,Positive - Underperform,56.66,53,01/22/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,255961071616,Credit Suisse,Target Set by,Buy,56.66,80,01/22/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,255961071616,Mizuho Securities,Target Raised by,Buy,56.66,68,01/22/2021
INTC,Intel Corporation,NSD,Common Stock,USD ,255961071616,Morgan Stanley,Target Raised by,Overweight,56.66,72,01/22/2021
