Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
MSFT,Microsoft Corporatio..,NSD,Common Stock,USD ,1746778193920,Goldman Sachs,Upgraded by,Buy - Conviction-Buy,227.39,315,03/08/2021
MSFT,Microsoft Corporatio..,NSD,Common Stock,USD ,1746778193920,Credit Suisse,Target Set by,Buy,227.39,265,03/08/2021
MSFT,Microsoft Corporatio..,NSD,Common Stock,USD ,1710047494144,Morgan Stanley,Target Raised by,Overweight,231.6,290,03/05/2021
MSFT,Microsoft Corporatio..,NSD,Common Stock,USD ,1847768514560,Wedbush,Target Raised by,Outperform,243.7,300,02/16/2021
MSFT,Microsoft Corporatio..,NSD,Common Stock,USD ,1828762025984,UBS,Target Set by,Buy,243.77,275,02/09/2021
MSFT,Microsoft Corporatio..,NSD,Common Stock,USD ,1806437056512,Fundamental Research,Target Raised by,Buy - Hold,243,236.6,02/03/2021
MSFT,Microsoft Corporatio..,NSD,Common Stock,USD ,1756582903808,Argus,Maintains,Buy,238.93,275,01/28/2021
MSFT,Microsoft Corporatio..,NSD,Common Stock,USD ,1756530999296,Mizuho Securities,Target Raised by,Buy,232.9,270,01/27/2021
MSFT,Microsoft Corporatio..,NSD,Common Stock,USD ,1756530999296,Pritchard Capital,Target Raised by,Buy,232.9,292,01/27/2021
MSFT,Microsoft Corporatio..,NSD,Common Stock,USD ,1756530999296,Jefferies,Target Set by,Buy,232.9,300,01/27/2021
