Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
NFLX,Netflix Inc,NSD,Common Stock,USD ,231682801664,Argus,Upgraded by,Hold - Buy,535.09,650,03/23/2021
NFLX,Netflix Inc,NSD,Common Stock,USD ,229428477952,Benchmark,Maintains,Sell,520.25,472,03/15/2021
NFLX,Netflix Inc,NSD,Common Stock,USD ,229428477952,BMO Capital Markets,Reiterated by,Buy,520.25,700,03/15/2021
NFLX,Netflix Inc,NSD,Common Stock,USD ,259042099200,DZ Bank,Upgrades,Buy,579.84,650,01/21/2021
NFLX,Netflix Inc,NSD,Common Stock,USD ,221679468544,Wells Fargo,Upgraded by,Equal Weight - Overweight,586.34,700,01/20/2021
NFLX,Netflix Inc,NSD,Common Stock,USD ,221679468544,Jefferies,Target Set by,Buy,586.34,650,01/20/2021
NFLX,Netflix Inc,NSD,Common Stock,USD ,221679468544,JPMorgan Chase,Target Set by,Buy,586.34,685,01/20/2021
NFLX,Netflix Inc,NSD,Common Stock,USD ,221679468544,Benchmark,Target Raised by,Sell,586.34,485,01/20/2021
NFLX,Netflix Inc,NSD,Common Stock,USD ,221679468544,Pivotal Research,Target Raised by,Buy,586.34,750,01/20/2021
NFLX,Netflix Inc,NSD,Common Stock,USD ,221679468544,KeyBanc,Maintains,Overweight,586.34,650,01/20/2021
