Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
NKE,NIKE Inc,NYE,Common Stock,USD ,202799677440,Robert W Baird,Upgrades,Outperform,132.99,150,03/26/2021
NKE,NIKE Inc,NYE,Common Stock,USD ,209925406720,RBC Capital,Target Raised by,Outperform,128.64,165,03/25/2021
NKE,NIKE Inc,NYE,Common Stock,USD ,209925406720,JPMorgan Chase,Target Raised by,Overweight,128.64,176,03/25/2021
NKE,NIKE Inc,NYE,Common Stock,USD ,216751620096,Robert W Baird,Reiterated by,Hold,137.49,150,03/21/2021
NKE,NIKE Inc,NYE,Common Stock,USD ,225706065920,RBC Capital,Maintains,Outperform,137.49,165,03/19/2021
NKE,NIKE Inc,NYE,Common Stock,USD ,225706065920,Barclays,Target Set by,Buy,137.49,174,03/19/2021
NKE,NIKE Inc,NYE,Common Stock,USD ,225706065920,Credit Suisse,Maintains,Outperform,137.49,176,03/19/2021
NKE,NIKE Inc,NYE,Common Stock,USD ,225706065920,JPMorgan Chase,Maintains,Overweight,137.49,176,03/19/2021
NKE,NIKE Inc,NYE,Common Stock,USD ,228039262208,Cowen,Maintains,Outperform,144.82,173,03/17/2021
NKE,NIKE Inc,NYE,Common Stock,USD ,228496457728,Pivotal Research,Target Raised by,Buy,144.65,167,03/16/2021
