Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
NVDA,NVIDIA Corporation,NSD,Common Stock,USD ,358995263488,Mizuho Securities,Target Raised by,Buy,532.3,650,02/25/2021
NVDA,NVIDIA Corporation,NSD,Common Stock,USD ,358995263488,JPMorgan Chase,Target Raised by,Overweight,532.3,660,02/25/2021
NVDA,NVIDIA Corporation,NSD,Common Stock,USD ,358995263488,Wedbush,Target Raised by,Outperform,532.3,640,02/25/2021
NVDA,NVIDIA Corporation,NSD,Common Stock,USD ,358995263488,Cowen,Target Raised by,Outperform,532.3,665,02/25/2021
NVDA,NVIDIA Corporation,NSD,Common Stock,USD ,358995263488,Needham & Company LLC,Maintains,Buy,532.3,800,02/25/2021
NVDA,NVIDIA Corporation,NSD,Common Stock,USD ,358995263488,Piper Sandler,Reiterated by,Overweight,532.3,625,02/25/2021
NVDA,NVIDIA Corporation,NSD,Common Stock,USD ,358995263488,Deutsche Bank,Maintains,Hold,532.3,560,02/25/2021
NVDA,NVIDIA Corporation,NSD,Common Stock,USD ,358995263488,Truist Securities,Target Raised by,,532.3,700,02/25/2021
NVDA,NVIDIA Corporation,NSD,Common Stock,USD ,358995263488,Craig Hallum,Target Raised by,Hold,532.3,550,02/25/2021
NVDA,NVIDIA Corporation,NSD,Common Stock,USD ,358995263488,Raymond James Financial,Target Raised by,Outperform,532.3,700,02/25/2021
