Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
NKE,NIKE, Inc,NYE,Common Stock,USD ,216751620096,Robert W Baird,Reiterated by,Hold,137.49,150,03/21/2021
NKE,NIKE, Inc,NYE,Common Stock,USD ,225706065920,RBC Capital,Maintains,Outperform,137.49,165,03/19/2021
NKE,NIKE, Inc,NYE,Common Stock,USD ,225706065920,Barclays,Target Set by,Buy,137.49,174,03/19/2021
NKE,NIKE, Inc,NYE,Common Stock,USD ,225706065920,JPMorgan Chase,Maintains,Overweight,137.49,176,03/19/2021
NKE,NIKE, Inc,NYE,Common Stock,USD ,225706065920,Credit Suisse,Maintains,Outperform,137.49,176,03/19/2021
NKE,NIKE, Inc,NYE,Common Stock,USD ,228039262208,Cowen,Maintains,Outperform,144.82,173,03/17/2021
NKE,NIKE, Inc,NYE,Common Stock,USD ,228496457728,Pivotal Research,Target Raised by,Buy,144.65,167,03/16/2021
NKE,NIKE, Inc,NYE,Common Stock,USD ,221418012672,Piper Sandler,Target Raised by,Overweight,144.94,170,03/15/2021
NKE,NIKE, Inc,NYE,Common Stock,USD ,216909250560,Morgan Stanley,Target Lowered by,Positive - Overweight,141.19,173,03/11/2021
NKE,NIKE, Inc,NYE,Common Stock,USD ,210224955392,UBS,Target Set by,Buy,134.56,183,03/08/2021
