Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
PYPL,PayPal Holdings Inc,NSD,Common Stock,USD ,297280634880,Redburn Partners,Initiates Coverage On,Buy,250.35,,03/12/2021
PYPL,PayPal Holdings Inc,NSD,Common Stock,USD ,349444964352,BTIG Research,Reiterated by,Buy,304.79,345,02/16/2021
PYPL,PayPal Holdings Inc,NSD,Common Stock,USD ,333821444096,Susquehanna Bancshares,Target Raised by,Positive,298.37,330,02/12/2021
PYPL,PayPal Holdings Inc,NSD,Common Stock,USD ,333821444096,Keefe Bruyette,Target Raised by,Outperform,298.37,340,02/12/2021
PYPL,PayPal Holdings Inc,NSD,Common Stock,USD ,333821444096,JPMorgan Chase,Target Raised by,Overweight,298.37,310,02/12/2021
PYPL,PayPal Holdings Inc,NSD,Common Stock,USD ,333821444096,Morgan Stanley,Target Raised by,Buy - Overweight,298.37,329,02/12/2021
PYPL,PayPal Holdings Inc,NSD,Common Stock,USD ,333821444096,Raymond James Financial,Target Raised by,Outperform,298.37,333,02/12/2021
PYPL,PayPal Holdings Inc,NSD,Common Stock,USD ,333821444096,KeyBanc,Maintains,Overweight,298.37,310,02/12/2021
PYPL,PayPal Holdings Inc,NSD,Common Stock,USD ,333821444096,Citigroup,Target Raised by,Buy,298.37,350,02/12/2021
PYPL,PayPal Holdings Inc,NSD,Common Stock,USD ,333821444096,Loop Capital,Target Raised by,Positive - Buy,298.37,321,02/12/2021
