Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
PLTR,Palantir Technologie..,NYE,Common Stock,USD ,0,Credit Suisse,Initiated by,Underperform,25.61,20,03/16/2021
PLTR,Palantir Technologie..,NYE,Common Stock,USD ,0,Goldman Sachs,Upgraded by,Neutral - Buy,27.08,34,02/17/2021
PLTR,Palantir Technologie..,NYE,Common Stock,USD ,0,William Blair,Downgrades,Underperform,27.08,,02/17/2021
PLTR,Palantir Technologie..,NYE,Common Stock,USD ,0,Credit Suisse,Maintains,Underperform,27.08,20,02/17/2021
PLTR,Palantir Technologie..,NYE,Common Stock,USD ,0,Morgan Stanley,Target Raised by,Underweight,27.08,19,02/17/2021
PLTR,Palantir Technologie..,NYE,Common Stock,USD ,0,RBC Capital,Target Raised by,Positive - Sector Perform,27.08,27,02/17/2021
PLTR,Palantir Technologie..,NYE,Common Stock,USD ,0,Jefferies,Target Raised by,Positive - Buy,31.91,40,02/12/2021
PLTR,Palantir Technologie..,NYE,Common Stock,USD ,0,William Blair,Initiates Coverage On,Market Perform,26.34,,01/20/2021
PLTR,Palantir Technologie..,NYE,Common Stock,USD ,0,Citigroup,Downgrades,Sell,25.5,15,01/13/2021
PLTR,Palantir Technologie..,NYE,Common Stock,USD ,0,Jefferies,Target Raised by,Buy,25.2,30,01/11/2021
