Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
QCOM,QUALCOMM Incorporate..,NSD,Common Stock,USD ,149565767680,JPMorgan Chase,Target Lowered by,Sell - Overweight,127.8,170,03/04/2021
QCOM,QUALCOMM Incorporate..,NSD,Common Stock,USD ,149565767680,Piper Sandler,Upgraded by,Neutral - Overweight,127.8,160,03/04/2021
QCOM,QUALCOMM Incorporate..,NSD,Common Stock,USD ,184332238848,Susquehanna Bancshares,Target Raised by,Positive,147.97,175,02/04/2021
QCOM,QUALCOMM Incorporate..,NSD,Common Stock,USD ,184332238848,Mizuho Securities,Target Raised by,Buy,147.97,170,02/04/2021
QCOM,QUALCOMM Incorporate..,NSD,Common Stock,USD ,184332238848,RBC Capital,Target Raised by,Sector Perform,147.97,150,02/04/2021
QCOM,QUALCOMM Incorporate..,NSD,Common Stock,USD ,184332238848,Rosenblatt Securities,Maintains,Buy,147.97,180,02/04/2021
QCOM,QUALCOMM Incorporate..,NSD,Common Stock,USD ,184332238848,Citigroup,Downgrades,Neutral,147.97,165,02/04/2021
QCOM,QUALCOMM Incorporate..,NSD,Common Stock,USD ,184332238848,Morgan Stanley,Target Lowered by,Overweight,147.97,167,02/04/2021
QCOM,QUALCOMM Incorporate..,NSD,Common Stock,USD ,184332238848,Deutsche Bank,Target Raised by,In-Line - Buy,147.97,190,02/04/2021
QCOM,QUALCOMM Incorporate..,NSD,Common Stock,USD ,187148894208,Rosenblatt Securities,Target Raised by,Buy,162.3,175,02/03/2021
