Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
T,AT&T Inc,NYE,Common Stock,USD ,209361879040,Oppenheimer Holdings,Downgrades,Perform,28.63,,02/25/2021
T,AT&T Inc,NYE,Common Stock,USD ,203946131456,CIBC World Markets,Reiterated by,Buy,28.55,,02/10/2021
T,AT&T Inc,NYE,Common Stock,USD ,206155186176,Deutsche Bank,Target Lowered by,,28.77,31,02/08/2021
T,AT&T Inc,NYE,Common Stock,USD ,207865430016,Credit Suisse,Target Lowered by,Neutral,28.95,30,01/19/2021
T,AT&T Inc,NYE,Common Stock,USD ,204943769600,Raymond James Financial,Upgrades,Outperform,29.44,32,01/04/2021
T,AT&T Inc,NYE,Common Stock,USD ,204872499200,Raymond James Financial,Reiterated by,Hold,28.69,,12/24/2020
T,AT&T Inc,NYE,Common Stock,USD ,215846551552,Morgan Stanley,Downgrades,Equal-Weight,29.62,34,12/17/2020
T,AT&T Inc,NYE,Common Stock,USD ,206012661760,Wells Fargo,Reiterated by,Underweight,28.97,25,11/16/2020
T,AT&T Inc,NYE,Common Stock,USD ,195537453056,National Bank Financial,Upgraded by,Outperform,28.3,27,11/09/2020
T,AT&T Inc,NYE,Common Stock,USD ,191519997952,Wolfe Research,Initiates Coverage On,Peer Perform,26.76,31,10/20/2020
