 Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
TSLA,Tesla Inc,NSD,Common Stock,USD ,641240072192,Mizuho Securities,Initiates Coverage On,Buy,699.6,775,03/11/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,646538461184,Mizuho Securities,Initiated by,Buy,668.06,,03/10/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,540397797376,New Street Research,Upgrades,Buy,673.58,900,03/09/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,540397797376,FIX,Upgraded by,Buy,673.58,,03/09/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,796056748032,Morgan Stanley,Target Raised by,Overweight,872.79,880,02/02/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,752187932672,Piper Sandler,Maintains,Overweight,839.81,1200,02/01/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,819138068480,RBC Capital,Target Raised by,Sector Perform,835.43,725,01/28/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,819138068480,Roth Capital,Maintains,Neutral,835.43,150,01/28/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,819138068480,Deutsche Bank,Maintains,Buy,835.43,900,01/28/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,819138068480,JPMorgan Chase,Maintains,Underweight,835.43,135,01/28/2021
