Stock Target Advisor : Analyst Ratings
All rights reserved - Redistribution or sharing without prior permission of Stock Target Advisor is prohibited
Download Date : 2021-01-21
Download Created for User : venky2063@gmail.com 
(C) www.stocktargetadvisor.com
 
Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
TSLA,Tesla, Inc,NSD,Common Stock,USD ,800549765120,Oppenheimer Holdings,Target Raised by,Outperform,850.45,1036,01/20/2021
TSLA,Tesla, Inc,NSD,Common Stock,USD ,800549765120,Deutsche Bank,Target Raised by,Buy,850.45,890,01/20/2021
TSLA,Tesla, Inc,NSD,Common Stock,USD ,783117844480,Jefferies,Target Raised by,Hold,844.55,775,01/19/2021
TSLA,Tesla, Inc,NSD,Common Stock,USD ,800976338944,Wedbush,Maintains,Neutral,826.16,950,01/15/2021
TSLA,Tesla, Inc,NSD,Common Stock,USD ,805184995328,Edward Jones,Initiated by,Hold,854.41,,01/13/2021
TSLA,Tesla, Inc,NSD,Common Stock,USD ,834171830272,Bank of America,Target Raised by,Neutral,880.02,900,01/11/2021
TSLA,Tesla, Inc,NSD,Common Stock,USD ,834171830272,Credit Suisse,Target Raised by,Neutral,880.02,800,01/11/2021
TSLA,Tesla, Inc,NSD,Common Stock,USD ,773525078016,Evercore ISI,Upgrades,In-Line,880.02,650,01/08/2021
TSLA,Tesla, Inc,NSD,Common Stock,USD ,716594151424,RBC Capital,Upgrades,Sector Perform,816.04,700,01/07/2021
TSLA,Tesla, Inc,NSD,Common Stock,USD ,696811454464,Morgan Stanley,Maintains,Overweight,755.98,810,01/06/2021
