Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
TSLA,Tesla Inc,NSD,Common Stock,USD ,573944692736,FIX,Upgraded by,Buy,563,,03/09/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,573944692736,New Street Research,Upgrades,Buy,563,900,03/09/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,796056748032,Morgan Stanley,Target Raised by,Overweight,872.79,880,02/02/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,752187932672,Piper Sandler,Maintains,Overweight,839.81,1200,02/01/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,819138068480,RBC Capital,Target Raised by,Sector Perform,835.43,725,01/28/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,819138068480,Roth Capital,Maintains,Neutral,835.43,150,01/28/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,819138068480,Deutsche Bank,Maintains,Buy,835.43,900,01/28/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,819138068480,JPMorgan Chase,Maintains,Underweight,835.43,135,01/28/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,802530918400,Robert W Baird,Maintains,Outperform,880.8,728,01/25/2021
TSLA,Tesla Inc,NSD,Common Stock,USD ,800966836224,JPMorgan Chase,Target Raised by,Underweight,846.64,125,01/22/2021
