Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
VZ,Verizon Communicatio..,NYE,Common Stock,USD ,235502108672,Tigress Financial,Upgraded by,Neutral - Buy,57.01,,03/24/2021
VZ,Verizon Communicatio..,NSD,Common Stock,USD ,236362547200,Oppenheimer Holdings,Downgrades,Perform,56.5,,02/25/2021
VZ,Verizon Communicatio..,NSD,Common Stock,USD ,236362547200,Sbank,Downgraded by,Outperform - Sector Perform,56.5,,02/25/2021
VZ,Verizon Communicatio..,NSD,Common Stock,USD ,237443612672,Credit Suisse,Target Lowered by,Neutral,57.05,59,01/19/2021
VZ,Verizon Communicatio..,NSD,Common Stock,USD ,250685505536,Moffett Nathanson,Upgrades,Buy,61.36,66,12/02/2020
VZ,Verizon Communicatio..,NSD,Common Stock,USD ,252671787008,Wells Fargo,Reiterated by,Equal Weight,60.89,60,11/16/2020
VZ,Verizon Communicatio..,NSD,Common Stock,USD ,236781518848,JPMorgan Chase,Upgraded by,Neutral - Overweight,58.15,65,11/05/2020
VZ,Verizon Communicatio..,NYE,Common Stock,USD ,240213803008,Wolfe Research,Initiates Coverage On,Peer Perform,57.25,62,10/20/2020
VZ,Verizon Communicatio..,NYE,Common Stock,USD ,240213803008,Wolfe Research,Initiated by,Market Perform,57.3,,10/19/2020
VZ,Verizon Communicatio..,NYE,Common Stock,USD ,250269270016,Argus,Upgrades,Buy,59.96,68,09/08/2020
