Conversation
"They paid a ransom and did not tell any of their thousand compromised clients, many non profits and education schools for over 2 months! And never even mentioned in their last earnings call when they knew. Oh but the invaders said they all the info was destroyed and that is good enough for BB...really? How safe do you feel and why haven’t they been in the press for this??"
Sounds like Salesforce is ready to push in Blackbaud's market in a big way... Should be interesting.
BLKB is down 6.05% to $69.45
"How the heck do the hack of Blackbaud barely get reported? Seriously? This company has #$%$ for support too. I can say that because I have several friends who wait on hold all the time even though they pay $1,000s in support each year."
BLKB reached a 52 Week low at 70.26
BLKB reached a 52 Week low at 67.90
BLKB reached a 52 Week low at 52.77
BLKB is down 4.90% to 76.80
Blackbaud is up 5.70% to 52.70
Blackbaud is down 7.50% to 53.43
Blackbaud is down 5.09% to 67.73
BLKB is up 5.49% to 82.01
BLKB reached a 52 Week low at 40.70
BLKB reached a 52 Week low at 67.04
Blackbaud is down 5.53% to 62.75
BLKB is down 7.38% to 41.73
BLKB reached a 52 Week low at 51.05
BLKB is down -6.39% to 98.25
Blackbaud is up 8.60% to 59.33
BLKB reached a 52 Week low at 57.30
BLKB is down 5.10% to 61.10
BLKB is down -4.93% to 104.03
Blackbaud reached a 52 Week low at 62.78
BLKB is down 4.92% to 78.21
BLKB is down 5.03% to 90.79
BLKB is down -4.98% to 102.56
BLKB is down -4.94% to 94.43
BLKB is up 5.67% to $64.16
Blackbaud is down 4.94% to 68.96
BLKB reached a 52 Week low at 62.78
Blackbaud is down 5.50% to 70.57
BLKB reached a new All Time High at 112.81
BLKB reached a 52 Week low at $60.48
BLKB is up 5.16% to 92.59
Blackbaud is down 4.93% to 72.77
BLKB is up 5.23% to 96.54
BLKB is down 10.02% to 46.41
BLKB is down 8.71% to 51.05
BLKB reached a new All Time High at 117.84
Found some interesting information regarding shorts for $BLKB https://marketwirenews.com/short-information/NASDAQ/BLKB
Blackbaud is down 5.79% to 58.45
BLKB is up 8.18% to 53.02
Blackbaud reached a 52 Week low at 52.77
BLKB reached a 52 Week low at $58.41
Blackbaud reached a 52 Week low at 51.05
Blackbaud is up 7.57% to 60.83
Blackbaud reached a 52 Week low at 57.30
BLKB is up 6.47% to 91.96
https://www.bleepingcomputer.com/news/security/blackbaud-sued-in-23-class-action-lawsuits-after-ransomware-attack
BLKB is down 5.23% to 66.27
I was getting tired of losing all my cash to the markets so I found these guys that produce one solid stock pick a week. So far their plays have been awesome. Just go to the-stock*dork .
BLKB is up 8.34% to $73.51
Blackbaud is up 5.02% to 76.00
BLKB reached a new 52 Week Low at $68.22
Blackbaud is down 5.10% to 61.10
BLKB reached a new All Time High at 107.71
BLKB is down 6.34% to 57.30
BLKB is down 5.05% to 85.34
Blackbaud is down 6.34% to 57.30
Get out now while you have earnings profits...
Blackbaud is down 5.56% to 62.54
Blackbaud reached a 52 Week low at 59.51
Blackbaud is down 8.71% to 51.05
BLKB reached a 52 Week low at 59.51
BLKB is up 8.04% to 53.86
"I was a skeptic at first with all the board messages but these guys are the real deal. Just google ""THESTOCKDORK"""
Blackbaud is down 5.63% to 48.60
BLKB is up 8.32% to 53.15
BLKB reached a 52 Week low at 43.04
no mention of Blackbaud paying a ransom after they were hacked?
BLKB is up 5.19% to 111.39
BLKB is down 5.48% to 62.78
@elich robotexting... do u also make those obnoxious robocalls for a living? Please don't waste our time. i guess u receive 1 cent for every post.. nice ..please go away
BLKB is up 8.60% to 59.33
Blackbaud is up 5.45% to 50.19
Looks like they missed on top and bottom. Anyone think this will drop tomorrow or should I sell AH ?
BLKB is up 10.46% to 44.51
BLKB is up 4.95% to 116.07
BLKB reached a new 52 Week Low at $69.62
73.43 or 66.45 if does not hold
BLKB is down 4.98% to 69.25
BLKB is up 5.01% to $61.69
BLKB is down 6.83% to 41.48
why did this tank?
BLKB is down 22.64% to $69.63
Blackbaud is up 9.17% to 53.08
Blackbaud is down 5.48% to 62.78
Blackbaud is down 4.90% to 65.35
BLKB is up 9.03% to 54.48
