Conversation
Bank7 is down 7.66% to 20.60
Bank7 is down 5.96% to 20.36
Bank7 is up 9.14% to 9.55
BSVN is down 11.59% to 7.93
BSVN is up 8.35% to 16.87
BSVN is down 8.79% to $15.87
BSVN reached a 52 Week high at 19.74
Bank7 is up 6.95% to 21.07
Bank7 is up 5.27% to 18.99
BSVN reached a new All Time Low at $17.50
Bank7 is up 13.07% to 10.80
BSVN is up 6.33% to 18.97
BSVN reached an all time low at $13.10
BSVN is up 11.72% to 12.11
Bank7 is up 17.28% to 9.57
BSVN is up 12.15% to 8.12
BSVN is down 8.63% to $11.11
Bank7 is up 8.81% to 18.45
BSVN reached an all time low at $12.00
BSVN is up 27.48% to 9.65
Bank7 reached a 52 Week low at 14.72
BSVN is up 10.50% to 8.00
BSVN reached a 52 Week low at 13.95
BSVN is up 5.97% to 17.94
BSVN reached an all time low at 6.68
BSVN is up 7.87% to $12.89
BSVN is up 6.29% to 16.05
BSVN reached a 52 Week low at 14.72
BSVN reached an all time low at 9.42
BSVN reached an all time low at 5.80
Bank7 is down 9.30% to 16.88
Bank7 is up 5.62% to 22.21
BSVN reached a new All Time Low at 18.71
"GOOD EARNINGS and fundes,of course no one trading it !"
Bank7 is down 6.39% to 18.30
BSVN is up 19.75% to 6.96
BSVN is down 9.18% to 13.25
BSVN is down 17.84% to 6.68
Bank7 is up 9.07% to 13.91
BSVN is down 13.24% to 8.65
BSVN reached an all time low at 10.68
Bank7 is down 5.85% to 20.76
BSVN is up 5.53% to 17.48
BSVN is down 7.29% to 9.92
Bank7 is up 8.38% to 15.77
Bank7 is up 5.52% to 22.74
Bank7 is down 8.60% to 10.95
BSVN is up 10.53% to 7.35
Bank7 is up 14.03% to 10.32
Bank7 Corp is down 8.71% to 17.92
Bank7 is up 4.96% to 18.41
BSVN is down 6.63% to 16.34
Look out below...
