Conversation
CBFV is up 7.02% to $28.50
CB Financial Services is down 11.99% to 20.47
CB Financial Services is up 5.27% to 23.18
Merger with FWVB looks like a good one- Any thoughts?
CBFV reached a 52 Week low at 21.00
"Ralph Burchanti lost a lot of money on EQT stock and now is begging for top job at bank to cover losses. Poor Ralph, just going round circle in Carmichaels and waving . . . maybe Andrew Corfunk can drive him home from Koratich's after too many drinks."
CB Financial Services is down 8.66% to 22.15
CBFV reached a 52 Week low at 22.31
CBFV reached a 52 Week low at 18.39
CB Financial Services is up 5.11% to 21.41
CB Financial Services is down 9.66% to 19.55
CB Financial Services is up 7.32% to 25.67
CB Financial Services is up 5.39% to 24.23
CBFV reached a 52 Week low at 19.11
"Interesting that O'Brien pushes for the bank to buy back $5M of stock and then resigns, Oh and he has 60,000 shares of stock to sell - imagine that, easy way to unload his holdings. O'Brien you weren't feeding Ralph's dog anything? were you???"
CBFV is down -5.29% to 30.45
Maybe they can get the cash machine on Green Street to start working again?????
"The bank lobby is playing the song ""The parties Over."" This should tell you something. All new loans are being ""denied."" Greene County can't even get the Virus ! They can't do anything right !"
CB Financial Services is up 6.19% to 23.52
STND to be taken over by Dollar Bank for $33 per share cash. When will CBFV do a deal? A highly undervalued community bank.
CB Financial Services is up 5.10% to 19.79
CBFV is down -5.16% to 30.35
CBFV reached a 52 Week low at 17.60
Maybe Andrew Corfunk applies for CEO??? Where's Ralph???
CB Financial Services is down 6.53% to 24.75
CB Financial Services is up 5.58% to 24.40
CB Financial Services is up 7.72% to 23.30
CB Financial Services is up 6.62% to 21.75
CB Financial Services is down 7.26% to 16.85
President and CEO just resigned abruptly. Too many loans to Gas companies that can't afford payments. Too many loans to coal miners out of work. UT-OH! Bad loans can't be paid back. Bank in trouble!
CB Financial Services is down 7.09% to 21.36
CB Financial Services is up 6.07% to 26.23
"YOUR WAY TO WEALTH AND MONEYRoad To Wealth>>>BUY 100% UNDETECTABLE COUNTERFEIT MONEY: (US Dollar, Euro, Pounds and More)More Info: Email:>>> {info.omegahightechunivlabsarl@yahoo.com}We are the best and Unique producer of HIGH QUALITY Undetectable counterfeit Banknotes. With over a billion of our products circulating around the world. We offer only original high-quality counterfeit currency NOTES. We ship worldwide. We will deliver the money directly to your home without the interference of customs.Here is your chance to be a millionaire. Our money comes with all features of real currency, Notes that consist of features like: security strip, water mark, micro print and passes the pen test.To make a decent counterfeit you need specific inks, dyes, threads, and certain plates with specific engravings. If you don’t have these your counterfeits are junk. If you don’t know what I’m talking about leave counterfeiting alone before the Secret Service comes knocking on your door.These features make our bills to be 100% undetected,100% safe and secure to use in any of these areas: BANKS, CASINO, ATM, MONEY CHANGERS, STORES. They are 100% Undetected.Their average circulation lifespan ranges from under 12 months to several years.Our money is perfectly reproduced, Indistinguishable to the eye and when touched. We are sending in various sizes, packed and hidden. All our notes carries all the holograms and water marks and passes light detector test. We will deliver the money directly to your home without the interference of customs.Contact us for more information using the information below:Email:>> {info.omegahightechunivlabsarl@yahoo.com}"
CB Financial Services is up 5.76% to 20.94
CB Financial Services is up 6.05% to 22.25
CB Financial Services is up 8.06% to 20.92
CB Financial Services is up 5.73% to 20.30
