Conversation
DRQ is up 11.28% to 36.91
Dril-Quip is up 5.91% to 24.75
DRQ is down 4.92% to 43.07
DRQ is up 4.99% to $28.19
DRQ is down 5.00% to 33.25
Dril-Quip is down 7.49% to 23.33
DRQ is down 5.00% to $29.64
DRQ is down 5.11% to $43.12
DRQ is down 4.96% to $48.23
DRQ reached a 52 Week low at 36.44
DRQ is up 5.52% to $38.05
DRQ is down -5.06% to 50.22
DRQ reached a 52 Week low at $30.40
DRQ is down -6.22% to 52.75
Will it potentially spike within the next week?
DRQ is down 4.92% to $35.01
DRQ reached a 52 Week low at 33.51
DRQ is down -8.13% to 40.70
"Bloated turd burglar tied to deep water..dead meat, take it down"
DRQ is down 5.68% to 34.72
DRQ is down 5.33% to 33.20
"Looks like some guys do not know how to manage. Bad acquisition steps. Who is in charge of these decisions. Board, CEO. Bad decisions."
DRQ is up 5.67% to 38.96
DRQ is down 5.02% to $40.92
Every once and awhile I check this company. No change. Still bad management and an ineffective growth strategy. Just cashing checks and waiting for the shoe to fall.
"Short sellers? Gaps below to fill, imho."
DRQ is down 5.05% to $33.12
Dril-Quip is up because of 4 major storms in the gulf. These guys need parts and stuff bad. Should continue for one more quarter.
DRQ is up 6.46% to 55.35
Dril-Quip is down 10.50% to 29.65
Dril-Quip is down 5.68% to 34.72
DRQ is up 5.16% to $32.80
Dril-Quip is down 7.46% to 24.32
DRQ reached a 52 Week low at 35.19
DRQ reached a 52 Week low at $36.01
DRQ is down 5.10% to $39.86
DRQ is down 5.11% to 39.20
DRQ is down 5.10% to 37.75
Dril-Quip is down 5.00% to 33.25
"DRQ touched on a 52 week low today, how are those cub scout engineers working out?"
