Conversation
"scorpion capital historyLast 4 shorts $NVRO after the short in mid dec, price is still up (false report)$ALLK after the short in mid dec, price is still up (false report)$AXGN (must check, it was more then 50% up)$FANH https://scorpioncapital.com/This company is a liar, the screenshot they used in the report is there from December on the company website. They can now short because there is a lot of free float in the market, he dare to short when equity was 50M only."
FANH is down 4.91% to 32.91
Fanhua reached a 52 Week low at 13.75
FANH reached a 52 Week low at 20.20
Fanh is up too fast and too much. It is very expensive and high risk at this level.
FANH is down 7.56% to $23.11
Fanhua is down 4.91% to 14.53
Any thoughts regarding the 20 percent drop in two days
Fanhua is up 7.49% to 18.81
FANH is down -8.45% to 25.46
FANH is down 6.53% to $25.48
FANH reached a 52 Week low at 17.59
FANH is down 5.78% to 27.21
FANH is up 7.72% to 30.15
"A CEO and founder only had 1.8% of the shares? Why? and why is he still controlling the company? Only under pressure of lawsuit, he bought some shares!!"
FANH is up 4.97% to 30.40
Fanhua reached a 52 Week low at 14.00
Fanhua is up 5.18% to 17.06
Fanhua is down 6.02% to 14.82
"With 2017 earning per ADS of $1.13 and projected 2018 earning growth of more than 40%, what would be the fair price for this stock?"
FANH is up 12.21% to 26.37
"Just read that China insurance industry was growing at more than 20% in 2017 due to GDP growth and low insurance penetration rate. This company just need to ride the wave and grow with the industry, and its stock price will do well. It is added bonus if it can grow faster than the industry. Of course, seeing this kind of growth rate, new competitors will join in and intensify the competition."
Fanhua is up 5.10% to 15.24
FANH reached a 52 Week high at 35.12
Fanhua is up 7.15% to 13.93
Fanhua is down 4.99% to 14.28
"Anyone watch this stock at all?I know this is a Chinese stock and I'm very leery of that, but unless I'm reading it wrong the statistics indicate this is greatly undervalued. 1.55B in cash, 189M debt, positive cash flow and earnings, book value indicates around $28/share if it were liquidated. What am I missing?"
Fanhua reached a 52 Week low at 12.02
"Of course with all the lawsuits pending, this coming ER must be very conservative...."
FANH is down 6.19% to 16.53
FANH reached a new All Time High at 32.52
FANH is down -7.65% to 28.37
FANH reached an all time high at 33.00
Fanhua is up 5.78% to 14.45
Fanhua is up 5.30% to 15.65
FANH is down -6.17% to 30.13
FANH is up 9.59% to 28.90
Fanhua is up 5.60% to 15.28
Fanhua reached a 52 Week low at 14.20
"Reading the lastest earning report, the operating income and the net income looked very good. The increase in operating margin and net margin were very impressive. The operating income expectation of RMB80.0 million for the next quarter (Q1 2018) were equally impressive, compared to the previous quarter expectation of RMB60.0 million (for Q4 2017) and RMB50.0 million (for Q3 2017). Nowadays, it not easy to find such a very-high-growth company that also pays good dividend. It is too bad that the dividend ($0.20 per ADS) for this quarter is not increased."
FANH is up 7.41% to 32.74
FANH is up 5.83% to 28.15
"I just noticed that 1y Target Est has been raised to $35.5 in this Yahoo site very recently. If I am not mistaken, it was $28.5 not long ago."
"Reading the latest report, I was shocked that CEO only had ~1% of the company shares!! Not much of confidence about his own company. Only after the big drop on Auguest 27th, he and the CFO bought some shares, under the pressure!!Does not bode well and feels fishy!"
Fanhua is down 7.09% to 17.59
FANH reached a new 52 Week High at 27.00
Fanhua is up 5.37% to 14.32
Fanhua is down 5.23% to 14.50
Fanhua reached a 52 Week low at 14.96
Fanhua reached a 52 Week low at 15.80
FANH is down 5.01% to 20.65
FANH is down 6.23% to 18.20
FANH is down 6.77% to 16.79
Fanhua is up 5.22% to 15.12
FANH is down -6.53% to 31.22
FANH reached a new All Time High at 28.91
Fanhua is down 5.83% to 13.24
Why doesn't anyone post here?
FANH is up 7.21% to $25.73
FANH is up 5.38% to 18.01
Fanhua is up 7.99% to 17.81
Fanhua is up 6.55% to 15.62
"Report is hard to figure, but Fanhua expects its operating income to be no less than RMB80.0 million for the first quarter of 2018. Total operating income for FY2017 was 273. So that would be about 320 for FY18. Not a ad increase in operating income."
FANH is up 6.85% to 22.15
Fanhua is down 6.26% to 14.08
FANH is down 6.54% to 17.57
"As investors of this stock, what is your opinion about the “521” plan just announced?"
Fanhua reached a 52 Week low at 14.72
Fanhua reached a 52 Week low at 12.74
Fanhua is down 4.93% to 12.35
FANH is down -9.20% to 23.19
