Conversation
FWONA is down 5.35% to $30.98
FWONK is up 4.97% to $32.09
FWONK is down 4.90% to $30.08
FWONA is down 4.96% to $31.82
FWONA is down 5.00% to $28.85
"Live Nation dips as top shareholder offers debentures https://seekingalpha.com/news/3412444?source=ansh $LYV, $FWONA, $FWONB, $FWONK"
FWONK is up 5.02% to 37.89
"Honda is only the first to withdraw from petrol-fueled Formula One. Others will follow Honda's Formula One withdrawal. Petrol-fueled Formula One will disappear from this earth as sponsors ""Go Green"""
FWONK is up 5.07% to $29.20
FWONK is down -4.98% to 34.37
"Malone is getting Live Nation Entertainment ready to transfer 34% ownership of Ticketmaster into Sirius XM Radio holdings either before or after spinoff of Sirius XM. Paying off margin loan early so that he can start moving assets. Iheartmedia should come out of Bankruptcy next month which will also be moved into Sirius XM Radio holdings either before or after spinoff. Just my humble opinion!!!!Liberty Media Corporation Proposes Private Offering of Exchangeable Senior Debentures https://seekingalpha.com/pr/17341400?source=ansh $FWONA, $FWONK, $LSXMA, $LSXMB, $LSXMK, $BATRA, $BATRK"
FWONA reached a 52 Week low at $26.92
FWONK reached a new 52 Week Low at 28.37
FWONA is down -4.96% to 32.74
FWONA is up 6.24% to 33.54
FWONK is down 4.96% to $32.37
"Mercedes have the dominant car for another year, will this affect the stock price negatively?"
FWONK is down -5.37% to 33.50
FWONK reached a 52 Week low at $27.83
FWONK is up 7.35% to 36.96
FWONK is down 4.90% to $33.36
FWONA is up 4.91% to $28.20
FWONA is up 4.97% to 33.61
FWONK is up 4.92% to 34.95
It’s impossible because Nascar and Indycar are 15 years behind F1 in terms of technology.
FWONK is down -4.91% to 32.91
FWONK is down 4.90% to 33.74
Why Formula One Group can't merge with Nascar? Who owns Nascar?
FWONA is down -6.21% to 31.39
FWONA is up 4.94% to 31.23
FWONK is up 4.93% to 31.27
FWONA reached a new 52 Week Low at 27.26
FWONA is down -5.31% to 31.00
How do you guys value this company? Why are they forecast to lose money in 2019? Thanks.
Liberty Formula One is up 4.97% to 38.05
FWONA is up 4.98% to $31.00
FWONA is down 5.00% to $30.81
FWONK is down -4.96% to 37.14
Buffet just bought this. Watch it go crazy tomorrow.
Up up and away
