Conversation
RNR-PF reached a 52 Week low at 24.35
RenaissanceRe is down 5.52% to 155.27
RNR-PE is up 6.90% to 18.43
RNR-PF is down 25.83% to 13.90
RNR-PE reached an all time low at 18.00
RNR-PF is down 6.93% to 23.78
RNR-PE reached a 52 Week low at 22.40
RNR-PE is down 5.14% to 23.79
RenaissanceRe is down 5.25% to 146.46
RNR-PE is up 6.73% to 17.29
RNR is up 5.81% to 126.66
RNR-PF is down 6.02% to 24.43
RNR is up 6.24% to 132.92
RNR is up 4.97% to 163.22
RNR is up 4.92% to 133.40
RenaissanceRe is up 7.30% to 151.69
no clue.....
RenaissanceRe is up 4.94% to 178.78
RNR-PF is up 7.05% to 20.34
RNR is down 5.61% to $121.17
any one own this stock :) .. no interactions whatsoever
RNR is up 4.93% to 132.51
RNR reached an all time high at 159.99
RNR reached an all time high at 198.20
RNR is up 6.77% to 151.18
RNR-PE is down 6.23% to 20.77
RNR-PE is down 4.96% to 22.02
RNR reached an all time high at 154.38
RNR is down 5.52% to 155.27
RNR-PF reached a new All Time Low at $24.20
RNR-PE reached a 52 Week low at 21.15
RenaissanceRe is down 6.71% to 145.50
RNR-PC reached an all time high at 27.44
What's the reason the stock dropped so much today?Can anybody help?
RNR-PF is down 7.35% to 17.66
RNR is down 7.81% to 142.97
RNR is up 4.93% to 143.37
RNR is down 7.93% to 161.45
RNR-PF reached an all time low at 20.97
RenaissanceRe reached a 52 Week low at 139.58
RenaissanceRe is up 7.20% to 160.41
RNR reached a 52 Week low at 131.60
RNR is up 5.72% to $140.00
RNR-PE is up 7.69% to 20.16
RNR-PE is up 5.07% to 23.02
RNR is down 6.71% to 145.50
RenaissanceRe is up 6.31% to 153.82
RNR is up 6.39% to 132.00
RenaissanceRe is up 4.98% to 166.23
RNR-PF reached an all time low at 14.86
RNR-PF reached a 52 Week low at 22.14
RenaissanceRe is down 7.81% to 142.97
RNR is down 7.25% to 133.25
RNR-PF is down 12.86% to 20.97
RNR is up 6.31% to 153.82
RNR is up 4.99% to 128.98
RenaissanceRe is down 7.93% to 161.45
RNR-PF reached a new All Time Low at $23.22
RNR reached a 52 Week high at 149.46
RNR reached a new 52 Week Low at 118.58
RNR reached a 52 Week low at 139.58
RenaissanceRe is up 8.00% to 187.41
RNR reached an all time high at 157.37
RNR-PF is up 10.57% to 21.87
RNR reached a new 52 Week Low at 117.04
RenaissanceRe is down 4.91% to 161.08
RNR-PF is up 7.03% to 19.95
RNR-PE reached a 52 Week low at 20.77
RNR-PE is up 7.97% to 18.56
RNR-PF is up 6.66% to 24.27
RenaissanceRe is up 5.73% to 176.21
RNR-PF is up 7.06% to 25.48
RNR is down 4.97% to 170.44
RNR reached an all time high at 169.47
RNR is up 6.23% to 144.35
RNR is up 6.83% to 140.99
RNR is up 6.72% to 160.95
