Conversation
SF reached a new 52 Week Low at $50.43
Stifel Financial reached an all time high at 58.26
SF-PB reached an all time low at 24.20
Stifel Financial reached an all time high at 74.43
Stifel Financial is down 5.80% to 48.75
SF-PA reached a 52 Week low at 23.85
$SF Maintains Wells Fargo Equal-Weight USD 70 » USD 74 Target Raised by Credit Suisse Neutral USD 82 » USD 83 Maintains JMP Securities Market Outperform USD 77 » USD 79
SF is up 5.00% to 55.81
This is going to split again soon imo if they continue as they have previously.
SF-PA reached an all time low at $23.47
Stifel Financial reached an all time high at 56.84
SF-PA reached a 52 Week high at 27.26
SF reached a new 52 Week Low at $45.59
SF reached a new All Time High at 65.28
SF is down -4.91% to 60.75
SF reached a new All Time High at 62.09
Stifel Financial reached a 52 Week low at 48.72
Stifel Financial reached an all time high at 69.81
SF reached a new 52 Week Low at $46.81
SF reached a new 52 Week Low at $42.67
SF-PB reached an all time low at 21.59
Stifel Financial reached an all time high at 52.59
SF reached a 52 Week low at $39.56
Stifel Financial reached an all time high at 76.27
Stifel Financial reached an all time high at 71.81
SF reached a new All Time High at 62.91
Stifel Financial reached an all time high at 57.45
SF reached a new All Time High at 65.39
Stifel Financial reached an all time high at 77.16
Stifel Financial reached an all time high at 55.06
"The SEC has confirmed that they are launched an investigation into the Reg 203 Violations SEC File #SF-00666262/Achaogen, Inc. as there are over 14 Million shares short and no float to cover without causing a huge short squeeze"
SF reached a new 52 Week Low at $48.94
"This is a cornerstone of Tanaka’s growth fund and even buying at these levels should bear fruit before eoy. Alex David is a great hire and they are attracting more brokers. ER should be bullish and I am expecting strong forward guidance. Stifel is showing a willingness to adapt:“Stifel is also rebranding the small independent broker-dealer unit, called Century Securities Associates, to Stifel Independent Advisors, according to the announcement.The move marks a change in direction for Stifel Chief Executive Ron Kruszewski, who has long eschewed the independent broker-dealer model citing narrow profit margins and the potential to compete with its core employee brokerage business...Stifel’s push comes as a number of brokerage firms, including Wells Fargo, have been expanding affiliation options and blurring the lines between channels in recent years in effort to appeal to a wider audience of prospective recruits and keep assets in-house.”"
Stifel Financial reached an all time high at 74.95
SF reached a new 52 Week Low at $49.58
SF reached a new All Time High at 65.96
Stifel Financial reached an all time high at 77.27
SF is down -4.93% to 59.60
