,Ticker,Rating
0,QCOM,Overweight
1,GE,Overweight
2,PLTR,Underperform
3,AAPL,Buy
4,COST,Overweight
5,CSCO,Buy
6,DIS,Buy
7,FB,Buy
8,GOOGL,Buy
9,INTC,Hold
10,JNJ,Overweight
11,MSFT,Outperform
12,NFLX,Buy
13,NKE,Outperform
14,NVDA,Buy
15,PYPL,Buy
16,T,Outperform
17,TSLA,Buy
18,TWTR,Neutral
19,VZ,Buy
20,DAL,Buy
21,MCD,Outperform
22,TMUS,Outperform
23,MDT,Buy
24,UNH,Overweight
25,CVX,Outperform
26,SBUX,Outperform
27,HD,Outperform
28,PG,Overweight
29,CI,Outperform
30,KHC,Neutral
31,ADBE,Buy
32,LOW,Outperform
33,XOM,Neutral
34,MA,Overweight
35,PEP,Hold
36,CMCSA,Outperform
37,GS,Outperform
38,CRM,Overweight
39,WMT,Outperform
40,V,Overweight
41,PCG,Equal-Weight
42,aprn,Equal-Weight
43,CMG,Outperform
44,HOG,Outperform
45,NOV,Underweight
46,NLSN,Overweight
47,SPG,Overweight
48,NKLA,Buy
49,AAL,Hold
50,OXY,Buy
51,BIIB,Outperform
52,GRUB,Neutral
53,XRX,Equal-Weight
54,GPRO,Underweight
55,GRPN,Neutral
56,KSS,Underweight
57,BA,Neutral
58,HAL,Overweight
59,UA,Neutral
60,W,Equal-Weight
61,M,Underweight
62,PGR,Equal-Weight
63,KO,Overweight
64,CTSH,Outperform
65,CLX,Hold
66,K,Equal-Weight
67,DVA,Hold
68,PAYC,Outperform
69,CL,Hold
70,VRTX,Equal-Weight
71,MKC,Hold
72,WAB,Overweight
73,NCLH,Underweight
74,MMM,Outperform
75,CERN,Overweight
76,TAP,Equal-Weight
77,TGT,Outperform
78,JPM,Overweight
79,IBM,Equal-Weight
80,PTON,Buy
81,BABA,Buy
82,NIO,Buy
83,F,Buy
84,BAC,Underweight
85,LMT,Overweight
86,CCL,Buy
