,Symbol,Company,Buy,Analyst
0,ACST,Acasti Pharma Inc. Class A Common Stock,0,Strong Sell
1,AKTX,Akari Therapeutics plc ADR (0.01 USD),0,Strong Sell
2,BELFB,Bel Fuse Inc. Class B Common Stock,0,Strong Sell
3,CCLP,CSI Compressco LP Common Units,0,Strong Sell
4,CPIX,Cumberland Pharmaceuticals Inc. Common Stock,0,Strong Sell
5,DYAI,Dyadic International Inc. Common Stock,0,Strong Sell
6,EBIX,Ebix Inc. Common Stock,0,Strong Sell
7,EVOK,Evoke Pharma Inc. Common Stock,0,Strong Sell
8,FCAP,First Capital Inc. Common Stock,0,Strong Sell
9,FLDM,Fluidigm Corporation Common Stock,0,Strong Sell
10,GTH,Genetron Holdings Limited ADS,0,Strong Sell
11,HUGE,FSD Pharma Inc. Class B Subordinate Voting Shares,0,Strong Sell
12,JBSS,John B. Sanfilippo & Son Inc. Common Stock,0,Strong Sell
13,JCS,Communications Systems Inc. Common Stock,0,Strong Sell
14,JOUT,Johnson Outdoors Inc. Class A Common Stock,0,Strong Sell
15,MARK,Remark Holdings Inc. Common Stock,0,Strong Sell
16,MMAT,Meta Materials Inc. Common Stock,0,Strong Sell
17,NCSM,NCS Multistage Holdings Inc. Common Stock,0,Strong Sell
18,NWS,News Corporation Class B Common Stock,0,Strong Sell
19,PBTS,Powerbridge Technologies Co. Ltd. Ordinary Shares,0,Strong Sell
20,POWL,Powell Industries Inc. Common Stock,0,Strong Sell
21,PSEC,Prospect Capital Corporation Common Stock,0,Strong Sell
22,REDU,RISE Education Cayman Ltd American Depositary Shares,0,Strong Sell
23,RGP,Resources Connection Inc. Common Stock,0,Strong Sell
24,SNGX,Soligenix Inc. Common Stock,0,Strong Sell
25,TLGT,Teligent Inc. Common Stock,0,Strong Sell
26,TOPS,TOP Ships Inc. Common Stock,0,Strong Sell
27,TRMT,Tremont Mortgage Trust Common Shares of Beneficial Interest,0,Strong Sell
28,TYME,Tyme Technologies Inc. Common Stock,0,Strong Sell
29,UFPT,UFP Technologies Inc. Common Stock,0,Strong Sell
30,WTER,The Alkaline Water Company Inc. Common Stock,0,Strong Sell
31,ACB,Aurora Cannabis Inc. Common Shares,0,Sell
32,AMCX,AMC Networks Inc. Class A Common Stock,0,Sell
33,CLOV,Clover Health Investments Corp. Class A Common Stock,0,Sell
34,FIZZ,National Beverage Corp. Common Stock,0,Sell
35,GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,0,Sell
36,INVA,Innoviva Inc. Common Stock,0,Sell
37,MVST,Microvast Holdings Inc. Common Stock,0,Sell
38,ORPH,Orphazyme A/S American Depositary Shares,0,Sell
39,PAHC,Phibro Animal Health Corporation Class A Common Stock,0,Sell
40,QIWI,QIWI plc American Depositary Shares,0,Sell
41,YQ,17 Education & Technology Group Inc. American Depositary Shares,0,Sell
42,AAIC,Arlington Asset Investment Corp Class A (new),0,Hold
43,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),0,Hold
44,ADT,ADT Inc. Common Stock,0,Hold
45,AEG,AEGON N.V. Common Stock,0,Hold
46,AGM,Federal Agricultural Mortgage Corporation Common Stock,0,Hold
47,AGR,Avangrid Inc. Common Stock,0,Hold
48,AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,0,Hold
49,ALE,Allete Inc.,0,Hold
50,ALX,Alexander's Inc. Common Stock,0,Hold
51,AM,Antero Midstream Corporation Common Stock,0,Hold
52,AMC,AMC Entertainment Holdings Inc. Class A Common Stock,0,Hold
53,AMR,Alpha Metallurgical Resources Inc. Common Stock,0,Hold
54,APAM,Artisan Partners Asset Management Inc. Class A Common Stock,0,Hold
55,ARI,Apollo Commercial Real Estate Finance Inc,0,Hold
56,ARR,ARMOUR Residential REIT Inc.,0,Hold
57,ARW,Arrow Electronics Inc. Common Stock,0,Hold
58,ASB,Associated Banc-Corp Common Stock,0,Hold
59,ATIP,ATI Physical Therapy Inc. Class A Common Stock,0,Hold
60,AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),0,Hold
61,AWI,Armstrong World Industries Inc Common Stock,0,Hold
62,AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),0,Hold
63,BAP,Credicorp Ltd. Common Stock,0,Hold
64,BCSF,Bain Capital Specialty Finance Inc. Common Stock,0,Hold
65,BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing one Class A Ordinary Share,0,Hold
66,BEN,Franklin Resources Inc. Common Stock,0,Hold
67,BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,0,Hold
68,BIG,Big Lots Inc. Common Stock,0,Hold
69,BKE,Buckle Inc. (The) Common Stock,0,Hold
70,BMI,Badger Meter Inc. Common Stock,0,Hold
71,BOH,Bank of Hawaii Corporation Common Stock,0,Hold
72,BPMP,BP Midstream Partners LP Common Units representing Limited Partner Interests,0,Hold
73,BRFS,BRF S.A.,0,Hold
74,BTU,Peabody Energy Corporation Common Stock ,0,Hold
75,CAAP,Corporacion America Airports SA Common Shares,0,Hold
76,CAI,CAI International Inc. Common Stock,0,Hold
77,CAJ,Canon Inc. American Depositary Shares,0,Hold
78,CANG,Cango Inc. American Depositary Shares  each representing two (2) Class A Ordinary Shares,0,Hold
79,CBU,Community Bank System Inc. Common Stock,0,Hold
80,CCO,Clear Channel Outdoor Holdings Inc. Common Stock,0,Hold
81,CCU,Compania Cervecerias Unidas S.A. Common Stock,0,Hold
82,CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),0,Hold
83,CFR,Cullen/Frost Bankers Inc. Common Stock,0,Hold
84,CHH,Choice Hotels International Inc. Common Stock,0,Hold
85,CHS,Chico's FAS Inc. Common Stock,0,Hold
86,CHT,Chunghwa Telecom Co. Ltd.,0,Hold
87,CIG,Comp En De Mn Cemig ADS American Depositary Shares,0,Hold
88,CIM,Chimera Investment Corporation Common Stock,0,Hold
89,CL,Colgate-Palmolive Company Common Stock,0,Hold
90,CLB,Core Laboratories N.V. Common Stock,0,Hold
91,CLDR,Cloudera Inc. Common Stock,0,Hold
92,CLI,Mack-Cali Realty Corporation Common Stock,0,Hold
93,CLS,Celestica Inc. Common Stock,0,Hold
94,CLX,Clorox Company (The) Common Stock,0,Hold
95,CMC,Commercial Metals Company Common Stock,0,Hold
96,CNA,CNA Financial Corporation Common Stock,0,Hold
97,COR,CoreSite Realty Corporation Common Stock,0,Hold
98,CORR,CorEnergy Infrastructure Trust Inc. Common Stock,0,Hold
99,CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),0,Hold
100,CPB,Campbell Soup Company Common Stock,0,Hold
101,CPLG,CorePoint Lodging Inc. Common Stock ,0,Hold
102,CRS,Carpenter Technology Corporation Common Stock,0,Hold
103,CTK,CooTek (Cayman) Inc. American Depositary Shares each representing 50 Class A Ordinary Shares,0,Hold
104,CUK,Carnival Plc ADS ADS,0,Hold
105,CVI,CVR Energy Inc. Common Stock,0,Hold
106,CXP,Columbia Property Trust Inc. Common Stock,0,Hold
107,DDD,3D Systems Corporation Common Stock,0,Hold
108,DDS,Dillard's Inc. Common Stock,0,Hold
109,DIDI,DiDi Global Inc. American Depositary Shares (each four representing one Class A Ordinary Share),0,Hold
110,DK,Delek US Holdings Inc. Common Stock,0,Hold
111,DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,0,Hold
112,DRQ,Dril-Quip Inc. Common Stock,0,Hold
113,E,ENI S.p.A. Common Stock,0,Hold
114,ELVT,Elevate Credit Inc. Common Stock,0,Hold
115,ENBL,Enable Midstream Partners LP Common Units representing limited partner interests,0,Hold
116,EPAC,Enerpac Tool Group Corp. Common Stock,0,Hold
117,EQC,Equity Commonwealth Common Shares of Beneficial Interest,0,Hold
118,ETRN,Equitrans Midstream Corporation Common Stock ,0,Hold
119,EXPR,Express Inc. Common Stock,0,Hold
120,FET,Forum Energy Technologies Inc. Common Stock,0,Hold
121,FHI,Federated Hermes Inc. Common Stock,0,Hold
122,FI,Frank's International N.V. Common Stock,0,Hold
123,FIX,Comfort Systems USA Inc. Common Stock,0,Hold
124,FLNG,FLEX LNG Ltd. Ordinary Shares,0,Hold
125,FLO,Flowers Foods Inc. Common Stock,0,Hold
126,FMS,Fresenius Medical Care AG Common Stock,0,Hold
127,FSLY,Fastly Inc. Class A Common Stock,0,Hold
128,GCP,GCP Applied Technologies Inc. Common Stock,0,Hold
129,GKOS,Glaukos Corporation Common Stock,0,Hold
130,GLOP,GasLog Partners LP Common Units representing limited partnership interests,0,Hold
131,GOL,Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing 2 Pfd Shares,0,Hold
132,GPX,GP Strategies Corporation Common Stock,0,Hold
133,GRA,W.R. Grace & Co. Common Stock,0,Hold
134,GSBD,Goldman Sachs BDC Inc. Common Stock,0,Hold
135,H,Hyatt Hotels Corporation Class A Common Stock,0,Hold
136,HBB,Hamilton Beach Brands Holding Company Class A Common Stock ,0,Hold
137,HE,Hawaiian Electric Industries Inc. Common Stock,0,Hold
138,HLI,Houlihan Lokey Inc. Class A Common Stock,0,Hold
139,HMN,Horace Mann Educators Corporation Common Stock,0,Hold
140,HMY,Harmony Gold Mining Company Limited,0,Hold
