Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACB,Aurora Cannabis Inc. Common Shares,$6.63,0.01,0.151%,1312605696.00,Canada,,3180628,,
AMCX,AMC Networks Inc. Class A Common Stock,$47.68,0.39,0.825%,2012843765.00,United States,,980692,Consumer Services,Broadcasting
CLOV,Clover Health Investments Corp. Class A Common Stock,$8.31,0.17,2.088%,3662217000.00,United States,,22289950,Health Care,Misc Health and Biotechnology Services
FIZZ,National Beverage Corp. Common Stock,$52.22,0.40,0.772%,4873188468.00,United States,,639804,Consumer Non-Durables,Beverages (Production/Distribution)
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,$10.98,-0.09,-0.813%,1619211816.00,Argentina,,949842,Finance,Commercial Banks
INVA,Innoviva Inc. Common Stock,$15.65,0.41,2.69%,1087590208.00,United States,,4069243,Health Care,Biotechnology: Pharmaceutical Preparations
MVST,Microvast Holdings Inc. Common Stock,$9.16,0.00,0.00%,2752728813.00,United States,2019,10876652,Capital Goods,Industrial Machinery/Components
ORPH,Orphazyme A/S American Depositary Shares,$4.76,0.16,3.478%,166372667.00,Denmark,2020,721480,Technology,Computer Software: Prepackaged Software
PAHC,Phibro Animal Health Corporation Class A Common Stock,$21.65,0.34,1.595%,876903113.00,United States,2014,357362,,
QIWI,QIWI plc American Depositary Shares,$8.17,-0.22,-2.622%,510059914.00,Cyprus,2013,717657,Miscellaneous,Business Services
YQ,17 Education & Technology Group Inc. American Depositary Shares,$1.09,-0.01,-0.909%,210207110.00,China,2020,1137391,Consumer Services,Other Consumer Services
