Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACST,Acasti Pharma Inc. Class A Common Stock,$2.19,0.02,0.922%,96991121.00,Canada,,414832,,
AKTX,Akari Therapeutics plc ADR (0.01 USD),$1.81,0.01,0.556%,86151147.00,United Kingdom,,85718,Health Care,Biotechnology: Pharmaceutical Preparations
BELFB,Bel Fuse Inc. Class B Common Stock,$12.41,-0.40,-3.123%,154067221.00,United States,,144452,Capital Goods,Electrical Products
CCLP,CSI Compressco LP Common Units,$1.59,0.01,0.633%,76274272.00,United States,2011,49956,Energy,Oilfield Services/Equipment
CPIX,Cumberland Pharmaceuticals Inc. Common Stock,$2.80,-0.07,-2.439%,41662877.00,United States,2009,40006,Health Care,Biotechnology: Pharmaceutical Preparations
DYAI,Dyadic International Inc. Common Stock,$5.37,0.10,1.898%,150785073.00,United States,,661610,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EBIX,Ebix Inc. Common Stock,$27.76,0.48,1.76%,858989867.00,United States,,396724,Technology,EDP Services
EVOK,Evoke Pharma Inc. Common Stock,$1.18,0.09,8.257%,38278468.00,United States,2013,178643,Health Care,Biotechnology: Pharmaceutical Preparations
FCAP,First Capital Inc. Common Stock,$41.17,-0.16,-0.387%,138902310.00,United States,,4384,Finance,Savings Institutions
FLDM,Fluidigm Corporation Common Stock,$6.94,0.16,2.36%,528598827.00,United States,2011,1244626,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GTH,Genetron Holdings Limited ADS,$16.46,0.07,0.427%,1462828511.00,China,2020,2096812,Health Care,Medical Specialities
HUGE,FSD Pharma Inc. Class B Subordinate Voting Shares,$1.55,-0.07,-4.321%,55545242.00,Canada,,476172,,
JBSS,John B. Sanfilippo & Son Inc. Common Stock,$81.55,0.79,0.978%,935338214.00,United States,1991,113949,Consumer Non-Durables,Specialty Foods
JCS,Communications Systems Inc. Common Stock,$8.30,0.32,4.01%,80657848.00,United States,,856570,Public Utilities,Telecommunications Equipment
JOUT,Johnson Outdoors Inc. Class A Common Stock,$109.20,3.25,3.067%,1105890240.00,United States,,70218,Consumer Non-Durables,Recreational Products/Toys
MARK,Remark Holdings Inc. Common Stock,$1.21,-0.03,-2.419%,121962475.00,United States,,1136365,Consumer Services,Telecommunications Equipment
MMAT,Meta Materials Inc. Common Stock,$5.18,0.07,1.37%,1447127908.00,United States,,35628173,Technology,Semiconductors
NCSM,NCS Multistage Holdings Inc. Common Stock,$27.08,-1.89,-6.524%,64459959.00,United States,2017,3104,Energy,Oilfield Services/Equipment
NWS,News Corporation Class B Common Stock,$21.73,-0.27,-1.227%,12839002897.00,United States,,1541698,Consumer Services,Broadcasting
PBTS,Powerbridge Technologies Co. Ltd. Ordinary Shares,$1.34,0.01,0.752%,12327386.00,China,2019,1750928,Technology,EDP Services
POWL,Powell Industries Inc. Common Stock,$23.25,-0.31,-1.316%,271831397.00,United States,,587924,Consumer Durables,Electrical Products
PSEC,Prospect Capital Corporation Common Stock,$7.87,0.03,0.383%,3062417929.00,United States,2004,3058097,Finance,Finance/Investors Services
REDU,RISE Education Cayman Ltd American Depositary Shares,$0.78,-0.01,-1.266%,44056667.00,China,2017,87802,Miscellaneous,Service to the Health Industry
RGP,Resources Connection Inc. Common Stock,$14.69,-0.31,-2.067%,487513211.00,United States,,1002599,Miscellaneous,Business Services
SNGX,Soligenix Inc. Common Stock,$1.08,0.02,1.887%,43312061.00,United States,,630389,Health Care,Biotechnology: Pharmaceutical Preparations
TLGT,Teligent Inc. Common Stock,$0.39,0.008,2.094%,36198822.00,United States,,3519215,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TOPS,TOP Ships Inc. Common Stock,$1.41,-0.01,-0.704%,56163081.00,Greece,,434465,Transportation,Marine Transportation
TRMT,Tremont Mortgage Trust Common Shares of Beneficial Interest,$5.58,-0.08,-1.413%,46382757.00,United States,2017,11700,Consumer Services,Real Estate Investment Trusts
TYME,Tyme Technologies Inc. Common Stock,$1.03,-0.01,-0.962%,177373101.00,United States,,788610,Health Care,Biotechnology: Pharmaceutical Preparations
UFPT,UFP Technologies Inc. Common Stock,$63.44,-0.30,-0.471%,477792270.00,United States,1993,76551,Capital Goods,Containers/Packaging
WTER,The Alkaline Water Company Inc. Common Stock,$1.64,0.05,3.145%,155348183.00,United States,,1554755,Consumer Non-Durables,Beverages (Production/Distribution)
