Ticker,Conversations,Headlines,regularMarketVolume,profitMargins,sharesShort,sharesPercentSharesOut,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,sharesShortPriorMonth,Buy
KHC,0.7554945054945055,0.3460591133004926,0.05607015416736399,0.6943820556829344,0.1732932406134412,0.102861562258314,0.6897973243255257,0.027648211992158455,0.7166666666666686,0.882352941176471,0.3200908059023837,0.15538034474096435,0.23941816408957872,0
BIIB,0.6923076923076925,0.8238916256157635,0.046037958432274845,0.8338226701075678,0.019920093494500184,0.12529002320185614,0.7672118760833816,0.010342729669438246,0.75,0.8986928104575185,0.2735527809307605,0.1431762501018676,0.03015612243705241,0
JPM,0.3461538461538462,0.7524630541871922,0.1567770325386413,0.8998378883914646,0.1352918760656652,0.004640369682907965,0.6056269167518556,0.0144832015142297,0.75,0.8986928104575185,0.053348467650397274,0.0,0.18465695348466565,0
GRPN,0.5467032967032968,0.4248768472906404,0.004635062337543785,0.5516097135738904,0.016035800084594362,0.6921886697602475,0.505289123961065,0.3674373014263503,0.0,0.8986928104575185,0.2054483541430193,0.12499534828074861,0.01988925274361784,0
OXY,0.6813186813186813,0.3251231527093596,0.12377116100091168,0.14978687547634129,0.17461624665618494,0.14926528228924982,0.5301124494421975,0.003548975866964104,0.0,0.8986928104575185,0.07945516458569807,0.15293560108815601,0.23844459387268965,1
NVDA,0.6016483516483517,0.5640394088669951,0.11843610182325466,0.847130393478874,0.06823598770245333,0.07579272621809746,0.5524912218320815,0.06837693503684174,0.25833333333332575,1.0,0.06583427922814983,0.26557459785401727,0.055569745595228544,1
GPRO,0.7280219780219781,0.5086206896551725,0.04114896993543298,0.6335303662634758,0.10576114577660119,0.6720804331013148,0.5551246722076537,0.01978976542959508,0.0,0.8986928104575185,0.17593643586833144,0.1251761488114565,0.09804829909641585,0
GRUB,0.26373626373626374,0.0,0.11217696302113263,0.6184036062700345,0.07312492356203291,0.7896365042536736,0.9912218320814261,0.002027986378692625,0.75,0.8986928104575185,0.7480136208853575,0.12707806090283155,0.08150665029581443,0
HD,0.5164835164835166,0.5406403940886699,0.029226249062274345,0.7434770007227015,0.06757938487797041,0.026295436968290793,0.5917485221565404,0.000675995403231258,0.25833333333332575,1.0,0.20090805902383654,0.27507120492778747,0.08585080335658908,1
MSFT,0.7664835164835166,0.3793103448275862,0.21899118859725605,0.9048099322927614,0.4747084661628291,0.021655065738592418,0.5975266011822747,0.0008618940884201987,0.75,0.29738562091503695,0.17480136208853572,0.85464627578353,0.4430912445163565,0
TSLA,0.6208791208791209,0.5012315270935961,0.18628720327785586,0.701613539941437,0.39633053153582176,0.3696829079659706,0.3029801324503312,0.3313729297640776,0.75,0.8986928104575185,0.10556186152099886,0.38321417799567414,0.39925545101765253,1
TMUS,0.8296703296703298,0.5972906403940887,0.044297656651386075,0.7099109174403918,0.11825042050992486,0.056457849961330235,0.254333525934486,0.8872270668559452,0.0,0.8986928104575185,0.37570942111237227,0.22730387231305826,0.12999101749513736,1
AAPL,0.9010989010989012,0.5578817733990148,0.623019482457362,0.8309951855424451,0.9991320133616433,0.018561484918793503,0.46103160140450694,0.0009125937436625432,0.7166666666666686,0.5849673202614412,0.08172531214528944,1.0,0.9631186920800756,1
GOOGL,0.5741758241758241,0.4211822660098522,0.009481052967894381,0.8479984268172261,0.02720596380347063,0.006960556844547557,0.6956308724832215,0.001960386500371797,0.75,0.8986928104575185,0.24063564131668555,0.7010518827443006,0.022417085756216842,1
GS,0.27197802197802196,0.5369458128078818,0.021411357569274668,0.8684865666415682,0.03349457336961929,0.07192575406032481,0.6101271167607449,0.009176637598864326,0.75,0.8986928104575185,0.11464245175936436,0.06332145849409862,0.04021644458693737,0
HOG,0.19505494505494508,0.3583743842364532,0.012017435552939222,0.7104534382768619,0.12203420491344942,0.7788090177880896,0.8610937708342594,0.009937132934496044,0.7249999999999943,0.8986928104575185,0.9114642451759364,0.12969767945802552,0.1448696204054885,1
K,0.07692307692307693,0.41748768472906406,0.014873224172899643,0.7393027815809198,0.15633835520273928,0.42768753286929617,0.7911129383528158,0.012303116338808895,0.01666666666665151,0.9052287581699332,0.7128263337116911,0.1364371832258928,0.19196218871658646,0
NKLA,0.3681318681318682,0.37561576354679804,0.09307111734766127,0.6813168780593787,0.40025664152975604,0.9783449342614076,0.00021113160584917967,1.0,0.0,0.8986928104575185,0.39273552780930765,0.12589992745723952,0.29816326241070923,0
SBUX,0.43681318681318687,0.19458128078817732,0.03444737676734222,0.7079706076252515,0.07099049517290557,0.02320185614849187,0.5836814969554203,0.00256878253227878,0.7249999999999943,0.588235294117645,0.1112372304199773,0.18569431801426653,0.10073463039058148,1
FB,0.5027472527472527,0.33866995073891626,0.15565517911291446,0.9094500810940999,0.2347400447906266,0.04253673627223511,0.6910529356860307,0.009396336442912186,0.75,0.8986928104575185,0.10556186152099886,0.46530095469895294,0.24710112971719012,1
CLX,0.46978021978021983,0.24137931034482757,0.008135935987716234,0.7596377390514348,0.0647293000095444,0.50889407579273,0.7608227032312548,0.0024673832217940914,0.75,0.29738562091503695,0.6594778660612939,0.13477757327536052,0.0696743180823298,0
M,0.8653846153846154,0.4495073891625616,0.11481445027918184,0.5422145355884413,0.32185050721199826,0.9930394431554525,0.7377105649139963,0.001723788278239708,0.25,0.9967320261437891,0.1906923950056754,0.12940052159165186,0.38837669792053714,0
AAL,0.7087912087912089,0.3066502463054187,0.2818178360393277,0.28860838363192926,0.6722579091101744,0.9999999999999999,0.3777168318591937,0.016173190022307847,0.75,0.8986928104575185,0.1793416572077185,0.14365037420853077,0.662889809370823,1
NLSN,0.0,0.6539408866995075,0.03161452658459543,0.6807105312421474,0.17660750134390255,0.4593967517401391,1.0,0.009125937943621983,0.0,0.8986928104575185,0.6583427922814983,0.13157505971069183,0.1913464664421537,0
JNJ,0.6016483516483517,0.4938423645320197,0.08311829328664504,0.7958717483295623,0.11241514197904284,0.003093580819798915,0.5689697319880884,0.001013993104846887,0.7833333333333314,0.9084967320261441,0.1623155505107832,0.30242667265550144,0.14850613558835363,0
APRN,0.7005494505494507,0.3854679802955665,0.00175168907650554,0.6173632421453673,0.008313969310098295,0.7115235112142305,0.12344993110804928,0.2569458527682012,0.0,0.8986928104575185,0.29625425652667425,0.12458369199089546,0.009804638871498031,
