,Symbol,Name,Buy,Analyst,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat
0,AAN,Aarons Holdings Company Inc. Common Stock ,1,Buy,,0.057579998,2.97,22.165,0.94604,2.27,0.0257
1,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,1,Buy,1.360807,0.05732,12.75,52.44,1.03329,5.65,0.0627
2,AAT,American Assets Trust Inc. Common Stock,1,Buy,1.266921,0.05345,0.93,20.693,1.01747,5.81,0.040599998
3,AB,AllianceBernstein Holding L.P.  Units,1,Buy,1.41703,0.91867995,3.91,16.073,0.14079,4.8,0.0138
4,ABB,ABB Ltd Common Stock,1,Buy,1.062713,0.20292,1.71,6.945,0.059270002,1.71,
5,ABC,AmerisourceBergen Corporation Common Stock,1,Buy,0.538755,-0.01832,10.56,0.183,0.66003,1.87,0.0107
6,ABG,Asbury Automotive Group Inc Common Stock,1,Buy,1.664301,0.04857,21.04,59.37,1.0781,10.23,0.118999995
7,ACEL,Accel Entertainment Inc. ,1,Buy,,0.021949999,0.82,1.622,0.64992,11.72,0.041199997
8,ACI,Albertsons Companies Inc. Class A Common Stock,1,Buy,,0.01039,2.22,3.641,0.73627,8.82,0.0995
9,ACR,ACRES Commercial Realty Corp. Common Stock,1,Buy,1.980895,0.68437,1.59,49.571,0.51014,1.37,0.0054
10,ACRE,Ares Commercial Real Estate Corporation Common Stock,1,Buy,1.368995,0.64815,1.42,14.467,0.52198005,1.4,0.015
11,ADNT,Adient plc Ordinary Shares ,1,Buy,3.281366,0.00772,5.0,15.57,0.93192,3.69,0.0436
12,AEE,Ameren Corporation Common Stock,1,Buy,0.2762,0.16077,4.04,36.379,0.77045995,2.8,0.0139
13,AEL,American Equity Investment Life Holding Company Common Stock,1,Buy,1.195414,0.23381001,4.71,68.022,0.98345,6.39,0.026700001
14,AEM,Agnico Eagle Mines Limited Common Stock,1,Buy,0.727074,0.19780001,3.02,24.064,0.74407995,1.09,0.0068
15,AEO,American Eagle Outfitters Inc. Common Stock,1,Buy,1.435589,0.0612,2.4,7.572,1.1381,5.65,0.1839
16,AFG,American Financial Group Inc. Common Stock,1,Buy,0.943777,0.27391002,9.2,66.117,0.66849,2.46,0.0109
17,AFL,AFLAC Incorporated Common Stock,1,Buy,1.004912,0.25231,5.2,50.202,0.61942,6.26,0.0232
18,AGI,Alamos Gold Inc. Class A Common Shares,1,Buy,1.070385,0.027090002,0.31,6.899,0.67855,2.27,
19,AHT,Ashford Hospitality Trust Inc Common Stock,1,Buy,2.25,-0.85857004,-1.93,-3.73,0.24996,0.31,0.030299999
20,AI,C3.ai Inc. Class A Common Stock,1,Buy,,-0.47814,-0.93,10.049,0.42551997,4.99,0.1438
21,AIG,American International Group Inc. New Common Stock,1,Buy,1.385917,0.09495,5.37,76.729,0.92025,3.33,0.0172
22,AIN,Albany International Corporation Common Stock,1,Buy,1.434497,0.12962,3.62,26.689,1.00471,3.97,0.024500001
23,AIRC,Apartment Income REIT Corp. Common Stock,1,Buy,,-0.11993,0.59,10.053,1.00792,2.87,0.016
24,AKR,Acadia Realty Trust Common Stock,1,Buy,1.497816,-0.03979,0.21,16.95,1.0539601,5.1,0.0369
25,ALB,Albemarle Corporation Common Stock,1,Buy,1.575327,0.21777001,5.28,52.722,0.85089993,1.73,0.0233
26,ALC,Alcon Inc. Ordinary Shares,1,Buy,0.485422,0.02341,2.41,38.906,0.55794996,6.58,
27,ALL,Allstate Corporation (The) Common Stock,1,Buy,0.855895,0.08104,12.95,87.667,0.78723997,5.73,0.0273
28,ALLE,Allegion plc Ordinary Shares,1,Buy,1.191593,0.16117,6.01,8.734,0.8851,2.45,0.0178
