,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Prediction
0,0.09,0.19,1.73,0.05,2.79,22.71,1.0,3.08,0.03,Buy
1,0.25,0.21,1.3,0.06,12.76,52.44,1.03,6.92,0.07,Buy
2,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
3,0.09,0.19,1.41,0.92,3.83,16.07,0.14,4.98,0.01,Buy
4,0.09,0.19,1.08,0.06,1.56,7.0,0.06,1.39,0.06,Buy
5,0.19,0.27,0.53,-0.02,10.57,0.18,0.66,2.17,0.01,Buy
6,0.09,0.19,1.73,0.05,27.41,46.95,1.08,9.09,0.13,Buy
7,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
8,-0.02,0.12,1.73,0.01,2.48,4.2,0.74,9.11,0.09,Buy
9,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
10,0.09,0.19,1.36,0.65,1.45,14.47,0.52,1.94,0.02,Buy
11,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
12,0.18,0.04,0.28,0.16,4.03,36.38,0.77,2.47,0.01,Buy
13,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
14,0.09,0.19,0.77,0.2,3.88,24.06,0.74,1.3,0.01,Buy
15,0.09,0.19,1.48,0.06,2.38,7.57,1.14,4.71,0.17,Buy
16,0.25,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
17,0.03,0.29,1.02,0.25,5.2,50.2,0.61,4.67,0.02,Buy
18,0.09,0.19,1.73,-0.02,0.49,6.93,0.68,1.15,0.06,Buy
19,0.09,0.19,2.17,-0.52,-1.93,1.78,0.22,0.53,0.04,Buy
20,0.23,0.23,1.73,-0.48,-0.92,10.05,0.43,5.67,0.19,Buy
21,0.17,0.34,1.34,0.09,5.38,76.73,0.92,1.99,0.01,Buy
22,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
23,0.08,0.56,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
24,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
25,0.19,0.37,1.59,0.22,5.39,52.72,0.85,1.79,0.02,Buy
26,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
27,-0.07,0.22,0.87,0.08,12.74,87.67,0.79,3.19,0.02,Buy
28,0.06,0.07,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
29,0.1,0.3,1.16,0.16,5.01,6.83,1.06,2.77,0.04,Buy
30,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
31,0.13,0.19,0.46,0.07,0.84,3.1,0.41,8.16,0.03,Buy
