,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Buy
0,0.4838709677419355,0.4526315789473684,1.73,0.05,0.41193749265656204,0.005746980019225868,0.17667844522968199,0.06729504603244191,0.05084745762711865,1
1,0.6129032258064516,0.4736842105263157,1.3,0.06,0.5290800140994008,0.005938247934428753,0.18197879858657245,0.15146865409907934,0.11864406779661019,1
8,0.3951612903225807,0.3789473684210526,1.73,0.01,0.4082951474562331,0.005627895959003689,0.13074204946996468,0.1994739149495835,0.15254237288135594,1
9,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
11,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
14,0.4838709677419355,0.4526315789473684,0.77,0.2,0.4247444483609446,0.005755665242418734,0.13074204946996468,0.028277071459886016,0.016949152542372885,1
20,0.5967741935483871,0.49473684210526314,1.73,-0.48,0.36834684525907646,0.005665531926172773,0.07597173144876325,0.12406839105655414,0.3220338983050848,1
29,0.49193548387096775,0.5684210526315789,1.16,0.16,0.4380213840911761,0.005644816060483123,0.18727915194346292,0.060499780797895655,0.06779661016949154,1
39,0.4838709677419355,0.4526315789473684,1.19,0.03,0.35495241452238274,0.005771491649125733,0.09010600706713781,0.051293292415607185,0.03389830508474577,1
42,0.4838709677419355,0.4526315789473684,0.95,0.02,0.740453530724944,0.005775158743362721,0.21024734982332155,0.1727312582200789,0.44067796610169496,1
43,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
50,0.4838709677419355,0.4526315789473684,1.07,0.15,0.39701562683585945,0.005697506414519841,0.1254416961130742,0.1727312582200789,0.11864406779661019,1
56,0.43548387096774194,0.1894736842105263,1.18,0.08,0.4037128422042063,0.00558260412842756,0.08833922261484099,0.09601052170100832,0.38983050847457634,1
65,0.5161290322580645,0.3578947368421052,1.23,0.19,0.4925390670896486,0.005802887122593277,0.15371024734982333,0.057650153441473034,0.016949152542372885,1
70,0.4838709677419355,0.4526315789473684,1.26,0.07,0.4080601574433086,0.005777796477813887,0.15724381625441697,0.07606313020604998,0.03389830508474577,1
71,0.4838709677419355,0.4526315789473684,0.94,0.11,0.416637292915051,0.005740868195497555,0.00353356890459364,0.028057869355545814,0.1016949152542373,1
75,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
82,0.4838709677419355,0.4526315789473684,0.38,-0.07,0.3737516155563388,0.005612841572136055,0.045936395759717315,0.045594037702761936,0.1016949152542373,1
85,0.3951612903225807,0.6947368421052631,0.58,0.04,0.46974503583597693,0.005895658173290404,0.15724381625441697,0.07365190705830776,0.05084745762711865,1
101,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
104,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
105,0.4838709677419355,0.4526315789473684,1.37,0.75,0.40864763247561975,0.0057732286937643065,0.09540636042402828,0.09710653222270935,0.06779661016949154,1
118,0.4838709677419355,0.4526315789473684,0.94,0.04,0.38138879097638345,0.005904407731469884,0.01060070671378092,0.04800526085050416,0.1016949152542373,1
121,0.4838709677419355,0.4526315789473684,0.8,-0.01,0.38091881095053454,0.005680779318000248,0.1148409893992933,0.026961858833844804,0.1016949152542373,1
122,0.33870967741935487,0.4526315789473684,2.23,0.0,0.37892139584067674,0.005685218432076602,0.09363957597173146,0.04690925032880315,0.15254237288135594,1
128,0.5403225806451614,0.5999999999999999,0.38,0.16,0.41710727294089994,0.005689464541193114,0.14840989399293286,0.10521701008329679,0.05084745762711865,1
134,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
144,0.4838709677419355,0.4526315789473684,1.73,0.02,0.3904359064739748,0.005645395075362648,0.1413427561837456,0.0530469092503288,0.06779661016949154,1
148,0.6370967741935485,0.6631578947368421,-0.05,0.17,0.40782516743038416,0.005637867881928831,0.08833922261484099,0.0940377027619465,0.18644067796610173,1
157,0.4838709677419355,0.4526315789473684,1.3,-0.32,0.40629773234637523,0.005627059604177709,0.053003533568904596,0.02498903989478299,0.16949152542372883,1
161,0.4838709677419355,0.4526315789473684,0.74,-0.07,0.4023029021266596,0.005691780600711211,0.16254416961130744,0.07759754493643138,0.03389830508474577,1
162,0.4838709677419355,0.4526315789473684,1.34,-0.05,0.3761015156855833,0.005617795366105319,0.13604240282685512,0.08066637439719421,0.016949152542372885,1
172,0.3467741935483871,0.49473684210526314,1.38,0.1,0.41334743273410873,0.00565942010244446,0.14664310954063603,0.02981148619026743,0.016949152542372885,1
173,0.4838709677419355,0.4526315789473684,3.36,0.03,0.4117025026436376,0.0057527058330344985,0.05653710247349824,0.15146865409907934,0.06779661016949154,1
180,0.4838709677419355,0.4526315789473684,1.73,-2.2,0.37645400070497,0.005624614874686384,0.08833922261484099,0.1185883384480491,0.23728813559322037,1
186,0.4838709677419355,0.4526315789473684,0.74,0.38,0.48866173187639517,0.005696541389720634,0.09893992932862192,0.04274441034633932,0.1016949152542373,1
188,0.5645161290322581,0.5157894736842105,0.66,0.06,0.44894841969216304,0.005885364575432194,0.1254416961130742,0.039675580885576496,0.016949152542372885,1
200,0.4838709677419355,0.4526315789473684,1.15,-0.3,0.38138879097638345,0.005610010832725047,0.17667844522968199,0.4763261727312582,0.3559322033898305,1
205,0.4838709677419355,0.4526315789473684,3.2,-0.04,0.3810363059569968,0.005619017730850982,0.1501766784452297,0.09031126698816308,0.08474576271186442,1
206,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
207,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
214,0.4838709677419355,0.4526315789473684,1.14,-0.01,0.38080131594407235,0.005640055271473701,0.17491166077738515,0.1591407277509864,0.15254237288135594,1
225,0.4516129032258065,0.5473684210526315,2.09,0.18,0.41839971801198445,0.005658776752578322,0.13780918727915195,0.02542744410346339,0.03389830508474577,1
226,0.4112903225806452,0.27368421052631575,0.27,0.1,0.4095875925273175,0.005688692521353748,0.14840989399293286,0.11245067952652345,0.05084745762711865,1
230,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
234,0.4112903225806452,0.42105263157894735,1.73,-0.05,0.39325578662906824,0.005635551822410733,0.18021201413427562,0.183691363437089,0.33898305084745767,1
236,0.5806451612903226,0.24210526315789468,1.1,0.29,0.47514980613323926,0.006028316915688101,0.17137809187279152,0.07343270495396755,0.016949152542372885,1
238,0.4516129032258065,0.41052631578947363,1.15,0.18,0.4034778521912818,0.005793622884520887,0.17137809187279152,0.16264796142042962,0.08474576271186442,1
254,0.3306451612903226,0.44210526315789467,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
261,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
263,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
266,0.5241935483870969,0.6105263157894736,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
272,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
274,0.467741935483871,0.2842105263157894,1.23,0.07,0.6443426154388437,0.005831644861609655,0.12897526501766785,0.07562472599736957,0.03389830508474577,1
275,0.4838709677419355,0.4526315789473684,1.12,-0.09,0.4350840089296204,0.005688242176447451,0.15724381625441697,0.06444541867601929,0.11864406779661019,1
278,0.5161290322580645,0.14736842105263154,1.7,0.01,0.41698977793443776,0.005818906534260118,0.15547703180212014,0.07759754493643138,0.06779661016949154,1
287,0.5403225806451614,0.5578947368421052,1.04,0.07,0.4263893784514158,0.005578872699203958,0.14840989399293286,0.13327487943884261,0.08474576271186442,1
292,0.75,0.2842105263157894,0.6,0.11,0.3843261661379391,0.005692037940657667,0.17667844522968199,0.1172731258220079,0.15254237288135594,1
298,0.4838709677419355,0.4526315789473684,0.84,0.05,0.3812712959699212,0.0056348441375579815,0.10777385159010601,0.02893467777290662,0.1016949152542373,1
306,0.5161290322580645,0.8,1.73,0.08,0.40947009752085534,0.005648547489706724,0.18374558303886926,0.10894344585708023,0.08474576271186442,1
307,0.4838709677419355,0.4526315789473684,2.11,0.06,0.41111502761132646,0.005819549884126257,0.06537102473498234,0.045594037702761936,0.05084745762711865,1
311,0.3629032258064516,0.5999999999999999,1.12,0.19,0.488544236869933,0.005672801779660135,0.1413427561837456,0.09031126698816308,0.016949152542372885,1
313,0.532258064516129,0.3894736842105263,1.25,0.21,0.410880037598402,0.005810285646053867,0.14664310954063603,0.0265234546251644,0.03389830508474577,1
319,0.20967741935483872,0.46315789473684205,0.62,0.09,0.4282692985548114,0.005664309561427111,0.15547703180212014,0.19114423498465585,0.1016949152542373,1
321,0.4838709677419355,0.4526315789473684,1.19,0.04,0.38914346140289036,0.005681937347759297,0.18904593639575973,0.11047786058746163,0.18644067796610173,1
324,0.4838709677419355,0.4526315789473684,0.53,0.33,0.41381741275995765,0.0057283872080944745,0.11307420494699648,0.042086804033318714,0.1016949152542373,1
339,0.4838709677419355,0.4526315789473684,1.73,0.0,0.37762895076959224,0.005607115758327425,0.04770318021201414,0.04340201665935992,0.1016949152542373,1
340,0.5,0.33684210526315783,1.73,-1.88,0.3334508283397955,0.005716034890664621,0.060070671378091876,0.24484875054800526,0.5932203389830508,1
341,0.5645161290322581,0.6842105263157894,2.15,0.07,0.516155563388556,0.006340727610684807,0.13957597173144878,0.06882946076282331,0.03389830508474577,1
343,0.4838709677419355,0.4526315789473684,1.34,0.29,0.40136294207496176,0.005750003763596718,0.13427561837455831,0.10631302060499781,0.15254237288135594,1
358,0.4838709677419355,0.4526315789473684,1.02,0.13,0.3907883914933615,0.005628024628976916,0.04946996466431096,0.020824199912319156,0.1016949152542373,1
359,0.4838709677419355,0.4526315789473684,1.73,0.26,0.432264128774527,0.005654080298555513,0.16784452296819788,0.05392371766768961,0.016949152542372885,1
360,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
362,0.4838709677419355,0.4526315789473684,1.74,0.77,0.384796146163788,0.005637739211955603,0.11307420494699648,0.05436212187637001,0.03389830508474577,1
366,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
