,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Prediction
0,0.09,0.19,1.73,0.05,2.79,22.71,1.0,3.08,0.03,Buy
1,0.25,0.21,1.3,0.06,12.76,52.44,1.03,6.92,0.07,Buy
8,-0.02,0.12,1.73,0.01,2.48,4.2,0.74,9.11,0.09,Buy
9,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
11,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
14,0.09,0.19,0.77,0.2,3.88,24.06,0.74,1.3,0.01,Buy
20,0.23,0.23,1.73,-0.48,-0.92,10.05,0.43,5.67,0.19,Buy
29,0.1,0.3,1.16,0.16,5.01,6.83,1.06,2.77,0.04,Buy
39,0.09,0.19,1.19,0.03,-2.06,26.52,0.51,2.35,0.02,Buy
42,0.09,0.19,0.95,0.02,30.75,27.09,1.19,7.89,0.26,Buy
43,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
50,0.09,0.19,1.07,0.15,1.52,15.02,0.71,7.89,0.07,Buy
56,0.03,-0.06,1.18,0.08,2.09,-2.84,0.5,4.39,0.23,Buy
65,0.13,0.1,1.23,0.19,9.65,31.4,0.87,2.64,0.01,Buy
70,0.09,0.19,1.26,0.07,2.46,27.5,0.89,3.48,0.02,Buy
71,0.09,0.19,0.94,0.11,3.19,21.76,0.02,1.29,0.06,Buy
75,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
82,0.09,0.19,0.38,-0.07,-0.46,1.86,0.26,2.09,0.06,Buy
85,-0.02,0.42,0.58,0.04,7.71,45.82,0.89,3.37,0.03,Buy
101,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
104,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
105,0.09,0.19,1.37,0.75,2.51,26.79,0.54,4.44,0.04,Buy
118,0.09,0.19,0.94,0.04,0.19,47.18,0.06,2.2,0.06,Buy
121,0.09,0.19,0.8,-0.01,0.15,12.42,0.65,1.24,0.06,Buy
122,-0.09,0.19,2.23,0.0,-0.02,13.11,0.53,2.15,0.09,Buy
128,0.16,0.33,0.38,0.16,3.23,13.77,0.84,4.81,0.03,Buy
134,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
144,0.09,0.19,1.73,0.02,0.96,6.92,0.8,2.43,0.04,Buy
148,0.28,0.39,-0.05,0.17,2.44,5.75,0.5,4.3,0.11,Buy
157,0.09,0.19,1.3,-0.32,2.31,4.07,0.3,1.15,0.1,Buy
161,0.09,0.19,0.74,-0.07,1.97,14.13,0.92,3.55,0.02,Buy
162,0.09,0.19,1.34,-0.05,-0.26,2.63,0.77,3.69,0.01,Buy
