,Symbol,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Analyst
1,AAP,0.25,0.21,1.3,0.06,12.76,52.44,1.03,6.92,0.07,Buy
5,ABC,0.19,0.27,0.53,-0.02,10.57,0.18,0.66,2.17,0.01,Buy
12,AEE,0.18,0.04,0.28,0.16,4.03,36.38,0.77,2.47,0.01,Buy
17,AFL,0.03,0.29,1.02,0.25,5.2,50.2,0.61,4.67,0.02,Buy
21,AIG,0.17,0.34,1.34,0.09,5.38,76.73,0.92,1.99,0.01,Buy
25,ALB,0.19,0.37,1.59,0.22,5.39,52.72,0.85,1.79,0.02,Buy
27,ALL,-0.07,0.22,0.87,0.08,12.74,87.67,0.79,3.19,0.02,Buy
29,ALSN,0.1,0.3,1.16,0.16,5.01,6.83,1.06,2.77,0.04,Buy
31,AMCR,0.13,0.19,0.46,0.07,0.84,3.1,0.41,8.16,0.03,Buy
36,AN,0.1,0.32,1.51,0.05,17.87,35.96,0.87,3.38,0.13,Buy
37,AON,0.03,0.07,0.85,0.18,12.95,19.78,1.03,5.98,0.03,Buy
38,AOS,0.14,0.21,1.11,0.14,3.29,11.41,0.96,4.67,0.05,Buy
45,ARMK,0.08,0.19,1.92,-0.02,1.76,10.53,1.06,5.35,0.04,Buy
52,ATH,0.08,0.21,1.61,0.17,9.23,104.25,0.88,6.18,0.05,Buy
56,ATUS,0.03,-0.06,1.18,0.08,2.09,-2.84,0.5,4.39,0.23,Buy
60,AVB,0.02,0.06,0.94,0.48,3.7,78.26,0.92,3.25,0.02,Buy
62,AVY,0.04,0.02,1.03,0.09,9.55,20.54,0.9,1.99,0.01,Buy
63,AWK,0.09,0.33,0.27,0.19,4.61,36.86,0.87,1.84,0.01,Buy
65,AXP,0.13,0.1,1.23,0.19,9.65,31.4,0.87,2.64,0.01,Buy
68,AYI,0.11,0.43,1.61,0.09,12.23,57.59,1.04,4.65,0.05,Buy
69,AYX,-0.07,0.15,0.69,-0.11,0.06,6.42,0.78,4.42,0.05,Buy
72,BBY,0.55,0.2,1.55,0.05,9.29,17.53,0.83,3.56,0.04,Buy
77,BDX,0.19,0.28,0.76,0.1,12.4,84.03,0.88,1.51,0.01,Buy
85,BG,-0.02,0.42,0.58,0.04,7.71,45.82,0.89,3.37,0.03,Buy
89,BLL,-0.0,0.19,0.5,0.07,4.18,11.14,0.87,6.34,0.04,Buy
106,BXP,0.12,0.13,1.21,0.12,2.8,36.6,1.0,7.64,0.04,Buy
112,CAG,0.09,0.24,0.79,0.11,2.66,17.84,0.87,4.68,0.04,Buy
113,CAH,-0.06,0.0,1.04,0.0,6.19,6.16,0.89,1.77,0.03,Buy
117,CAT,0.13,0.15,0.93,0.1,10.55,30.75,0.7,1.63,0.01,Buy
119,CC,0.07,0.02,2.18,0.05,4.18,5.43,0.78,4.46,0.06,Buy
122,CCL,-0.09,0.19,2.23,0.0,-0.02,13.11,0.53,2.15,0.09,Buy
128,CHD,0.16,0.33,0.38,0.16,3.23,13.77,0.84,4.81,0.03,Buy
131,CIEN,0.15,0.34,0.86,0.14,3.15,18.85,0.96,3.93,0.03,Buy
135,CLF,0.28,0.35,2.22,0.12,5.37,7.99,0.73,2.52,0.13,Buy
137,CLR,0.19,0.19,3.2,0.1,4.66,18.22,0.14,5.87,0.17,Buy
139,CMA,0.01,0.16,1.52,0.34,5.54,56.55,0.81,2.22,0.03,Buy
140,CMI,0.07,0.34,1.05,0.1,18.74,54.77,0.84,2.34,0.02,Buy
