,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio,Buy
0,AAPL,0.6502700000000001,0.4380592592592591,0.16309999,1.202797,90956723.0,0.25004,0.10746753,5.67,3.882,93105968.0,0.0056,5.108,0.58427,0.00071000005,1624665600.0,1664150400.0,1.19,2530177712128.0,0.932,96355309.0,0.0056,1.34,1
1,AMC,0.845455,0.654251612903226,0.0,1.308768,107685031.0,0.0,5.7281713,-0.72,-2.736,92417118.0,0.18,-9.683,0.25226998,0.0032300001,1625011200.0,1672444800.0,0.98,30226407424.0,,79747897.0,0.1807,0.05,0
2,TSLA,0.5515450000000001,0.3447870967741935,0.0,1.963959,18604220.0,0.0521,0.49862123,6.97,25.207,26828057.0,0.0271,1.897,0.41296002,0.18962,1625011200.0,1672444800.0,1.38,701198565376.0,9.981,32355387.0,0.0334,2.59,1
3,NVDA,0.51042,0.4571400000000001,0.0572,1.348574,26257990.0,0.32324,0.6377976,4.63,8.472,26935275.0,0.0108,2.792,0.66529,0.04079,1627776000.0,1675123200.0,0.92,560336994304.0,2.817,28907540.0,0.0112,1.51,1
5,AMD,0.534035,0.4055257142857142,0.0,2.012372,56130467.0,0.25757,0.20850515,3.03,5.824,70574877.0,0.0582,2.837,0.69447,0.0043099998,1624665600.0,1672012800.0,0.81,131988332544.0,3.522,86903996.0,0.0585,1.47,1
6,BABA,0.60167,0.6858125000000002,0.0,0.811188,23769393.0,0.19253,-0.46486574,73.09,358.74,45773665.0,0.016900001,8.288,0.27271,0.26400998,1625011200.0,1680220800.0,2.36,266277797888.0,-0.052,47572399.0,,1.2,1
7,PFE,0.5557399999999998,0.5417071428571428,0.7064,0.67079,25307470.0,0.23798999,0.3317896,3.62,12.51,61418532.0,0.011,2.342,0.67275,0.00039,1625356800.0,1672444800.0,1.87,279084662784.0,0.594,61242990.0,0.011,0.89,0
8,PLTR,0.48533,0.2657,0.0,,43807752.0,-0.95135003,1.7063158,0.21,1.068,56349484.0,0.028900001,-0.79,0.23841,0.12776,1625011200.0,1672444800.0,1.8,48123416576.0,,61975111.0,0.0334,2.81,0
9,F,0.6860076923076922,0.2706097560975608,0.0,1.142549,41991664.0,0.02507,0.9487555,1.91,8.677,74137341.0,0.0186,0.856,0.54215,0.00243,1625011200.0,1672444800.0,1.34,176473309184.0,-0.498,61915989.0,0.0208,0.11,1
10,AMZN,0.74504,0.2903666666666666,0.0,1.143625,3192244.0,0.06641,-0.042722166,66.78,226.883,5094455.0,0.0101,57.395,0.59433997,0.13616,1625011200.0,1672444800.0,1.5,1729741324288.0,0.484,3927349.0,0.0117,1.76,1
11,MSFT,0.52653,0.1371526315789473,0.272,0.776223,16348072.0,0.36451998,0.31878388,10.03,18.884,41985444.0,0.0056,8.05,0.71736,0.00078,1625011200.0,1688083200.0,1.94,2204385148928.0,0.469,56416544.0,0.0056,2.14,0
12,BAC,0.60394,0.3260095238095237,0.24,1.551371,44814894.0,0.3184,0.6526643,3.01,29.89,87698192.0,0.0104,2.996,0.73183,0.0011100001,1625011200.0,1672444800.0,1.7,208213262336.0,1.611,77246040.0,0.0119,0.49,0
13,FB,0.3385424999999998,0.3111677419354838,0.0,1.292092,13547261.0,0.37175998,0.26127136,16.01,48.913,29160969.0,0.010299999,13.466,0.80560994,0.00602,1625011200.0,1672444800.0,2.07,999092584448.0,1.007,28560208.0,0.0123000005,0.89,0
14,NIO,0.59047,0.0287454545454545,0.0,2.537354,37968572.0,-0.29764998,0.8911531,-0.84,16.848,58826063.0,0.0359,-0.882,0.36411,0.00533,1625011200.0,1672444800.0,1.18,33197355008.0,,60747412.0,,490.8,1
16,DKNG,0.5199575000000001,0.4998999999999999,0.0,,11664856.0,-1.21155,0.62496614,-1.97,5.479,31970215.0,0.0792,-3.34,0.6087,0.077199996,1625011200.0,1672444800.0,2.71,22879866880.0,,28824900.0,0.096599996,-0.55,1
17,MRNA,0.4504649999999998,0.338796,0.0,1.489551,15476231.0,0.4979,5.0363235,24.46,16.635,15397507.0,0.0381,8.464,0.57887,0.09678,1625011200.0,1672444800.0,0.55,146894700544.0,,13647794.0,0.0521,0.7,0
18,GME,0.4274222222222221,0.2074894736842105,0.0,-2.084991,3289482.0,-0.02177,25.79085,-0.03,12.691,7573914.0,0.1018,-1.78,0.37085,0.18976,1619827200.0,1675036800.0,2.76,14203441152.0,,8075454.0,0.1705,6.11,0
19,BB,0.5524250000000002,0.419,0.0,1.006591,10290474.0,-1.23628,,0.06,2.66,46967161.0,0.0829,-1.97,0.42220002,0.01477,1614470400.0,1677542400.0,3.3,7687929856.0,,48477549.0,0.0941,3.38,0
20,WISH,0.5991925000000001,0.3551250000000001,0.0,,41125747.0,-0.28089002,,-0.22,1.505,24122833.0,0.039,-3.162,0.92903,0.04891,1617148800.0,1672444800.0,1.96,6630499840.0,,27233327.0,0.1575,-0.28,1
21,MU,0.5221275,0.26,0.0,1.250543,12534100.0,0.13602,,10.6,36.274,22896676.0,0.020399999,2.812,0.84073997,0.00164,1614816000.0,1662163200.0,1.27,88635260928.0,0.489,21386053.0,0.020499999,0.22,1
22,UBER,0.5005131578947367,0.3211263157894737,0.0,1.551359,28538841.0,-0.0797,,-0.65,7.145,69865082.0,0.0372,-3.861,0.76747,0.0127799995,1625011200.0,1672444800.0,3.68,89085911040.0,,76111558.0,0.0387,-2.02,1
23,BA,0.3271274999999999,0.2382153846153846,0.0,1.620763,7540700.0,-0.14303,,5.22,-30.897,9649887.0,0.0165,-20.547,0.54096,0.00098,1625011200.0,1672444800.0,0.87,172393185280.0,,9619024.0,0.0165,-51.06,0
24,CLOV,0.466425,0.3741105263157894,0.0,,14286815.0,-0.2174,,,,40456716.0,0.0991,,1.06287,0.24400999,1617148800.0,1672444800.0,1.07,2240140544.0,,38695492.0,,-0.23,0
25,CRM,0.5105675,0.3159888888888889,0.0,1.091304,5718365.0,0.19875,,4.15,45.15,22712479.0,0.024500001,4.38,0.79046,0.03612,1619740800.0,1675123200.0,3.63,215203840000.0,3.737,22624599.0,0.0254,5.5,1
26,CCL,0.424965,0.3377947368421052,0.0,2.307692,27479415.0,0.0,,0.24,17.503,72868755.0,0.0629,-13.02,0.52603,0.088999994,1622419200.0,1669766400.0,1.93,50576695296.0,,71553536.0,0.0999,0.03,1
27,AAL,0.4669925000000001,0.3940541666666666,0.0,1.850543,23638099.0,-0.61528,,-0.07,-12.387,83756250.0,0.1306,-14.725,0.52209,0.00984,1617148800.0,1672444800.0,2.52,48223707136.0,,90791904.0,0.1467,0.02,1
28,PTON,0.37766,0.1006849999999999,0.0,,11746075.0,0.05777,,-0.97,5.506,21592806.0,0.072399996,-2.105,0.78082,0.021140002,1617148800.0,1656547200.0,0.95,33814194176.0,,19984001.0,0.08189999,47.35,1
29,MARA,0.4601,0.1651823529411764,0.0,4.481521,9598382.0,5.7259803,,2.68,6.881,14866620.0,0.1495,0.719,0.2554,0.10857,1617148800.0,1672444800.0,0.75,2225870848.0,,12457095.0,0.15609999,0.47,1
30,JD,0.518175,0.3556083333333332,0.0,0.760326,7880989.0,0.06471,,2.42,121.964,28268787.0,0.018099999,5.081,0.42067,0.07018,1617148800.0,1672444800.0,2.51,48802496512.0,2.372,28810782.0,,2.02,1
31,HOOD,0.3957475,0.3053959999999999,,,12155380.0,,,,,,,,,,,,,,,,,,1
32,ABNB,0.3596050000000001,0.320125,0.0,,3952873.0,-1.5821899,,,,13485898.0,0.0218,,0.4516,0.00569,1617148800.0,1672444800.0,1.1,86935355392.0,,27438891.0,0.07,-1.12,1
33,INTC,0.4512125000000001,0.2699,0.3006,0.602717,13902044.0,0.23933001,,4.57,19.764,59986723.0,0.0149,4.456,0.66227996,0.00059,1616803200.0,1672012800.0,2.38,239090057216.0,-0.406,50068953.0,0.0149,1.12,0
34,GM,0.3730675,0.0536696969696969,0.0,1.328671,13690559.0,0.0913,,6.87,34.531,20594059.0,0.014199999,6.195,0.82879996,0.04916,1625011200.0,1672444800.0,1.5,166611501056.0,,18469513.0,0.014199999,0.63,1
36,RIOT,0.3445333333333334,-0.3718878787878787,0.0,4.396195,7909394.0,-0.02636,,1.45,4.372,20250469.0,0.21110001,-0.016,0.22801,0.16419001,1617148800.0,1672444800.0,1.01,2492019968.0,,14571250.0,0.2124,2.02,1
37,T,0.73887,0.3185384615384615,,0.749327,28804828.0,-0.0110599995,,3.12,23.178,108450881.0,0.0152,-0.345,0.53696996,0.00097000005,1625011200.0,1672444800.0,3.61,403208208384.0,0.226,104557700.0,0.0152,3.07,1
38,SOFI,0.557105,0.4009384615384614,,,15368882.0,-0.39618,,,,,,,0.025829999,0.23768,1609372800.0,1672444800.0,,8815654912.0,,,,,1
39,TSM,0.417245,0.1579642857142857,0.48619998,0.997789,6395582.0,0.38149,,4.55,373.875,17928461.0,0.0034999999,3.725,0.17504999,6.0000002e-05,1625011200.0,1672444800.0,2.03,146242961408.0,0.112,14961892.0,,1.8,1
40,SNAP,0.49265,0.177408,0.0,1.273168,8783555.0,-0.22489001,,0.67,1.123,47459010.0,0.03,-0.628,0.64182997,0.102819994,1625011200.0,1672444800.0,2.11,114100035584.0,,49442691.0,0.0403,2.27,0
41,SAVA,0.5683849999999999,0.3518399999999999,0.0,1.119565,15367534.0,0.0,,-0.88,7.028,3779071.0,0.0945,-0.296,0.27591,0.06488,1617148800.0,1672444800.0,2.64,2823976704.0,,3755560.0,0.099700004,-1.79,1
42,CLF,0.6773575,0.5103,0.0,2.301414,13889176.0,0.067329995,,1.64,4.786,44262301.0,0.088599995,-0.068,0.66283995,0.08876,1625011200.0,1672444800.0,1.5,18529533952.0,,47629236.0,0.1024,0.15,0
43,ROKU,0.6891850000000002,0.2758458333333333,0.0,1.759587,1970750.0,0.055809997,,1.12,18.452,3558090.0,0.0269,0.871,0.69635004,0.0021600001,1617148800.0,1672444800.0,0.73,51774709760.0,,3332878.0,0.0309,-10.75,1
44,DIS,0.5455950000000002,0.2390764705882352,0.0,1.196195,5920756.0,-0.07735,,5.02,47.078,21982594.0,0.0121,-2.491,0.66678,0.00124,1617408000.0,1664755200.0,2.27,372474707968.0,0.959,21514372.0,0.0121,1.38,0
45,NFLX,0.408485,0.2933638888888888,0.0,0.75326,2324282.0,0.14243001,,12.96,29.059,8930701.0,0.0201,8.263,0.82088,0.0149,1617148800.0,1672444800.0,2.92,243535331328.0,1.407,9122498.0,0.020499999,1.14,1
46,M,0.43628,0.2670390243902439,0.0,2.119565,12335877.0,-0.01312,,2.09,8.577,43114392.0,0.1382,-0.84,0.83671,0.00135,1619827200.0,1675036800.0,2.48,12133025792.0,,35001372.0,0.1841,-0.37,0
47,RBLX,0.63229,0.2796866666666667,0.0,,9717046.0,-0.27242002,,,,11086685.0,0.0195,,0.72026,0.03841,1617148800.0,1672444800.0,0.88,47002161152.0,,5610076.0,0.040799998,-83.17,0
48,GPS,0.3062824999999999,0.3732,0.2091,1.682263,13059108.0,0.027609998,,2.19,7.443,13781092.0,0.0365,1.149,0.5435,0.47022,1619827200.0,1675036800.0,2.49,15965090816.0,,14895206.0,0.067600004,3.28,0
49,VIAC,0.5069950000000001,0.2384166666666667,0.2212,1.674102,8707037.0,0.107530005,,,,45836571.0,0.0709,,0.85529,0.03701,1617148800.0,1672444800.0,2.47,42307985408.0,0.766,54985478.0,0.0785,-2.97,1
