,Unnamed: 0,Symbol,Name,Buy,Analyst,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,agora_pred
0,0,AAN,Aarons Holdings Company Inc. Common Stock ,1,Buy,,,,0.05,2.79,22.71,1.0,3.08,0.03,
1,1,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,1,Buy,0.25,0.16,1.3,0.06,12.76,52.44,1.03,6.92,0.07,1.0
2,2,AAT,American Assets Trust Inc. Common Stock,1,Buy,,,,,,,,,,
3,3,AB,AllianceBernstein Holding L.P.  Units,1,Buy,,,1.41,0.92,3.83,16.07,0.14,4.98,0.01,
4,4,ABB,ABB Ltd Common Stock,1,Buy,,,1.08,0.06,1.56,7.0,0.06,1.39,,
5,5,ABC,AmerisourceBergen Corporation Common Stock,1,Buy,0.19,0.07,0.53,-0.02,10.57,0.18,0.66,2.17,0.01,1.0
6,6,ABG,Asbury Automotive Group Inc Common Stock,1,Buy,,,,0.05,27.41,46.95,1.08,9.09,0.13,
7,7,ACEL,Accel Entertainment Inc. ,1,Buy,,,,,,,,,,
8,8,ACI,Albertsons Companies Inc. Class A Common Stock,1,Buy,,,,0.01,2.48,4.2,0.74,9.11,0.09,
9,9,ACR,ACRES Commercial Realty Corp. Common Stock,1,Buy,,,,,,,,,,
10,10,ACRE,Ares Commercial Real Estate Corporation Common Stock,1,Buy,,,1.36,0.65,1.45,14.47,0.52,1.94,0.02,
11,11,ADNT,Adient plc Ordinary Shares ,1,Buy,,,,,,,,,,
12,12,AEE,Ameren Corporation Common Stock,1,Buy,0.18,0.04,0.28,0.16,4.03,36.38,0.77,2.47,0.01,1.0
13,13,AEL,American Equity Investment Life Holding Company Common Stock,1,Buy,,,,,,,,,,
14,14,AEM,Agnico Eagle Mines Limited Common Stock,1,Buy,,,0.77,0.2,3.88,24.06,0.74,1.3,0.01,
15,15,AEO,American Eagle Outfitters Inc. Common Stock,1,Buy,,,1.48,0.06,2.38,7.57,1.14,4.71,0.17,
16,16,AFG,American Financial Group Inc. Common Stock,1,Buy,0.25,0.05,,,,,,,,
17,17,AFL,AFLAC Incorporated Common Stock,1,Buy,0.03,0.15,1.02,0.25,5.2,50.2,0.61,4.67,0.02,0.0
