,Symbol,Name,Buy,Analyst
0,AAN,Aarons Holdings Company Inc. Common Stock ,1,Buy
1,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,1,Buy
2,AAT,American Assets Trust Inc. Common Stock,1,Buy
3,AB,AllianceBernstein Holding L.P.  Units,1,Buy
4,ABB,ABB Ltd Common Stock,1,Buy
5,ABC,AmerisourceBergen Corporation Common Stock,1,Buy
6,ABG,Asbury Automotive Group Inc Common Stock,1,Buy
7,ACEL,Accel Entertainment Inc. ,1,Buy
8,ACI,Albertsons Companies Inc. Class A Common Stock,1,Buy
9,ACR,ACRES Commercial Realty Corp. Common Stock,1,Buy
10,ACRE,Ares Commercial Real Estate Corporation Common Stock,1,Buy
11,ADNT,Adient plc Ordinary Shares ,1,Buy
12,AEE,Ameren Corporation Common Stock,1,Buy
13,AEL,American Equity Investment Life Holding Company Common Stock,1,Buy
14,AEM,Agnico Eagle Mines Limited Common Stock,1,Buy
15,AEO,American Eagle Outfitters Inc. Common Stock,1,Buy
16,AFG,American Financial Group Inc. Common Stock,1,Buy
17,AFL,AFLAC Incorporated Common Stock,1,Buy
18,AGI,Alamos Gold Inc. Class A Common Shares,1,Buy
19,AHT,Ashford Hospitality Trust Inc Common Stock,1,Buy
20,AI,C3.ai Inc. Class A Common Stock,1,Buy
21,AIG,American International Group Inc. New Common Stock,1,Buy
22,AIN,Albany International Corporation Common Stock,1,Buy
23,AIRC,Apartment Income REIT Corp. Common Stock,1,Buy
24,AKR,Acadia Realty Trust Common Stock,1,Buy
25,ALB,Albemarle Corporation Common Stock,1,Buy
26,ALC,Alcon Inc. Ordinary Shares,1,Buy
27,ALL,Allstate Corporation (The) Common Stock,1,Buy
28,ALLE,Allegion plc Ordinary Shares,1,Buy
29,ALSN,Allison Transmission Holdings Inc. Common Stock,1,Buy
30,ALV,Autoliv Inc. Common Stock,1,Buy
31,AMCR,Amcor plc Ordinary Shares,1,Buy
32,AMK,AssetMark Financial Holdings Inc. Common Stock,1,Buy
33,AMPY,Amplify Energy Corp. Common Stock,1,Buy
34,AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,1,Buy
35,AMWL,American Well Corporation Class A Common Stock,1,Buy
36,AN,AutoNation Inc. Common Stock,1,Buy
37,AON,Aon plc Class A Ordinary Shares (Ireland),1,Buy
38,AOS,A.O. Smith Corporation Common Stock,1,Buy
39,APTS,Preferred Apartment Communities Inc. Common Stock,1,Buy
40,AQN,Algonquin Power & Utilities Corp. Common Shares,1,Buy
41,AQUA,Evoqua Water Technologies Corp. Common Stock,1,Buy
42,ARCH,Arch Resources Inc. Class A Common Stock,1,Buy
43,ARGO,Argo Group International Holdings Ltd.,1,Buy
44,ARLO,Arlo Technologies Inc. Common Stock,1,Buy
45,ARMK,Aramark Common Stock,1,Buy
46,ARNC,Arconic Corporation Common Stock ,1,Buy
47,AROC,Archrock Inc. Common Stock,1,Buy
48,ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,1,Buy
49,ATC,Atotech Limited Common Shares,1,Buy
50,ATCO,Atlas Corp. Common Shares,1,Buy
51,ATGE,Adtalem Global Education Inc. Common Stock,1,Buy
52,ATH,Athene Holding Ltd. Class A Common Shares,1,Buy
53,ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,1,Buy
54,ATR,AptarGroup Inc. Common Stock,1,Buy
55,ATTO,Atento S.A. Ordinary Shares,1,Buy
56,ATUS,Altice USA Inc. Class A Common Stock,1,Buy
57,AU,AngloGold Ashanti Limited Common Stock,1,Buy
58,AUD,Audacy Common Stock,1,Buy
59,AVA,Avista Corporation Common Stock,1,Buy
60,AVB,AvalonBay Communities Inc. Common Stock,1,Buy
61,AVNS,Avanos Medical Inc. Common Stock,1,Buy
62,AVY,Avery Dennison Corporation Common Stock,1,Buy
63,AWK,American Water Works Company Inc. Common Stock,1,Buy
64,AXL,American Axle & Manufacturing Holdings Inc. Common Stock,1,Buy
65,AXP,American Express Company Common Stock,1,Buy
66,AXS,Axis Capital Holdings Limited Common Stock,1,Buy
67,AXTA,Axalta Coating Systems Ltd. Common Shares,1,Buy
68,AYI,Acuity Brands Inc. ,1,Buy
69,AYX,Alteryx Inc. Class A Common Stock,1,Buy
70,B,Barnes Group Inc. Common Stock,1,Buy
71,BAK,Braskem SA ADR,1,Buy
72,BBY,Best Buy Co. Inc. Common Stock,1,Buy
73,BCC,Boise Cascade L.L.C. Common Stock,1,Buy
74,BCE,BCE Inc. Common Stock,1,Buy
75,BCH,Banco De Chile Banco De Chile ADS,1,Buy
76,BDN,Brandywine Realty Trust Common Stock,1,Buy
77,BDX,Becton Dickinson and Company Common Stock,1,Buy
78,BE,Bloom Energy Corporation Class A Common Stock,1,Buy
79,BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),1,Buy
80,BEP,Brookfield Renewable Partners L.P. ,1,Buy
81,BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,1,Buy
82,BEST,BEST Inc. American Depositary Shares each representing one Class A Ordinary Share,1,Buy
83,BFAM,Bright Horizons Family Solutions Inc. Common Stock,1,Buy
84,BFS,Saul Centers Inc. Common Stock,1,Buy
85,BG,Bunge Limited Bunge Limited,1,Buy
86,BHLB,Berkshire Hills Bancorp Inc. Common Stock,1,Buy
87,BKD,Brookdale Senior Living Inc. Common Stock,1,Buy
88,BKU,BankUnited Inc. Common Stock,1,Buy
89,BLL,Ball Corporation Common Stock,1,Buy
90,BNED,Barnes & Noble Education Inc Common Stock,1,Buy
91,BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,1,Buy
92,BOX,Box Inc. Class A Common Stock,1,Buy
93,BP,BP p.l.c. Common Stock,1,Buy
94,BR,Broadridge Financial Solutions Inc.Common Stock,1,Buy
95,BRC,Brady Corporation Common Stock,1,Buy
96,BRMK,Broadmark Realty Capital Inc. Common Stock,1,Buy
97,BRO,Brown & Brown Inc. Common Stock,1,Buy
98,BRT,BRT Apartments Corp. (MD) Common Stock,1,Buy
99,BRX,Brixmor Property Group Inc. Common Stock,1,Buy
100,BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,1,Buy
101,BSIG,BrightSphere Investment Group Inc. Common Stock,1,Buy
102,BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,1,Buy
103,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),1,Buy
104,BV,BrightView Holdings Inc. Common Stock,1,Buy
105,BXMT,Blackstone Mortgage Trust Inc. Common Stock,1,Buy
106,BXP,Boston Properties Inc. Common Stock,1,Buy
107,BY,Byline Bancorp Inc. Common Stock,1,Buy
108,BZH,Beazer Homes USA Inc. Common Stock,1,Buy
109,CABO,Cable One Inc. Common Stock,1,Buy
110,CADE,Cadence Bancorporation Class A Common Stock,1,Buy
