,Symbol,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat
0,AAN,,0.05,2.79,22.71,1.0,3.08,0.03
1,AAP,1.3,0.06,12.76,52.44,1.03,6.92,0.07
2,AAT,,,,,,,
3,AB,1.41,0.92,3.83,16.07,0.14,4.98,0.01
4,ABB,1.08,0.06,1.56,7.0,0.06,1.39,
5,ABC,0.53,-0.02,10.57,0.18,0.66,2.17,0.01
6,ABG,,0.05,27.41,46.95,1.08,9.09,0.13
7,ACEL,,,,,,,
8,ACI,,0.01,2.48,4.2,0.74,9.11,0.09
9,ACR,,,,,,,
10,ACRE,1.36,0.65,1.45,14.47,0.52,1.94,0.02
11,ADNT,,,,,,,
12,AEE,0.28,0.16,4.03,36.38,0.77,2.47,0.01
13,AEL,,,,,,,
14,AEM,0.77,0.2,3.88,24.06,0.74,1.3,0.01
15,AEO,1.48,0.06,2.38,7.57,1.14,4.71,0.17
16,AFG,,,,,,,
17,AFL,1.02,0.25,5.2,50.2,0.61,4.67,0.02
18,AGI,,-0.02,0.49,6.93,0.68,1.15,
19,AHT,2.17,-0.52,-1.93,1.78,0.22,0.53,0.04
20,AI,,-0.48,-0.92,10.05,0.43,5.67,0.19
21,AIG,1.34,0.09,5.38,76.73,0.92,1.99,0.01
22,AIN,,,,,,,
23,AIRC,,,,,,,
24,AKR,,,,,,,
25,ALB,1.59,0.22,5.39,52.72,0.85,1.79,0.02
26,ALC,,,,,,,
27,ALL,0.87,0.08,12.74,87.67,0.79,3.19,0.02
28,ALLE,,,,,,,
29,ALSN,1.16,0.16,5.01,6.83,1.06,2.77,0.04
30,ALV,,,,,,,
31,AMCR,0.46,0.07,0.84,3.1,0.41,8.16,0.03
32,AMK,,,,,,,
33,AMPY,4.79,-0.42,1.75,-2.3,0.34,0.61,0.09
34,AMRX,1.26,0.0,0.91,2.32,0.69,3.64,0.04
35,AMWL,,-0.79,-0.7,4.84,0.5,6.49,0.07
36,AN,1.51,0.05,17.87,35.96,0.87,3.38,0.13
37,AON,0.85,0.18,12.95,19.78,1.03,5.98,0.03
38,AOS,1.11,0.14,3.29,11.41,0.96,4.67,0.05
39,APTS,1.19,0.03,-2.06,26.52,0.51,2.35,0.02
40,AQN,0.2,0.33,0.8,8.08,0.52,9.36,
41,AQUA,,,,,,,
42,ARCH,0.95,0.02,30.75,27.09,1.19,7.89,0.26
43,ARGO,,,,,,,
44,ARLO,,,,,,,
45,ARMK,1.92,-0.02,1.76,10.53,1.06,5.35,0.04
46,ARNC,,-0.07,2.86,14.67,0.99,6.57,0.05
47,AROC,,,,,,,
48,ASR,,,,,,,
49,ATC,,,,,,,
50,ATCO,1.07,0.15,1.52,15.02,0.71,7.89,0.07
51,ATGE,,,,,,,
52,ATH,1.61,0.17,9.23,104.25,0.88,6.18,0.05
53,ATHM,0.42,0.4,3.94,174.32,0.58,3.99,
54,ATR,,,,,,,
55,ATTO,,,,,,,
56,ATUS,1.18,0.08,2.09,-2.84,0.5,4.39,0.23
57,AU,0.13,0.2,2.09,9.14,0.32,2.51,
58,AUD,1.81,-0.18,0.88,4.44,0.55,12.17,0.06
59,AVA,0.63,0.11,2.17,29.71,0.85,3.45,0.03
60,AVB,0.94,0.48,3.7,78.26,0.92,3.25,0.02
61,AVNS,,,,,,,
62,AVY,1.03,0.09,9.55,20.54,0.9,1.99,0.01
63,AWK,0.27,0.19,4.61,36.86,0.87,1.84,0.01
64,AXL,2.42,0.04,1.97,3.87,0.94,3.31,0.06
65,AXP,1.23,0.19,9.65,31.4,0.87,2.64,0.01
66,AXS,,,,,,,
67,AXTA,,,,,,,
68,AYI,1.61,0.09,12.23,57.59,1.04,4.65,0.05
69,AYX,0.69,-0.11,0.06,6.42,0.78,4.42,0.05
70,B,1.26,0.07,2.46,27.5,0.89,3.48,0.02
71,BAK,0.94,0.11,3.19,21.76,0.02,1.29,
72,BBY,1.55,0.05,9.29,17.53,0.83,3.56,0.04
73,BCC,,,,,,,
74,BCE,0.34,0.13,2.74,20.34,0.48,4.36,
75,BCH,,,,,,,
76,BDN,,,,,,,
77,BDX,0.76,0.1,12.4,84.03,0.88,1.51,0.01
78,BE,3.44,-0.14,0.2,-0.12,0.74,6.38,0.13
79,BEKE,,0.04,0.76,58.27,0.32,1.93,
80,BEP,0.67,-0.11,0.19,17.82,0.64,2.09,0.0
81,BEPC,,-0.69,-0.17,4.31,0.78,2.38,
82,BEST,0.38,-0.07,-0.46,1.86,0.26,2.09,
83,BFAM,,,,,,,
84,BFS,,,,,,,
85,BG,0.58,0.04,7.71,45.82,0.89,3.37,0.03
86,BHLB,,,,,,,
87,BKD,1.82,-0.13,-0.99,3.31,0.93,7.11,0.06
88,BKU,,,,,,,
89,BLL,0.5,0.07,4.18,11.14,0.87,6.34,0.04
90,BNED,2.45,-0.09,0.43,4.97,0.74,4.48,0.05
91,BNS,0.83,0.32,6.4,56.97,0.55,2.65,
92,BOX,1.3,-0.04,1.02,-1.0,0.83,3.21,0.08
93,BP,0.83,0.04,3.79,23.32,0.09,1.02,
94,BR,,,,,,,
95,BRC,,,,,,,
96,BRMK,,0.73,0.99,8.74,0.5,5,0.03
97,BRO,,0.2,2.27,14.54,0.73,1.29,0.02
98,BRT,,,,,,,
99,BRX,,,,,,,
100,BSBR,0.95,0.3,0.86,28.41,0.07,2.41,
101,BSIG,,,,,,,
102,BTI,0.73,0.24,3.97,27.5,0.06,0.7,
103,BUD,1.42,0.11,3.29,34.65,0.04,2,
104,BV,,,,,,,
105,BXMT,1.37,0.75,2.51,26.79,0.54,4.44,0.04
106,BXP,1.21,0.12,2.8,36.6,1.0,7.64,0.04
107,BY,1.38,0.28,1.6,21.17,0.44,2.11,0.01
108,BZH,2.07,0.04,3.41,22.4,0.82,5.47,0.06
109,CABO,,,,,,,
110,CADE,1.82,0.46,1.77,17.83,0.93,3.37,0.03
111,CAE,,,,,,,
112,CAG,0.79,0.11,2.66,17.84,0.87,4.68,0.04
113,CAH,1.04,0.0,6.19,6.16,0.89,1.77,0.03
114,CAL,,,,,,,
115,CALX,1.47,0.36,0.95,8.4,0.8,4.77,0.05
116,CARR,,0.13,2.44,7.79,0.86,1.85,0.01
117,CAT,0.93,0.1,10.55,30.75,0.7,1.63,0.01
118,CBD,0.94,0.04,0.19,47.18,0.06,2.2,
119,CC,2.18,0.05,4.18,5.43,0.78,4.46,0.06
120,CCCS,,0.01,0.25,843.33,0.96,3.69,
121,CCJ,0.8,-0.01,0.15,12.42,0.65,1.24,
122,CCL,2.23,0,-0.02,13.11,0.53,2.15,0.09
123,CDAY,,,,,,,
124,CDE,1.77,0.08,0.32,3.38,0.72,1.56,0.03
125,CDR,,,,,,,
126,CEQP,3.39,-0.03,1.85,8.92,0.45,4.74,0.04
