,Symbol,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat
0,AAN,,0.05,2.79,22.71,1.0,3.08,0.03
1,AAP,1.3,0.06,12.76,52.44,1.03,6.92,0.07
2,AAT,1.26,0.07,0.88,20.59,0.98,3.65,0.03
3,AB,,0.92,3.85,16.32,0.14,4.98,0.01
4,ABB,1.08,0.06,1.56,7.0,0.06,1.39,
5,ABC,0.53,-0.02,10.57,0.18,0.66,1.72,0.01
6,ABG,1.6,0.05,27.41,67.28,1.08,9.09,0.13
7,ACEL,,0.02,0.82,1.62,0.65,11.56,0.04
8,ACI,,0.01,2.48,4.2,0.74,9.11,0.09
9,ACR,1.94,0.68,1.59,49.57,0.51,0.68,0.0
10,ACRE,1.36,0.65,1.46,14.25,0.52,1.54,0.02
11,ADNT,3.3,0.01,5.5,15.8,0.92,3.64,0.03
12,AEE,0.31,0.16,4.04,35.8,0.77,2.22,0.01
13,AEL,1.22,0.19,4.75,62.09,0.97,4.69,0.04
14,AEM,0.73,0.2,3.24,23.41,0.74,1.09,0.01
15,AEO,1.48,0.06,2.31,7.01,1.14,4.31,0.19
16,AFG,0.92,0.18,8.07,78.53,0.65,1.81,0.01
17,AFL,1.0,0.25,5.14,47.16,0.62,6.26,0.02
18,AGI,1.11,0.26,0.31,7.36,0.69,1.1,
19,AHT,2.17,-0.86,-0.01,-3.11,0.25,0.48,0.04
20,AI,,-0.3,-0.86,10.4,0.47,4.62,0.21
21,AIG,1.34,0.09,5.1,72.37,0.92,1.93,0.01
22,AIN,1.46,0.13,3.42,25.41,1.02,4.43,0.02
23,AIRC,,-0.12,,,1.01,2.47,0.02
24,AKR,1.5,-0.04,0.1,17.0,1.05,3.01,0.03
25,ALB,1.55,0.11,5.09,49.23,0.83,2.45,0.02
26,ALC,0.51,-0.08,2.31,38.47,0.6,8.82,
27,ALL,0.85,0.08,13.18,82.16,0.78,3.83,0.02
28,ALLE,1.2,0.16,5.69,8.08,0.88,1.56,0.02
29,ALSN,1.18,0.16,5.04,6.93,1.05,5.47,0.05
30,ALV,1.8,0.06,8.58,28.68,0.47,3.47,0.02
31,AMCR,0.46,0.07,0.68,3.33,0.41,8.16,0.03
32,AMK,1.15,-0.0,1.16,11.71,0.26,5.9,0.02
33,AMPY,,-0.54,1.77,-1.4,0.33,2.81,0.04
34,AMRX,1.27,-0.01,0.89,2.17,0.7,5.06,0.05
35,AMWL,,-0.92,,,0.34,2.58,0.06
36,AN,1.51,0.05,9.62,39.69,0.87,3.7,0.12
37,AON,0.86,0.18,12.52,18.83,1.04,12.73,0.12
38,AOS,1.06,0.13,2.98,11.52,0.96,4.34,0.04
39,APTS,1.2,0.03,-2.73,28.15,0.51,2.25,0.02
40,AQN,0.19,0.47,,8.38,0.54,7.28,
41,AQUA,1.88,0.05,0.87,4.37,1.03,3.55,0.03
42,ARCH,1.09,-0.16,8.27,18.4,1.21,11.48,0.25
43,ARGO,0.94,0.0,4.24,48.23,0.95,2.68,0.01
44,ARLO,1.76,-0.16,-0.09,1.68,0.7,4.54,0.06
45,ARMK,1.95,-0.05,1.75,10.54,1.03,5.1,0.04
46,ARNC,,-0.07,2.74,13.41,1.0,7.09,0.05
47,AROC,2.2,0.05,0.4,5.99,0.81,4.68,0.03
48,ASR,0.87,0.2,9.35,1159.43,0.26,5.88,
49,ATC,,-0.25,,,0.95,0.63,0.01
50,ATCO,1.1,0.15,,,0.58,10.22,0.08
51,ATGE,1.22,-0.17,3.3,26.28,1.05,4.34,0.04
52,ATH,1.61,0.17,8.9,90.2,0.88,6.18,0.05
53,ATHM,0.53,0.39,5.05,170.36,0.59,3.8,
54,ATR,0.66,0.08,4.57,28.97,0.9,2.4,0.01
55,ATTO,1.58,-0.04,2.45,4.31,0.72,0.32,0.0
56,ATUS,1.09,0.08,2.45,-2.89,0.54,8.05,0.18
57,AU,0.13,0.2,2.47,8.86,0.32,2.03,
58,AUD,1.82,-0.18,,,0.55,9.52,0.06
59,AVA,0.63,0.11,2.29,29.84,0.85,3.45,0.03
60,AVB,,0.48,3.21,76.55,0.92,3.05,0.02
61,AVNS,0.93,-0.05,1.61,26.19,0.94,1.47,0.03
62,AVY,1.01,0.09,9.14,19.05,0.9,1.42,0.01
63,AWK,0.22,0.19,4.61,36.28,0.87,2.6,0.01
64,AXL,2.42,0.04,1.87,3.27,0.94,3.71,0.05
65,AXP,1.27,0.18,9.1,30.45,0.87,2.73,0.01
66,AXS,0.9,0.06,5.27,54.59,0.95,2.27,0.01
67,AXTA,1.47,0.02,2.29,5.84,1.02,1.34,0.03
68,AYI,1.63,0.08,9.65,54.68,1.03,3.77,0.06
69,AYX,0.7,-0.11,0.44,6.73,0.8,3.34,0.05
70,B,1.23,0.07,2.48,26.68,0.89,3.06,0.01
71,BAK,0.9,-0.01,1.7,1.08,0.03,1.35,
72,BBY,1.55,0.05,8.48,16.61,0.83,3.6,0.04
73,BCC,1.98,0.08,3.96,21.7,0.96,3.19,0.03
74,BCE,0.34,0.13,2.88,19.92,0.48,6.91,
75,BCH,0.4,0.34,1.87,10,0.01,7.15,
76,BDN,1.17,0.65,0.14,10.38,1.06,4.07,0.1
77,BDX,0.77,0.1,13.11,85.36,0.88,2.64,0.01
78,BE,3.5,-0.13,0.2,0.04,0.7,6.46,0.12
79,BEKE,,0.04,,,0.32,1.64,
80,BEP,0.64,-0.11,0.34,17.29,0.64,3.22,0.0
81,BEPC,,-0.69,,,0.78,4.54,
82,BEST,0.38,-0.07,0.07,3.0,0.26,2.13,
83,BFAM,0.85,0.01,4.07,21.58,1.0,4.14,0.02
84,BFS,1.12,0.18,3.25,10.89,0.47,4.69,0.01
85,BG,0.65,0.04,6.97,42.1,0.93,2.51,0.02
86,BHLB,1.26,0.19,1.3,23.34,0.82,5.55,0.05
87,BKD,1.85,-0.14,-0.98,3.74,0.95,7.3,0.07
88,BKU,1.4,0.38,3.55,32.83,1.03,3.02,0.03
89,BLL,0.47,0.07,4.04,10.64,0.85,4.94,0.04
90,BNED,2.67,-0.09,-0.47,6.7,0.74,2.93,0.06
91,BNS,0.83,0.32,5.89,54.34,0.55,3.81,
92,BOX,1.41,-0.2,0.99,0.14,0.84,5.75,0.09
93,BP,0.9,0.04,3.01,22.45,0.09,1,
94,BR,0.88,0.11,6.26,13.71,0.9,3.73,0.02
95,BRC,0.83,0.12,3.06,18.28,0.87,3.31,0.02
96,BRMK,,0.73,,,0.5,6.43,0.04
97,BRO,0.68,0.19,2.12,13.59,0.72,3.81,0.01
98,BRT,1.28,-0.36,-0.62,9.7,0.46,2.32,0.01
99,BRX,1.67,0.11,0.67,9.0,1.0,6.29,0.05
100,BSBR,0.95,0.3,0.86,28.12,0.07,2.41,
