,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio
0,AAPL,0.5112661764705885,0.3872612903225807,0.16309999,1.202797,86453117.0,0.25004,0.1652968,5.67,3.882,93105968.0,0.0056,5.108,0.58429,0.00071000005,1624665600.0,1664150400.0,1.19,2604893995008.0,0.932,96355309.0,0.0056,1.34
1,AMC,0.6307259469696965,0.6551535714285716,0.0,1.308768,125300842.0,0.0,5.1548295,-0.72,-2.736,92417118.0,0.18,-9.683,0.25238,0.0032300001,1625011200.0,1672444800.0,0.98,31504599040.0,,79747897.0,0.1807,0.05
2,TSLA,0.4122096834264431,0.3221366666666667,0.0,1.963959,20855436.0,0.0521,0.6337931,6.97,25.207,26828057.0,0.0271,1.897,0.41298,0.18962,1625011200.0,1672444800.0,1.38,719999008768.0,9.981,32355387.0,0.0334,2.59
3,NVDA,0.5394281818181821,0.4007965517241381,0.0572,1.348574,25984968.0,0.32324,0.58143103,4.64,8.472,26935275.0,0.0108,2.792,0.66529,0.04079,1627776000.0,1675123200.0,0.92,560336994304.0,2.817,28907540.0,0.0112,1.51
4,IWM,0.2874955307262569,-0.1652833333333333,,,20839803.0,,,,,,,,,,,,,,,,,
5,AMD,0.5546199040767388,0.4348542857142857,0.0,2.012372,49338955.0,0.25757,0.23387277,3.03,5.824,70574877.0,0.0582,2.837,0.6949,0.0043099998,1624665600.0,1672012800.0,0.81,131891298304.0,3.522,86903996.0,0.0585,1.47
6,BABA,0.4970223826714804,0.34812,0.0,0.811188,24511977.0,0.19253,-0.45185262,73.09,358.74,45773665.0,0.016900001,8.3,0.27233,0.26400998,1625011200.0,1680220800.0,2.36,273946083328.0,-0.052,47572399.0,,1.2
7,PFE,0.5608122362869197,0.4541785714285714,0.7064,0.67079,33493317.0,0.23798999,0.32486665,3.62,12.51,61418532.0,0.011,2.342,0.67305,0.00039,1625356800.0,1672444800.0,1.87,279981752320.0,0.594,61242990.0,0.011,0.89
8,PLTR,0.3651896428571428,0.2283857142857142,0.0,,93168646.0,-0.95135003,1.7115788,0.21,1.068,56349484.0,0.028900001,-0.79,0.23841,0.12776,1625011200.0,1672444800.0,1.8,48221073408.0,,61975111.0,0.0334,2.81
9,F,0.6346230125523012,0.2520777777777777,0.0,1.142549,42060876.0,0.02507,0.8776978,1.91,8.677,74137341.0,0.0186,0.856,0.54233,0.00243,1625011200.0,1672444800.0,1.34,175434678272.0,-0.498,61915989.0,0.0208,0.11
10,AMZN,0.5865135000000002,0.3758666666666666,0.0,1.143625,4356413.0,0.06641,-0.031114697,66.78,226.883,5094455.0,0.0101,57.395,0.59443,0.13616,1625011200.0,1672444800.0,1.5,1766174752768.0,0.484,3927349.0,0.0117,1.76
11,MSFT,0.4573090909090906,0.1988647058823529,0.272,0.776223,26285338.0,0.36451998,0.31055474,10.03,18.884,41985444.0,0.0056,8.05,0.71752,0.00078,1625011200.0,1688083200.0,1.94,2233467928576.0,0.469,56416544.0,0.0056,2.14
12,BAC,0.4136180904522614,0.32968,0.24,1.551371,54627141.0,0.3184,0.6010761,3.01,29.89,87698192.0,0.0104,2.996,0.73226,0.0011100001,1625011200.0,1672444800.0,1.7,201228894208.0,1.611,77246040.0,0.0119,0.49
13,FB,0.3816910000000002,0.2990178571428571,0.0,1.292092,12345350.0,0.37175998,0.25838017,16.01,48.913,29160969.0,0.010299999,13.466,0.80574,0.00602,1625011200.0,1672444800.0,2.07,1021732716544.0,1.007,28560208.0,0.0123000005,0.89
14,NIO,0.5010268065268063,0.1600846153846154,0.0,2.537354,43047765.0,-0.29764998,0.8994975,-0.84,16.848,58826063.0,0.0359,-0.882,0.36411,0.00533,1625011200.0,1672444800.0,1.18,33197355008.0,,60747412.0,,490.8
15,BBIG,0.341438125,0.4829999999999999,0.0,0.236342,182303052.0,0.0,2.2685184,,-0.429,11671672.0,0.1915,-12.557,0.06652,0.13791001,1625011200.0,1672444800.0,1.16,391143008.0,,7815645.0,0.21059999,
16,DKNG,0.4401587499999998,0.5637777777777777,0.0,,14993859.0,-1.21155,0.48496246,-1.97,5.479,31970215.0,0.0792,-3.34,0.60883,0.077199996,1625011200.0,1672444800.0,2.71,22573361152.0,,28824900.0,0.096599996,-0.55
17,MRNA,0.4550050000000001,0.4039434782608695,0.0,1.489551,10922476.0,0.4979,4.727596,25.48,16.635,15397507.0,0.0381,8.464,0.57865,0.09675,1625011200.0,1672444800.0,0.55,142240645120.0,,13647794.0,0.0521,0.69
18,GME,0.4360533333333332,0.2170849999999999,0.0,-2.084991,3484156.0,-0.02177,26.346405,-0.03,12.691,7573914.0,0.1018,-1.78,0.37080002,0.18976,1619827200.0,1675036800.0,2.76,14497605632.0,,8075454.0,0.1705,6.11
19,BB,0.5182786363636361,0.5155416666666667,0.0,1.000653,8684213.0,-0.61556,1.0089605,0.1,2.571,36790618.0,0.065,-0.944,0.49776,0.01508,1622419200.0,1677542400.0,4.74,6477480448.0,,37062927.0,0.073699996,3.38
20,WISH,0.5264176666666668,0.3628555555555556,0.0,,22420560.0,-0.32072,-0.6418953,-0.38,1.375,31730584.0,0.0505,-2.359,0.4887,0.04447,1625011200.0,1672444800.0,0.74,2981040128.0,,28890419.0,0.1539,-0.28
21,MU,0.4807050251256283,0.151925,0.0,1.279182,14807376.0,0.162,0.5987762,11.32,37.731,25651463.0,0.0228,3.624,0.8197,0.0015700001,1622678400.0,1662163200.0,1.2,81901035520.0,1.161,25023217.0,0.0228,0.23
22,UBER,0.3801328719723183,0.30393125,0.0,1.551359,26362680.0,-0.0797,0.15422738,-0.57,7.539,75657299.0,0.0401,-0.568,0.75185996,0.01272,1625011200.0,1672444800.0,3.35,80949288960.0,,69865082.0,0.0418,-2.02
23,BA,0.3817996138996137,0.3198454545454545,0.0,1.620763,6743033.0,-0.14303,0.26472986,6.11,-28.474,9649887.0,0.0165,-15.232,0.54092,0.00098,1625011200.0,1672444800.0,0.87,169995829248.0,,9619024.0,0.0165,-43.76
24,CLOV,0.3626583333333332,0.4083684210526316,0.0,,13272368.0,-0.52037996,-0.19696969,-1.22,0.762,30273032.0,0.073699996,-2.45,0.58764,0.15427,1625011200.0,1672444800.0,1.08,2907889152.0,,28605148.0,,-0.23
25,CRM,0.4177922297297299,0.3159888888888889,0.0,1.08015,5901518.0,0.09992,-0.057884455,4.44,56.769,15345160.0,0.015800001,2.497,0.76057,0.03431,1627689600.0,1675123200.0,2.66,265529622528.0,-0.796,20297748.0,0.0163,5.35
26,CCL,0.4776096428571428,0.3214222222222222,0.0,2.307692,27714069.0,0.0,0.4312538,0.31,15.792,72868755.0,0.0629,-9.307,0.52692,0.088999994,1622419200.0,1669766400.0,1.93,50333523968.0,,71553536.0,0.0999,0.03
27,AAL,0.3976,0.3914681818181817,0.0,1.785906,24993243.0,-0.31082,0.489313,0.97,-11.842,90551765.0,0.1399,-9.845,0.54574,0.009980001,1625011200.0,1672444800.0,2.56,42978902016.0,,91490076.0,0.15689999,0.02
