,Ticker,Conversations,Headlines,liquidityRatio,ROE,shortRatio
0,NVDA,0.34600000000000003,0.47,4.090445859872611,0.08624874208251938,0.68
1,MSFT,0.433,0.237,2.5779124559167825,0.11873061211953684,1.63
2,TSLA,0.377,0.317,1.8751403705783267,0.012148481439820023,1.09
3,AAPL,0.45299999999999996,0.36700000000000005,1.16300270929083,0.43420814206330033,0.89
4,GOOGL,0.35200000000000004,0.242,3.0667558151810534,0.06842242432957078,1.9
5,FB,0.307,0.24100000000000002,5.051064681930446,0.08745030789617274,1.41
6,JNJ,0.36,0.429,1.205775068834867,0.02746610196276747,2.16
7,VZ,0.335,0.321,1.3765506807866867,0.0676277232392913,2.11
8,T,0.40700000000000003,0.17600000000000002,0.819824080204294,-0.0858708627909422,2.33
10,CSCO,0.23399999999999999,0.213,1.610349127182045,0.06505457426957388,2.46
11,PYPL,0.423,0.519,1.3263713683772467,0.07827563814376343,1.31
12,QCOM,0.51,0.35100000000000003,2.145939499078391,0.3326558265582656,1.85
13,GE,0.39799999999999996,0.065,1.5768428186698533,0.07415742980926124,0.95
14,NKE,0.247,0.259,2.777153136946256,0.12144832788534071,1.82
15,INTC,0.392,0.28800000000000003,1.908742021491476,0.07227473530936104,2.06
16,NFLX,0.34700000000000003,0.177,1.2505571188547981,0.04899631639259519,2.5
17,DIS,0.44,0.131,1.313719581104498,0.00020221003675464786,1.74
18,COST,0.322,0.2,0.990362897154043,0.06075900843342704,1.17
19,TWTR,0.225,0.11800000000000001,4.422876385300073,0.027868722053298826,1.39
