Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
APRN,Blue Apron Holdings Inc. Class A Common Stock,$5.04,-0.01,-0.198%,118950749.00,United States,2017,2196699,Consumer Services,Catalog/Specialty Distribution
BBAR,Banco BBVA Argentina S.A. ADS,$4.22,-0.04,-0.939%,861878844.00,Argentina,,641079,Finance,Commercial Banks
BVN,Buenaventura Mining Company Inc.,$7.21,0.29,4.191%,1831245311.00,Peru,1996,3331273,Basic Industries,Precious Metals
CNS,Cohen & Steers Inc Common Stock,$87.22,0.62,0.716%,4208330635.00,United States,2004,446751,Finance,Investment Managers
ENIA,Enel Americas S.A. American Depositary Shares,$6.11,-0.20,-3.17%,13109823563.00,Chile,,1110550,Public Utilities,Electric Utilities: Central
FPH,Five Point Holdings LLC Class A Common Shares,$7.85,-0.15,-1.875%,1161922939.00,United States,2017,26211,Consumer Services,Real Estate
GCI,Gannett Co. Inc. Common Stock,$6.88,0.38,5.846%,981205414.00,,2014,5169705,Consumer Services,Newspapers/Magazines
KB,KB Financial Group Inc,$43.58,-0.85,-1.913%,16980264319.00,South Korea,,216681,Finance,Commercial Banks
LAIX,LAIX Inc. American Depositary Shares each  representing one Class A Ordinary Share,$0.8825,-0.0253,-2.787%,44034887.00,,2018,268657,Miscellaneous,Service to the Health Industry
MMI,Marcus & Millichap Inc. Common Stock,$39.40,-0.41,-1.03%,1559424538.00,,2013,185934,Finance,Real Estate
NL,NL Industries Inc. Common Stock,$6.14,-0.29,-4.51%,299648787.00,United States,,59959,Consumer Services,Diversified Commercial Services
NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,$29.14,-1.01,-3.35%,781210210.00,Greece,2007,752982,Transportation,Marine Transportation
ONE,OneSmart International Education Group Limited ADS,$0.38,-0.0296,-7.227%,61385050.00,,2018,2591214,Miscellaneous,Service to the Health Industry
PRT,PermRock Royalty Trust Trust Units,$6.66,-0.02,-0.299%,81023775.00,United States,2018,12271,Energy,Oil & Gas Production
RYB,RYB Education Inc. American depositary shares each representing one Class A ordinary share,$2.97,0.06,2.062%,81931448.00,,2017,52631,Miscellaneous,Other Consumer Services
SHG,Shinhan Financial Group Co Ltd American Depositary Shares,$32.28,-0.58,-1.765%,16675628625.00,South Korea,,141019,Finance,Major Banks
SOGO,Sogou Inc. American Depositary Shares each representing one Class A Ordinary Share,$8.74,0.00,0.00%,3387544606.00,United States,2017,470787,Technology,EDP Services
TCS,Container Store (The) Common Stock,$10.83,0.00,0.00%,547208515.00,,2013,850457,Consumer Services,Catalog/Specialty Distribution
TEO,Telecom Argentina SA,$5.06,-0.27,-5.066%,2179532266.00,Argentina,,318131,Public Utilities,Telecommunications Equipment
TGS,Transportadora de Gas del Sur SA TGS Common Stock,$5.17,-0.11,-2.083%,778354931.00,Argentina,,102525,Public Utilities,Natural Gas Distribution
WEI,Weidai Ltd. American depositary shares each  representing one (1) Class A ordinary share,$0.84,0.005,0.599%,59187622.00,Cayman Islands,2018,45978,Finance,Finance: Consumer Services
WF,Woori Financial Group Inc. American Depositary Shares (each representing three (3) shares of Common Stock),$27.63,-0.62,-2.195%,6652085324.00,South Korea,,14941,Finance,Commercial Banks
YALA,Yalla Group Limited American Depositary Shares each representing one Class A Ordinary Share,$8.34,-0.05,-0.596%,1200377284.00,United Arab Emirates,2020,542289,Technology,Computer Software: Programming Data Processing
ZME,Zhangmen Education Inc. American Depositary Shares each representing nine (9) Class A ordinary shares,$2.94,-0.03,-1.01%,463550897.00,,2021,19528,,
