Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BANX,StoneCastle Financial Corp Common Stock,$21.354,0.054,0.254%,150914462.00,United States,,8342,Finance,Trusts Except Educational Religious and Charitable
BELFB,Bel Fuse Inc. Class B Common Stock,$13.05,0.23,1.794%,162012670.00,United States,,78698,Capital Goods,Electrical Products
CCLP,CSI Compressco LP Common Units,$1.41,0.0601,4.452%,67639448.00,United States,2011,59425,Energy,Oilfield Services/Equipment
CPIX,Cumberland Pharmaceuticals Inc. Common Stock,$3.05,0.26,9.319%,45382777.00,United States,2009,78686,Health Care,Biotechnology: Pharmaceutical Preparations
DYAI,Dyadic International Inc. Common Stock,$5.76,0.03,0.524%,161735944.00,United States,,457634,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EBIX,Ebix Inc. Common Stock,$27.37,0.58,2.165%,846921925.00,United States,,103120,Technology,EDP Services
EVOK,Evoke Pharma Inc. Common Stock,$1.12,-0.01,-0.885%,36332106.00,United States,2013,86457,Health Care,Biotechnology: Pharmaceutical Preparations
FCAP,First Capital Inc. Common Stock,$43.63,1.63,3.881%,147202035.00,United States,,1392,Finance,Savings Institutions
FLDM,Fluidigm Corporation Common Stock,$6.87,0.07,1.029%,523267139.00,United States,2011,763232,Capital Goods,Biotechnology: Laboratory Analytical Instruments
HJLI,Hancock Jaffe Laboratories Inc. Common Stock,$8.54,-0.12,-1.386%,72706673.00,United States,2018,115973,Health Care,Medical/Dental Instruments
IBRX,ImmunityBio Inc. Common Stock,$9.77,-0.12,-1.213%,3821599132.00,United States,2015,1425176,Health Care,Biotechnology: Commercial Physical & Biological Resarch
JBSS,John B. Sanfilippo & Son Inc. Common Stock,$82.94,-0.71,-0.849%,951240104.00,United States,1991,40543,Consumer Non-Durables,Specialty Foods
JCS,Communications Systems Inc. Common Stock,$6.79,0.08,1.192%,65983950.00,United States,,133183,Public Utilities,Telecommunications Equipment
JOUT,Johnson Outdoors Inc. Class A Common Stock,$110.83,-0.07,-0.063%,1122397576.00,United States,,25958,Consumer Non-Durables,Recreational Products/Toys
MARK,Remark Holdings Inc. Common Stock,$1.24,-0.04,-3.125%,124986338.00,United States,,920352,Consumer Services,Telecommunications Equipment
MMAT,Meta Materials Inc. Common Stock,$5.34,0.11,2.103%,1491826839.00,United States,,11434297,Technology,Semiconductors
NCSM,NCS Multistage Holdings Inc. Common Stock,$28.98,3.01,11.59%,68982630.00,United States,2017,1647,Energy,Oilfield Services/Equipment
NWS,News Corporation Class B Common Stock,$21.43,-0.01,-0.047%,12661750210.00,United States,,538241,Consumer Services,Broadcasting
POWL,Powell Industries Inc. Common Stock,$25.14,0.13,0.52%,293928659.00,United States,,50288,Consumer Durables,Electrical Products
PSEC,Prospect Capital Corporation Common Stock,$7.70,-0.06,-0.773%,2996266589.00,United States,2004,1966271,Finance,Finance/Investors Services
RGP,Resources Connection Inc. Common Stock,$15.39,-0.19,-1.22%,510743929.00,United States,,126295,Miscellaneous,Business Services
SNGX,Soligenix Inc. Common Stock,$1.08,-0.08,-6.897%,43312061.00,United States,,2359942,Health Care,Biotechnology: Pharmaceutical Preparations
TLGT,Teligent Inc. Common Stock,$0.4446,-0.0068,-1.506%,41266657.00,United States,,6599979,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TRMT,Tremont Mortgage Trust Common Shares of Beneficial Interest,$5.72,0.03,0.527%,47546482.00,United States,2017,25759,Consumer Services,Real Estate Investment Trusts
TYME,Tyme Technologies Inc. Common Stock,$1.05,-0.02,-1.869%,180817239.00,United States,,591145,Health Care,Biotechnology: Pharmaceutical Preparations
UFPT,UFP Technologies Inc. Common Stock,$65.55,-0.95,-1.429%,493683532.00,United States,1993,24432,Capital Goods,Containers/Packaging
WTER,The Alkaline Water Company Inc. Common Stock,$1.69,0.02,1.198%,160084408.00,United States,,2627464,Consumer Non-Durables,Beverages (Production/Distribution)
