,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio
0,AAL,0.338427519379845,0.2614903225806452,0.0,1.77893,23820111.0,-0.31082,0.4695586,0.96,-11.842,102606597.0,0.1585,-9.845,0.54552,0.009980001,1625011200.0,1672444800.0,3.5,42784665600.0,,83947070.0,0.1778,0.02
1,AAOI,0.5014759090909092,0.1391083333333333,0.0,1.793122,326704.0,-0.20135,-0.284342,-0.44,10.301,4502212.0,0.1659,-1.881,0.49078,0.0502,1625011200.0,1672444800.0,8.11,312941184.0,,4023447.0,0.19860001,-0.7
2,ABSI,0.3098217391304347,0.57745,0.0,,276211.0,0.0,-0.34136176,-0.76,-5.68,1626508.0,0.0176,-4.406,0.21368,0.1705,1625011200.0,1672444800.0,5.51,1548710912.0,,198546.0,0.024,-0.83
3,ACAD,0.5250806949806952,0.5211416666666667,0.0,0.652838,1812129.0,-0.56487,-0.5808198,-0.86,3.517,7275306.0,0.045300003,-1.641,0.93553,0.00358,1625011200.0,1672444800.0,5.19,2121796736.0,,8104110.0,0.0734,-0.57
4,ACBI,-0.0461370967741935,0.4177428571428572,0.0,0.908296,85032.0,0.39418,0.9915397,1.96,17.382,515282.0,0.0254,2.103,0.86867,0.039619997,1625011200.0,1672444800.0,4.38,-75153048.0,5.39,306809.0,0.0311,0.6
5,ACER,0.4705346153846151,0.4118388888888889,0.0,1.172005,45435.0,0.0,0.06882596,-1.09,0.543,200577.0,0.0139999995,-1.289,0.29789,0.15338999,1625011200.0,1672444800.0,1.58,15892344.0,,69514.0,0.0212,
6,ACHC,0.2551560714285713,0.6397666666666666,0.0,1.55786,1133785.0,-0.31155002,1.1501322,2.95,26.503,3094778.0,0.0344,-7.847,1.02513,0.01286,1625011200.0,1672444800.0,8.26,7353384960.0,0.084,2529748.0,0.045100003,4.37
7,ADV,0.13475,0.3874473684210526,0.0,,282544.0,-0.03379,-0.16992188,0.81,7.657,5341802.0,0.0168,-0.4,0.28969,0.69123,1625011200.0,1672444800.0,12.48,4681232384.0,,5895643.0,0.056599997,0.92
8,ADVM,0.5707190909090905,0.3541727272727272,0.0,1.132641,1536728.0,0.0,-0.82307094,-1.28,3.864,12473688.0,0.1271,-1.446,0.81577003,0.02,1625011200.0,1672444800.0,9.32,-11551284.0,,12154313.0,0.135,
9,AEIS,0.347719808306709,0.5621181818181819,0.0478,1.751091,222831.0,0.109639995,0.45083177,5.84,22.822,663273.0,0.0173,4.186,1.0128701,0.01237,1625011200.0,1672444800.0,2.5,3294852352.0,0.215,702482.0,0.0235,1.99
10,AFIB,0.2697499999999998,0.59595,0.0,,275424.0,0.0,-0.6860634,-2.84,2.689,1747116.0,0.0625,-4.725,0.69916,0.05448,1625011200.0,1672444800.0,6.37,337329920.0,,1939521.0,0.1602,
11,AFIN,0.4326899082568806,0.7073900000000001,,1.405114,1193141.0,-0.04225,0.25364435,-0.01,14.621,1804277.0,0.0153,-0.298,0.55452,0.0045,1625011200.0,1672444800.0,2.82,2696294656.0,,1842856.0,0.0177,
12,AFRM,0.3554627240143371,0.429525,0.0,,22162635.0,-0.49505,0.13422918,-0.68,9.583,8412782.0,0.0312,-2.88,0.68587,0.025050001,1625011200.0,1688083200.0,1.47,29881636864.0,,11014926.0,0.0506,2.59
13,AINV,0.3361040178571428,0.42645,0.5767,2.085152,198384.0,0.66946,0.45464253,1.39,16.018,1986161.0,0.0305,2.161,0.34842998,0.00596,1625011200.0,1680220800.0,8.04,2328374016.0,9.733,2071009.0,0.032,3.26
14,AKBA,0.454475581395349,0.3576166666666667,0.0,1.691593,1972481.0,-1.3500301,0.106060624,-0.78,1.029,13383369.0,0.0767,-1.985,0.5851,0.01042,1625011200.0,1672444800.0,4.97,386884384.0,,13975782.0,0.0889,
15,AMAL,0.0018479452054794,0.24276,0.2051,0.873009,92250.0,0.24377,0.16389549,1.67,17.638,154351.0,0.005,1.56,0.50734,0.0042,1625011200.0,1672444800.0,3.86,-180692560.0,0.003,238845.0,0.0109,
16,AMEH,0.4158404494382023,0.6485222222222222,0.0,0.559538,654680.0,0.074200004,4.221445,1.52,9.071,2201555.0,0.0495,1.277,0.19346,0.32263002,1625011200.0,1672444800.0,5.29,3965504000.0,0.797,1499019.0,0.082399994,
17,AMGN,0.5173517374517376,0.4501800000000001,0.6829,0.672489,1999267.0,0.22547,-0.12736058,17.91,14.479,11212944.0,0.0197,9.86,0.77835,0.00198,1625011200.0,1672444800.0,4.3,147764969472.0,-0.743,10713887.0,0.0198,2.31
18,AMNB,0.1616735632183908,0.4597333333333333,0.3121,1.151746,18394.0,0.3607,0.455292,2.79,31.964,114000.0,0.0105,3.46,0.38678002,0.05953,1625011200.0,1672444800.0,6.28,-125484472.0,0.964,86442.0,0.0109,2.36
19,AMPH,0.139432380952381,0.3905285714285714,0.0,0.739628,121742.0,0.02722,-0.05384618,1.4,8.795,2400392.0,0.05,0.211,0.57749003,0.23398,1625011200.0,1672444800.0,14.7,850786624.0,,2386724.0,0.0614,0.77
20,AMTB,0.033662831858407,0.4267454545454544,0.0,1.39783,97987.0,0.16725,1.2444823,1.71,21.295,335740.0,0.009,1.026,0.38285,0.18038,1625011200.0,1672444800.0,5.42,1805378304.0,,232469.0,0.0136,
21,ANAB,0.3263860714285713,0.631475,0.0,0.06609,124719.0,-0.08603,0.6718147,-3.42,14.061,2903905.0,0.105900005,-0.319,1.07282,0.0055400003,1625011200.0,1672444800.0,22.34,342644672.0,,2909260.0,0.1515,
22,ANDE,0.2030724137931033,0.3283,0.3196,0.699235,133734.0,0.00709,0.5696938,2.14,30.884,450178.0,0.0135,2.186,0.79235,0.06766,1625011200.0,1672444800.0,2.51,2884634112.0,0.429,323262.0,0.0196,1.59
23,ANGO,0.1283926174496644,0.4143624999999999,0.0,0.826965,456163.0,-0.10840999,1.964989,0.15,11.399,752453.0,0.0196,-0.823,0.98010004,0.03496,1622419200.0,1685491200.0,3.77,1020612480.0,,717049.0,0.027999999,190.0
24,ANIK,0.2837522448979591,0.3760874999999999,0.0,1.239628,71197.0,-0.092810005,0.109090924,0.0,19.892,1204169.0,0.083500005,-0.899,0.93654,0.008590001,1625011200.0,1672444800.0,19.07,496296064.0,,1295144.0,0.114300005,15.74
25,ANIP,0.2780809523809524,0.4975624999999999,0.0,1.259279,49750.0,-0.08071,-0.004585564,3.87,15.86,477256.0,0.0374,-1.433,0.75755996,0.050219998,1625011200.0,1672444800.0,8.41,531482784.0,,455429.0,0.0575,4.12
26,ANSS,0.1672632653061225,0.3567764705882353,0.0,1.22762,310130.0,0.25402,0.11629748,7.84,48.74,651533.0,0.0075,5.212,0.93751,0.00453,1625011200.0,1672444800.0,2.15,31894867968.0,-0.029,586431.0,0.0084,4.29
27,APOG,0.2441056338028167,0.1196444444444444,0.8611,1.133187,123472.0,0.01844,1.1020718,2.84,19.431,706325.0,0.0277,0.897,0.94525003,0.02931,1622246400.0,1677456000.0,8.67,1250068480.0,2.761,899611.0,0.0383,1.27
28,APPN,0.4759064285714287,0.49988,0.0,1.707027,260738.0,-0.14331001,0.69381,-0.49,3.888,6462726.0,0.090900004,-0.672,0.71167,0.010880001,1625011200.0,1672444800.0,13.53,7090015232.0,,5624713.0,0.16469999,
29,AQB,0.5130672727272727,0.1927,0.0,1.068632,573302.0,0.0,0.038461566,-0.23,3.192,4630675.0,0.0652,-0.345,0.5633,0.01255,1625011200.0,1672444800.0,6.45,112382432.0,,5324048.0,0.106800005,
30,ARDX,0.5593620805369129,0.5702333333333334,0.0,1.805131,3225399.0,0.0,-0.7799672,-1.18,1.142,8638628.0,0.0838,-1.327,0.84234,0.01254,1625011200.0,1672444800.0,1.2,34408852.0,,10590621.0,0.0979,-0.03
31,ARRY,0.3538729166666668,0.4512266666666666,0.0,,1222777.0,-0.01839,-0.478738,0.63,-0.54,7840254.0,0.0585,-0.113,1.07589,0.010989999,1625011200.0,1672444800.0,2.17,2904064000.0,,5776799.0,0.080699995,-71.47
32,ASMB,0.2218292079207921,0.4248999999999999,0.0,0.338427,922289.0,-2.62461,-0.81429374,-2.22,5.295,1613333.0,0.0359,-2.433,0.60557,0.01541,1625011200.0,1672444800.0,1.94,-42708692.0,,2884233.0,0.0364,-0.08
33,ATNX,0.5530126923076923,0.3482083333333334,0.0,0.593386,1703521.0,-1.21118,-0.73227096,-0.99,1.694,9434821.0,0.0863,-1.557,0.55114,0.13426,1625011200.0,1672444800.0,8.84,380160992.0,,9733431.0,0.121199995,0.09
