,Recent headlines and conversations for AAPL,Polarity
0,Apple's Tim Cook Takes Witness Stand in Antitrust Fight — 6th Update,-0.4875
1,"In Antitrust Trial, Tim Cook Argues Apple Doesn’t Hurt App Makers",-0.4443
2,Did Apple and Tesla stock splits signal the stock market top?Bradley Freeman,0.6628
3,"Cim Investment Mangement Inc Buys Apple Inc, Exxon Mobil Corp, C.H. ...",0.561
4,Apple v. Epic: Tim Cook offers strong defense of App Store,0.5491
5,"KAMES CAPITAL plc Buys Apple Inc, Microsoft Corp, NVIDIA Corp, Sells Tesla Inc, Facebook Inc, ...",0.1042
6,Investor Icahn says buys another $500 million in Apple stock,0.4861
7,Apple and the End of the Car as We Know It -2-,0.2707
8,"Bridgewater Advisors Inc. Buys JPMorgan Ultra-Short Income ETF, Apple Inc, Darling Ingredients ...",0.6966
9,"Patron Partners Advisors, Llc Buys Apple Inc, iShares Russell 2000 Value ETF, SPDR S&P ...",0.3668
10,"Apple to host April 20 'Spring Loaded' event, where new iPad Pro may be revealedBrett Molina",0.7537
11,"Apple VP says company is committed to home audio products, ‘little need’ for Find My Remote feature",0.8143
12,"Sittner & Nelson, Llc Buys Apple Inc, United Parcel Service Inc, CRISPR Therapeutics AG, ...",0.7583
13,"Opal Wealth Advisors, LLC Buys VanEck Vectors Gold Miners ETF, Apple Inc, LMP Automotive ...",0.585
14,Apple's Tim Cook Takes Witness Stand in Antitrust Fight — 3rd Update,-0.4875
15,"Warren Buffett generates half of his dividend income from these stocks: Apple, Bank of America, Coca-ColaSean Williams",0.637
16,"Apple's new 5G iPhone heading for disappointment, analyst saysRich Duprey",-0.2407
17,"Apple braces for coronavirus impact, adjusts revenue projectionDaniel Sparks",0.0219
18,"Apple is Berkshire Hathaway's biggest equity investment, so why did Warren Buffett sell shares?Paul Ausick",0.7238
19,Could a 'subscription iPhone' be the answer to Apple's falling cellphone revenue?Danny Vena,0.0301
20,Apple shares why 11-inch iPad Pro didn’t get the Liquid Retina XDR display and more in new interview,0.6693
21,"Mcdonald Partners Llc Buys Apple Inc, Parke Bancorp Inc, First Trust Value Line Dividend Index ...",0.7562
22,"Bluesphere Advisors, LLC Buys iShares China Large-Cap ETF, iShares Core S&P 500 ETF, Apple ...",0.3135
23,Apple's Tim Cook Takes Witness Stand in Antitrust Fight — 4th Update,-0.4875
24,"Cohen Investment Advisors LLC Buys Apple Inc, Amazon.com Inc, Microsoft Corp, Sells Nokia Oyj",0.655
25,"Wealthgate Family Office, LLC Buys Roku Inc, Switch Inc, Apple Inc, Sells New York Times Co, ...",0.7469
26,Barry Diller says Apple 'overcharged in a disgusting manner' his companies on App Store,-0.588
27,Apple's Tim Cook Takes Witness Stand in Antitrust Fight — Update,-0.4875
28,"20 stocks to buy in 2020: Apple, Amazon and Disney are among favorites of Wall Street prosJessica Menton",0.72
29,"Atlas Capital Advisors Llc Buys Apple Inc, Vanguard Intermediate-Term Corporate Bond ETF, ...",-0.2644
30,"Freemont Management S.A. Buys Amazon.com Inc, Alphabet Inc, Apple Inc, Sells Sensient ...",0.3958
31,"Apple overtakes Amazon to become world’s most valuable brand, while Tesla is the fastest-growing",0.7182
32,Snap CEO Evan Spiegel: We're happy to pay Apple 30% — without Apple we wouldn't exist,0.6954
33,Apple CEO Tim Cook talks all-time records and accelerating growth in wearablesDaniel Sparks,0.7579
34,Apple's Tim Cook Takes Witness Stand in Antitrust Fight — 5th Update,-0.4875
35,Apple CEO Tim Cook faces sharp questioning from judge in Epic Games trial,0.6665
36,Tim Cook defends Apple in blockbuster Fortnite trial: 'It has nothing to do with money',0.8282
37,Apple and the End of the Car as We Know It,0.2707
38,Apple's Tim Cook Takes Witness Stand in Antitrust Fight — 2nd Update,-0.4875
39,Apple CEO Tim Cook: The App Store has been an ‘economic miracle’,0.1881
40,iPhone suppliers rise after Apple's quarterly report,0.1843
41,Tim Cook will make first-ever court appearance as Apple CEO in blockbuster Fortnite trial,0.9105
42,Apple reopens all of its 270 stores across the US with coronavirus protocols still in effectMike Snider,0.1987
43,Apple v. Epic trial wraps up as judge spars with Tim Cook,0.7661
44,Apple CEO faces tough questions about app store competition,-0.005
45,Analyzing Tim Cook's defense of Apple in the Epic Games lawsuit,0.0184
46,"Apple Inc (NASDAQ: AAPL) will continue to grow ahead of Wall Street’s expectations from the fiscal year 2022 onwards, Loup Ventures Managing Partner Gene Munster said on Thursday.",0.6806
47,"Crake Asset Management LLP Buys Amazon.com Inc, Wells Fargo, Apple Inc, Sells Vale SA, Facebook ...",0.8488
48,Amazon's second-generation earbuds offer more bang for your buck than Apple's standard AirPods,0.6846
49,"Thinking about trading options or stock in Nio, Alibaba, Ford, Apple, or General Electric?",0.6206
50,"Berman Capital Advisors, LLC Buys Vanguard Large Cap ETF, Apple Inc, Amazon. ...",-0.1244
51,"Bessemer Securities Llc Buys Microsoft Corp, Apple Inc, The Cooper Inc, Sells iShares Core ...",0.5656
52,Apple Claims Its App Store Blocked Over $1.5 Billion in Fraudulent Transactions in 2020,-0.7451
53,Why Unity Isn't Worried About Apple's Ad Tracking Crackdown,0.271
54,"Vantis Investment Advisers L.P. Buys Apple Inc, Airbnb Inc, Amazon. ...",0.6081
55,"Covey Capital Advisors, LLC Buys At Home Group Inc, Apple Inc, IAC/InterActiveCorp, Sells ...",0.6548
56,"In Epic Games v. Apple Trial, an Unorthodox Judge Presides",0.7252
57,Apple's Post-Earnings Dip: A Great Buying Opportunity,0.8836
58,Apple Parts With Prominent Executive After Employees Complain Over Comments About Women,0.0471
59,"Banco Bilbao Vizcaya Argentaria, S.a. Buys iShares Core S&P 500 ETF, Apple Inc, Vanguard ...",0.2477
