,Recent headlines and conversations for ADBE,Polarity
0,Z,0.0
1,What a joke...Wall Street punishes those that do well and reward those that make no money,0.4842
2,300 tomorrow is not out of the question. Go ADBE!,-0.1552
3,Very Bullish Investors Webinar commencing in less than 3 hours. They don't hold impromptu presentations like this for nothing.My target EOD: 441 on way to Jeffries 470(UBS was right!),0.3641
4,Next stop - $295.00,-0.3031
5,"Any one guide me i have bought @ #494/share on X5 Leveraged my stop lost almost near to hit $446/Share , Kindly advise me it will go up or down ?",-0.2689
6,YES BABY GO DOWN MORE MAKING +$$$$,0.1527
7,Just opened small position. Been waiting for a drop to get in.,0.0607
8,"Holy cow Batman, they've downgraded Adobe. ""Robin, pay no attention to the man behind the curtain. Adobe will be making a lot of money for years to come "".",-0.7042
9,Actual move of 3.15%-ish as opposed to the 3.75% priced move. These market makers are good.,0.437
10,buy now before earnings? should I and would you?,0.4975
11,"It looks like raising outlook, nice move, above 300 coming.",0.7717
12,"when you have high PE, PS, and PEG (which means the stock is overvalued) the only way it will jump after ER is unexpected, strong rise in guidance. even if it meets the guidance it will go down to adjust to the real value compared to the industry",0.8842
13,Huge upgrades 450.00 pt,0.2843
14,great earnings but still makes it overvalued.. these techs are still getting hit,0.5242
15,"Tripled my position today. Doubled it at 233.73. Made it a triple at 238.72. My last tripling, of MU at 47-ish, has worked out great so I figured I’d give it another go here today.",0.8555
16,300 by tomorrow,0.0165
17,Record earnings and it's down Jesus I hate the stock market,-0.4398
18,Broke 500 level !,-0.2118
19,a lot of scared shorts right now,-0.372
20,Long here! Hoping for earnings beat and growth on the cloud part improvement in core business/products and good guidance.,0.9385
21,"Now that 50 DMA is broken, what is next? Any views will be helpful.",-0.2715
22,Buy now it’s on discount . Thank you clowns,0.6259
23,Beat Top and bottom,0.2204
24,strangle wins,0.5327
25,Idiosyncratic growth story good stock in a choppy market... discounted price,0.812
26,"Bought £7,000 worth of Adobe stock. Everything is priced in so there is only going to be moving after earnings come out which is after hours aka when the stock market closes",0.7317
27,"300 tomorrow, must be owned by big guys",0.1042
28,Adobe either has a major design flaw or has been hacked. Adobe programs are shutting down and wiping Chrome and it's data on customer's computers And of course Adobe's service is non existent. I have been waiting 4 days for a real tech to phone me as the first one from India didn't have a clue what to do.,-0.6264
29,bullish 600,0.1972
30,Pop!,0.1658
31,ADBE is up 6.87% to 305.69,0.1818
32,"Why when downloading historical data for a stock does Yahoo give the dates as ""Text"" instead of dates. That makes it totally useless.",0.1019
33,Looks like trading halted. OMG!,0.0847
34,This will rise 3% tommorow,-0.2142
35,John is basing things on after hours? Ha. Who would sell after hours after that report?,0.4822
36,LOL. Some one just sold 12 K share @ 245 on level 2,0.8656
37,Christmas shopping deals came early this year.,0.6079
38,Golden opportunity to buy her!!,0.7432
39,Get in b4 the train leave. ,0.0407
40,PODCAST: Adobe Systems | The next great American acquisition target?!?! | http://investing-adventures.madewithopinion.com/adobe-systems-the-next-great-acquisition-target/#,0.7683
41,Anyone know if the earnings report is tomorrow pre market or after closing,0.1671
42,BANG!,0.2844
43,What's up with this nice AH bump?,0.7624
44,"Revenues estimates beaten, record results, more at seekingalphaSAN JOSE, Calif.--(BUSINESS WIRE)-- Adobe (ADBE) today reported financial results for its fourth quarter and fiscal year ended Nov. 27, 2020. In its fourth quarter of fiscal year 2020, Adobe achieved record quarterly revenue of $3.42 billion, which represents 14 percent year-over-year growth. In fiscal year 2020, Adobe achieved record annual revenue of $12.87 billion, which represents 15 percent year-over-year growth.",0.833
45,340 !!! huge growth !,0.7243
46,Omg no news about the earnings yet!,-0.1851
47,Undervalued but.. flat af for 6mon now heading 6mon low bruh,0.261
48,Big Joe is about to take a short position,0.4799
49,I just bought a bunch more last night before this hike. I previously bought when at $82.92. I'm pretty pleased.,0.7288
50,270 call 9/28. How screwed am I,-0.433
51,Out at $234,0.142
52,It is time for the stock to split.,0.3398
53,what's wrong with ADBE,-0.4432
54,"Someone please explain to me why some companies this earnings season provided weak guidance, and their stocks got crushed, and others like Adobe just gave guidance lower than expected (basically warning for next quarter) and the stock goes up 5% in pre-market? And then the sell side analysts create a self-fulfilling prophecy by raising the price target into the $325 range. So why is ADBE rewarded for lower guidance?",0.6102
55,"Will be closing my ADBE position today, looking for a nice day of upside movement. Stock was at $320+ for much of the day on Friday, until a slight last-minute dip just before the close. Nothing but weekend traders feeling jittery and nervous, IMO. As long as the general market is good today, ADBE still has plenty of upside potential to trend up to the $225+ level. I will be away from my computer most of the day, gonna us a Conditional order and slap a $330.00 Limit Sell and a $312.00 Stop Sell, in order to lock in a good profit for the day no matter what happens, as I am long at $305.80. Not expecting a dip, but want to play it smart. Protecting an existing profit is always smart, especially if you cannot fully monitor both market conditions and the stock itself during a trading day. Later this afternoon I plan to jump into HEI as a Long play. They report at 4:15 PM and the stock looks very good for a nice pop to the upside on a strong Earnings report, IMO.",0.9986
56,I brought aswell good luck,0.7096
57,ADBE will be hitting new highs within days.,0.0237
58,Up we go from here. Positive indicators!!,0.7256
59,"Already red after market, these earnings are not worth a penny ;)",0.4107
60,why the sell off,0.1175
61,Don't listen to cramer.,-0.1344
62,What happens if apple were to disappoint? Lord have mercy .......,0.1244
63,See if you can hold Adobe down today... we will rise!,-0.3188
64,"AdobeAt $337.52, Adobe stock is more than $45 off its Feb. 19 close""In my view, Adobe's the best of the cloud kings, and I like that Morgan Stanley just this morning bumped its price target from $410 to $450 in the teeth of an obvious sell-off,"" Cramer said.",0.8691
65,why this stock up so big upgrade?,0.5815
66,I'm gonna buy at 102 and not a dime more....,0.3076
67,Why the need to prop this!!?? U scared mms its gonna crash because the whole world is long this like apple and screwed? My advice- step away and let this paper fall hard,-0.842
68,Heading back up. CEO will be on Cramer tonight which should help put a good additional spin to the numbers. Should open at 255 tomorrow and rise from there.,0.8761
69,Cloud stocks are back! ADBE will rebound with the others,0.2017
70,ADBE worth $30,0.2263
71,what happened?,0.0337
72,"So sick of losing ALL I HAVE 100% losses every single day in Put options, Straight line up from 2002. from $1",-0.6649
73,Down 200 coming,-0.192
74,$150 today?,0.0783
