,Recent headlines and conversations for aprn,Polarity
0,BRIEF-Blue Apron Holdings files for IPO of upto $100 mln of class A common stock‍​‍​,0.3071
1,"Blue Apron partners with Disney, adds menu items to drive continued growth with ‘high-quality’ customers",0.5049
2,Blue Apron hosts conference call for investors,0.4706
3,Why Did Blue Apron Stock Fall After Reporting Q1 Revenue Beat?,0.2152
4,"Meal-kit maker Blue Apron goes public, demand underwhelms as Amazon looms",-0.1318
5,"Blue Apron prices IPO at $15-$17 per share to raise $500MRoger Yu, and Kevin McCoy",0.6513
6,"Why shares of Blue Apron are dropping TuesdayDaniel Miller, The Motley Fool",0.3704
7,"UPDATE 6-Meal-kit maker Blue Apron goes public, demand underwhelms as Amazon looms",-0.3079
8,": Blue Apron partners with Disney, adds menu items to drive continued growth with ‘high-quality’ customers",0.5049
9,Blue Apron CEO Says Customers Will Keep Cooking After COVID,0.0835
10,Blue Apron earnings: here's what to expect,-0.0145
11,U.S. meal kit service Blue Apron files for IPO,-0.1049
12,UPDATE 1-U.S. meal kit service Blue Apron files for IPO,-0.0235
13,Meal-kit delivery company Blue Apron cooks up an IPOKevin McCoy,0.6243
