,Recent headlines and conversations for BA,Polarity
0,https://www.marketscreener.com/quote/stock/THE-BOEING-COMPANY-4816/news/BOEING-nbsp-Management-s-Discussion-and-Analysis-of-Financial-Condition-and-Results-of-Operations-29922378/,0.0
1,March delivery numbers might be released tomorrow,0.5766
2,Problem has been fixed. Takes less than 20 minutes. Most planes didn't even have an issue,-0.3454
3,Someone is dumping shares to try to hold this back and the just keep getting bought up. Love it! Should pass 260 soon. Burn shorts burn!,0.8841
4,best recovery stock this year and beyond.,0.8133
5,"Shorts are still in denial. They don't realize TSA traveler checkpoints are over 1,500,000a day now. They don't understand the direct correlation between the air travel increases and need for more airplanes.Say hello to $350.",-0.6423
6,"Boeing Biden plane escalator, patent pending.",0.5379
7,The Mighty Jin Dak sees nothing but GREEN highways to $500!,0.4402
8,"i think we get it, you're short, do we need a tick by tick update about a stock in a downtrend?",-0.765
9,JNJ vaccine pulled,0.7364
10,"Aviation weekNew aircraft orders and some delivery-position shuffling has helped Boeing cut the number of unsold 737 MAXs in its inventory to about 60, an Aviation Week analysis shows. The company’s March order-book tally of 185 737 MAXs included sales of 61 already-constructed commercial MAX variants",-0.6097
11,"If you are selling BA because they need to fix some planes (Which could be a 1 day fix), then you should not have owned BA in the first place.",0.3237
12,"No way to make money short term against these criminals. Buy and hold, or get out.",-0.8308
13,Jin and associates:,0.0247
14,"All longs still missing the issue that increase in travel numbers, relaxing travelling conditions will not help Boeing until the latest grounding of planes ends and electrical issues fixed, which seems to have have broadened in scope and complexity, and creating a suffocating cash crunch for a beleaguered Boeing that has already suffered a lot!!!",0.6763
15,"Couple of highlights from the earnings report:Cash flow is still negative burning through $41M per day.Debt increased by $4BIt will take the rest of the year to fix the structural flaws in the 100 787s in storageThere are 400 737s in storage, only 200 will be delivered this yearDomestic air travel is increasing and is over 50% of pre-pandemic levels but international is only at 11% The China market is critical to Boeing$318M write off on Air Force 1 contract737 electrical fix is simple",0.2348
16,Boeing  crash  at noon today? I figured another one in Indonesia  $241 to $231,-0.0777
17,Back to $235 tomorrow?,0.0553
18,Elon: I'm in charge of the Mars Operation.Boeing Airlines:,0.0418
19,i love this forum now.,0.6559
20,The stock up substantially in 2021 but can reach $300 with a massive orderfrom Southwest.,0.3134
21,"say goodbye to 230's is gone for the rest of this quarter, BA has been hyped & pumped and now its over..",0.593
22,Travel demand is the one element that will force Boeing as well as Airbus to shoot up this summer. Don't fight it.,0.1741
23,"A recovery in leisure travel is ""in full swing"" and airline bookings are improving, analysts at Bank of America say, raising their expectations for share prices for a few of the U.S. air carriers such as Southwest and Delta.",0.6722
24,"Over 250 by Wednesday, and then on to 300.",-0.0795
