,Recent headlines and conversations for BIIB,Polarity
0,"01:35 PM EST, 12/04/2019 (MT Newswires) -- Anavex Life Sciences (AVXL) said on Wednesday an interim two-year trial data of ANAVEX 2-73 on Alzheimer's Disease showed a significantly lower cognitive decline, compared with the control cohort from the Alzheimer's Disease Neuroimaging Initiative (ADNI) database, sending its shares up 12% in afternoon trading.ADNI is a multi-center study designed to develop clinical, imaging, genetic and biochemical biomarkers for the early detection and tracking of Alzheimer's disease.""These results confirm the rationale to advance the ANAVEX 2-73 Alzheimer's disease program through the ongoing phase 2b/3 Alzheimer's disease clinical study,"" said CEO Christopher Missling. ""The data also establishes the findings of two further gut microbiota family biomarkers linked to improved response with ANAVEX 2-73.""The interim data from the phase 2a extension study, with Alzheimer's disease patients followed for up to five years, will be presented at the Alzheimer's Disease conference in San Diego, Calif., this week.Price: 2.68, Change: +0.32, Percent Change: +11.78",0.9941
1,"WOW!!!!!!!! I truly believe that if not a cure then this new drug if made affordable could actually be given to every senior over a certain age to act as a ""vacine "" to prevent plaque build-up thus the disease. This could be a daily drug given like cholesterol medicine like lipitor !!!!!!!!!!",0.9694
2,"There is a rumor that Biogen is partnering up with Relief Therapeutics (RLFTF) to distribute RLF-100 in Australia, any one know anything about this?",0.8241
3,FDA voted strongly against? huh.,0.5172
4,Sell this now! Lawsuits are mounting and it is a easy strike and BIIB mostly will loose and may have to cough up billions! It is going below 200$!!! And forget about this Alzheimer’s med,-0.5801
5,Market strong. Stock down why?,0.489
6,We shall see. I don’t believe in the credibility argument. If the FDA believes this is helping a % of the population this will be approved with conditions. They will not outright reject this drug,0.8119
7,Better buy PRAN they have a viable Alzheimer drug in trial. It’s popping as we speak,0.869
8,Does anybody knows how many shares are in their buyback program ? .,0.5124
9,"I started following ""lionstock-aletrs” (Gooogle it - off course without any space or dash in between the words) and their notifications are better than anyone else.",0.5762
10,"Well, sold at 335, bought back at 224. Will be above 300 in no time (6 months)",0.2568
11,https://www.boston.com/news/health/2020/03/09/massachusetts-coronavirus-cases-update,0.0
12,Drug prices not mentioned by Trump at the inauguration still biotechs under pressure today! I just don't get it!,0.3129
13,We need a buyout badly. Stock performance has been pitiful and changes in management is doing nothing!,-0.4076
14,stock will swing big either way....going either below $350 or above $390,0.4128
15,in about 42 minutes watch for the BUY POINT...,0.4494
16,"I must say it is a total bs on biogen's stock value that it didn't rise much and after earning it still didn't rise much... What the f is wrong with institutional manipulation won't let Biogen rise????? The institutional ownership is like 90%, so that valuation leaves to institutional manipulations now.",0.6114
