,Recent headlines and conversations for CI,Polarity
0,NEED to Reverse,-0.3156
1,@cigna walk it’s customers through via Delarosa when they file claims hoping they will eventually give up. @cigna is one of most hated companies both by customers (one of the 10 most hated companies in America) and employees (read Glassdoor reviews) and exactly like Comcast it’s dommed to crash. Anyone thinking on buying it’s stock must be aware of these daily confirmed facts.,-0.1018
2,I have a dumb question. How did I get CI in my portfolio? 26 shares that I never bought. Who spun it off? Thanks and don’t hate me.,-0.4993
3,Cigna will go down. Any company which torture its customers and employees doomed to go down. Just like Comcast,-0.8434
4,Strong close would be a plus for upside.,0.8023
5,Cigna & others are going to be under tremendous pressure until the CV crisis passes . Avoid .,-0.4558
6,in at 171.55,-0.0464
7,GS downgraded CIGNA as well.,0.0621
8,New 52 week lows everyday. SILENCE from the leaders of this horrid company !,-0.7373
9,being around breakeven on a down day is not too bad... i guess...,0.458
10,I will loads another batch at 164 if I can.,0.0004
11,I’ll have to say it . It’s Friday after the close and Cigna is now my favorite trading stock . Just WOW !!,0.8949
12,"how low can it go,",-0.2467
13,Down almost $70.00 a share from the 52 week high. Heads should be rolling !!!!!! The BOD is spineless as they hide under their desk.,0.5069
14,Business rationalization or lack there of. I think some investors were expecting to hear consolidation outline and they didn't get it. Start with the duplicate Accounting and HR departments and then the low hanging fruit of numerous office space spread out around the country as easy first steps. I guess a promise or two was made but it will have to be done sooner rather than later.,0.5933
15,Last thought before market - guess I’ll have to hope that they’ve decided to start buybacks this morning lol,0.7404
16,Thanks OC!,0.4926
17,This stock used to be in the 200s before they bought express scripts. Too bad Carl Icahn couldn’t stop the transaction. And now the fear of Medicare for all. This stock has truly taken a turn for the worse and may never recover for a few years,-0.308
18,Cigna stinks it up EVERYDAY!!!!!!,-0.3401
19,47 K shares out of the gate was good for + 5 points,0.756
20,"If revenue is supposed to be up 200% from last year, why isn't share price up from last year? Elizabeth ain't gonna win.",-0.3241
21,Buying more today.,0.3407
22,Have to admit the trading is anemic - low volume - like watching paint dry . No one is interested in the stock or the sector presently .,0.5132
23,"Anyone know anything about this news ? United States Courts Opinions: United States District Court Northern District of California: JEFFREY E. FLEMING, Plaintiff, vs. CIGNA HEALTH CORPORATION; CIGNA HEALTH AND LIFE INSURANCE COMPANY; CIGNA HEALTHCARE OF CALIFORNIA, INC.; CONNECTICUT GENERAL LIFE INSURANCE, JOHN/JANE DOES, 1-100, Defendants. Mon Mar 19 05:19:52 2018 EDT Washington : United States District Court Northern District of California has issued the following order:655 North Central Avenue Suite 2300 Glendale, C A 91203-1445 103916286_1 -1- PROPOSED ORDER SETTING RESPONSE DATE - 17-cv-04852- EMC 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 UNITED STATES DISTRICT COURT NORTHERN DISTRICT OF CALIFORNIA JEFFREY E. FLEMING , Plaintiff, vs. CIGNA HEALTH CORPORATION ; CIGNA HEALTH AND LIFE INSURANCE COMPANY ; CIGNA HEALTHCARE OF CALIFORNIA, INC. ; CONNECTICUT GENERAL LIFE INSURANCE , JOHN/JANE DOES, 1-100, Defendants. Case No. 17-cv-04852-EMC PROPOSED ORDER GRANTING STIPULATED REQUEST TO SET TIME FOR DEFENDANTS TO ANSWER OR OTHERWISE RESPOND TO THE COMPLAINT Hon. Edward M. Chen Having considered Defendants Cigna Health Corporation , Cigna Health and Life Insurance Company , Cigna Healthcare of California, Inc. , and Connecticut General Life Insurance (collectively, ""Defendants"") and Plaintiff Jeffrey E. Fleming stipulated request to set the time for Defendants to answer or otherwise respond to the Complaint, and for good cause showing, the request is GRANTED. IT IS HEREBY ORDERED that the deadline for Defendants to answer or otherwise respond to the Complaint shall be March 29, 2018 . IT IS SO ORDERED. Dated: EDWARD M. CHEN United States District Judge 3/14/18 U NITED STATES DISTRICT COURT NORTHERN DISTRICT OF CALIFORNIA IT IS SO ORDERED Judge Edward M. Chen Case 3:17-cv-04852-EMC Document 16 Filed 03/14/18 Page 1 of 1In case of any query regarding this article or other content needs please contact: editorial@plusmediasolutions.comSID(GALEae819bc5e9286447467) CI DVMTCT/ebf CT/ebf.fin CT/ebf.fin.sec CT/ebf.fin.sec.hiy IC/comp IC/comp.soft IC/fini IC/fini.insr IC/svcs IC/svcs.prof II/ins II/ins.life IS/biz IS/biz.impact IS/biz.litigate IS/gov.civillaw IS/haw IS/impact IS/impact.ops IS/lifesoc IS/lifesoc.litigate IS/pol IS/pol.judicial IS/pol.law LC/us LR/am LR/nam **CS-B-12",0.9968
24,UNH beats and raises and it did not help.Does anyone really think we are going to a Medicare for all system with an entrenched red Senate??,-0.3021
25,"Just read a report on HealthCare stocks to buy .It stated Cigna’s Price to Cash Flow was 9.92x as of 04–16-21 or $ 25.47 . Humana’s at 12.39x at $35.13 . Cigna dividend $4.00 or 1.59% . Humana at $2.80 or 0.636% . The article made Humana sound more compelling than Cigna based on these numbers . There’s NO question by cash flow , earnings and dividend Cigna has Humana beat by a Texas mile when you consider how much you have to pay to buy a share of each . Cigna is also knocking on the front door in the growth comparison now too .",0.9162
26,It’s pathetic.... embarrassing and the CEO needs to stand up before stockholders and this shredding of equity and his plans to address it !!!!!!!!!!,0.3302
27,$120 worst case IMO,-0.3964
28,Excuse my while I cry,-0.2445
29,"Bought at $145ish, hoping for a pop and have a cushion for some downside. No way national healthcare will pass. Insurance and medical lobbies too strong. Doesn't matter if the people want it or not. Besides, someone has to service all the customers before the bill gets paid by the Gov't. Buy on fear is a win for me.",0.9121
30,I expect to see CI up around 195 by 6:30 tomorrow morning. CI is better than ANTM because CI has ESPX.,0.5208
31,retest of $146 before more growth? I'm calling fall to 146 and intense bounceback after that,0.1378
32,Wonder why CI underperform today? Earning is similar to peers like ANTM and UNH.,0.2406
33,will we get shares of express scripts?,0.2639
34,WOW-------Excellent EARNING and even stellar outlook and whole 2018.Stock is a Strong Buy from here.We will see upgrades from analysts and lifting estimates and price targets.,0.6708
35,Ridiculous sell-off after solid earnings report. Buying more at $156.,0.0536
36,PE of 15? This stock should be trading at $190 already... Ridiculous,0.2058
37,Should have sold at 195+. Lessons learned !,0.1409
38,"The volume isn't even that high, that's what is interesting. we have been down this road before. I am just going to turn off the computer and go away for a couple of days.",0.2862
39,"It is easy money for CI LONGS, because CI's peers have good earnings, UNH, HUM, ANTM, so CI should not disappoint us, particularly the CI's CEO already gave us the hint that CI has strong quarter, plus don't forget CI's Express Script revenue will push the revenue this quarter more than 100% higher than last year.",0.9262
40,"CEO already gave us the clue that CI will have a great quarter, so I just buy more options. GOOG does not guarantee that the tech sector will be great. I think health care should be safer and solid.",0.9661
41,"keep going down, unbelievable SMH",-0.4091
42,"buy buy. Any policy changes required 2-3 years even to replace current system. Also, are we just giving the Democrats control of Congress and White House? Election not until 18 months away people wake up and don't give up to machine and shorts",0.7399
43,"RESISTANCE ABOVE +5.5% at 175.7 ± 1.93 type single, strength 1+8.7% at 181 ± 1.99 type double, strength 6+11.5% at 185.8 ± 2.04 type double, strength 10",0.943
44,So here we are - the day before long awaited ER . Looking over the ER that Humana just released .... it’s pretty clear to me that Cigna is running neck to neck with Humana’s results but up to now does not have nearly the same lofty PE ratio . All other things being equal Humana is either highly overpriced or Cigna is greatly underpriced . No matter how tomorrow turns out - this is how I clearly see it.,0.9154
45,people cant keep paying theese high premuims. insane how much they are charging for nothing. somebody has to step in and stop this,-0.4678
46,losing momentum？,-0.3818
