,Recent headlines and conversations for CI,Polarity
0,CIS schedules released for new Dota Pro Circuit,0.0941
1,Bodycams haven't lived up to promises of exposing police misconduct. One reason: The police decide what to release.Tami Abdollah,0.0139
2,"Brame, Yellow Submarine advance in Dota Summit EU/CIS",-0.2547
3,"Some people don't believe Meghan was suicidal, and that can be so dangerousAlia E. Dastagir",-0.6027
4,"Parallax Volatility Advisers, LLC Buys Cigna Corp, Alibaba Group Holding, SPDR Dow Jones ...",0.5473
5,BRIEF-Curis Announces FDA Clearance Of Ind Application For CI-8993,0.656
6,Vikin.gg capture Dota Summit 13 EU/CIS title,-0.1801
7,"Paragon Associates & Paragon Associates Ii Joint V Buys Cigna Corp, Verso Corp, Euronet ...",0.3758
8,"Steadfast Capital Management Lp Buys Cigna Corp, Wix. ...",0.3291
9,Bill Burr criticized for mispronouncing singer's name at Grammys premiere ceremonyJenna Ryu,-0.0183
10,"13 investigations, no court-martials: Here's how the US Navy and Marine Corps quietly discharged white supremacistsWill Carless",0.3001
11,Vikin.gg earns spot in grand final of Dota Summit 13 EU/CIS,0.26
12,"Glenview Capital Management Buys Cigna Corp, Facebook Inc, McKesson Corp, Sells Tenet ...",0.1975
13,"Racial equity is important, but it doesn't trump the right to excelJames S. Robbins",-0.3276
14,"Cigna (CI), Oscar to Address Needs of Arizona's Small Businesses",0.0791
15,Team Liquid advance to grand final of Dota Summit 13 EU/CIS,0.7346
16,"Na'Vi, Nemiga advance in IEM NY: CIS playoffs",0.3032
17,"The Zacks Analyst Blog Highlights: Centene Corp, Molina Healthcare, UnitedHealthGroup, Cigna Corp and HCA Healthcare",0.7145
18,"Virtus.pro, Spirit unbeaten at IEM New York -- CIS",0.3611
19,CI Financial to buy investment adviser Doyle Wealth Management,0.7698
20,"Berkshire Bank Buys iShares Core MSCI Emerging Markets ETF, BTC iShares Core MSCI EAFE ETF, NXP ...",-0.2863
21,"Zacks Industry Outlook Highlights: UnitedHealth Group, Anthem, Cigna Corp and Humana",0.4524
