,Recent headlines and conversations for CMCSA,Polarity
0,Mike could be a big day. Time will tell ?,0.2676
1,"Hunter Biden, loves going to Burger King!",0.5972
2,Z,0.0
3,"During the World Series, a Police Officer sang God Bless America. And Joe Buck gushed about it, like he was proud of his country. Days earlier, globalist Buck bragged about how some of the football players had kneeled during the anthem. The only thing worse than a person who hates everything (a liberal), is a person like Joe Buck , with no conviction himself. Just worship whoever is on the field, no matter if they are a crud or not.",0.9739
4,Conman Trump calling this CONCAST..What a moron..,0.0102
5,"I bet if the media stopped talking about the Coronavirus, everything would go back to normal..",0.3553
6,"Fox interviewed Obamacare architect Emanuel today. If you noticed, they let the guy talk, and get his view out. Not like Matthews (I have a tingle in my pants whenever I hear obamas voice). Anyway, Fox was very gracious. Of course Emanuel told the one host he didn't know what he was talking about. A good advocate states facts, not insults. I just wish Fox had asked him if he still agreed with Gruber that most US voters are stupid, and if still thinks we need death courts to weed out the elderly who he says lose their creativity and need our help.",0.9641
7,Told you it be red...,0.0913
8,What exactly is the rationale for CMCSA sitting here at 15 times forward earnings while other cable companies are at 20+ times forward earnings? We have quite a bit of upside in my opinion.,0.6771
9,"Consolidated 3rd Quarter 2019 Highlights:Consolidated Adjusted EBITDA Increased 17.0%Earnings per Share Increased 16.2% to $0.79, on an Adjusted BasisGenerated Free Cash Flow of $2.1 Billion",0.9018
10,Still looking good..,0.0428
11,"Today, the Trump administration has issued an internet lockup, when reporters are given information about economic releases. Apparently, some news organizations, perhaps MSNBC, were giving high speed traders information before it was publicly released. Hopefully this is just the beginning, and anyone working at ABC, NBC, CNN and MSNBC who helped supply information will be indicted soon, and any ill gotten gains ordered returned as restitution.",0.8827
12,"Joe, Monday I'll be corresponding from Florida...",0.6081
13,Check the chart Richard before you set fire to any more of your money.,0.0885
14,"OK, not bad..Could be better..",0.4842
15,Corrupt CNN news Donna Brazil gave Hillary Clinton some of the debate questions during the Trump/ Clinton debates in 2016. CNN is Number one fake news network on television and MSNBC is tied with them. Now dumb AT&T now owns CNN. They better clean up the bias Fake News reporting or they’re going to be sued constantly.,0.8075
16,Why does Comcast/CNBC allow the convicted securities fraud criminal Henry Blodgett on their programs? Talk about ZERO CREDITABILITY!!!,-0.3273
17,comcast has froze hiring for the last month during the acquisition. good time to buy,0.6749
18,Troll muting is fun! I recommend it to anyone looking to filter out right-wing nutjobs that are hellbent on promoting Trump's anti-MSNBC (and therefore anti-CMCSA) propaganda. Those morons are willfully ignorant.,0.642
19,"#1 Fox News dominated the top of the Feb. 2018 cable news rankings in the key audience measurements.Sean Hannity and Tucker Carlson led the way, finishing the month with the two top cable news shows, both in total viewers and among adults 25-54.",0.477
20,Management continues to execute at a high level,0.6392
21,Looks like Green tomorrow,0.3953
22,The virus in the comcast office?,0.5913
23,upgraded to overweight,-0.3649
24,"Mike her dog food she would share not her chicken, when I make eggs in the morning she gets eggs and last night put burgers on the grill and she had a burger. She eats better than humans.",0.928
25,"How about Malcom Jenkins pawing Prescott after a running play yesterday, with Jenkins trying to keep Prescott up, and Prescott getting all indignant. Yeah Jenkins got mad. Maybe one day he'll start using his shoulders for good hits, instead of watching other people tackle, and helping them with his hands. The eagles secondary stinks, but part of that is their line isn't getting near the pressure they did the last 2 years. And what of the comcast sports net reporter who said the jets offensive line was Putrid. Perhaps he is saying today the Eagles are putrid. Proving comcast is a terrible news media for sports, and teams with comcast relationships suffer greatly from their adversarial relationship.",-0.8547
26,Upgrade was announced on CNBC raising PT from $65 to $70.,0.3587
27,"If Obama was truly against global warming, he'd tell his wife to stop flying to California by herself, andto stop burning tons of jet fuel.If Degenres was smart, she'd tell her the same thing.Apparently liberals believe in global warming, but don't want to make any sacrifices they are trying to force the rest of us to make.",0.6045
28,Perfect trap,0.34
29,"13 Hillary phones remain missing. Probably given to countries who gave the most to her foundation, so they could profit from the info on the phones.Like maybe that alleged spy executed, and how Hillary mentioned his code nameon her insecure server. Wonder if that was a reward she made to Iran for a foundationcontribution.",0.6535
30,Two clueless old fools at a game.,-0.6693
31,Hey Bias NBC/ MSNBC Fake News : Sterling Brown did not need two handicapped parking spaces at 2AM in Walgreens drug store parking lot ! Even if he is a Pro Basketball player ! He needs a $300 dollar parking ticket for parking in Handicap parking. He is not handicap or Privileged . HE IS OVERRATED RACISTS ON A PEDESTAL ! Milwaukee Cops getting bad press for doing their job. https://www.jsonline.com/story/news/2018/05/22/bucks-player-who-tased-file-suit-against-milwaukee-police/633051002/,-0.4282
32,"maybe someone (who does not want Comcast to buy sky) behind the scenes is creating mischief in an attempt to sink Comcast's chances of acquiring sky, someone who really does not want Comcast to succeed",0.8696
