,Recent headlines and conversations for COST,Polarity
0,"my hope is we stabilize at 150,,,,",0.6282
1,China population is 1.34 BILLION U.S. 311 million. Costco has plenty of room for expansion.,0.6834
2,The stock market is rampaging. Up 35% in past month. Where is the volume though?,0.5403
3,"Hanging tight around the emotional $300's. If it can pop over this, up hill from here.",0.123
4,COST looks exactly like Chipotle did a few years ago.,0.3483
5,What times the report,0.1776
6,I heard late August for the special dividend.,0.2975
7,Price to book is 9.5ish.... PE 42ish.... Am I missing something? Seems awfully expensive still. Fair price in my eyes would be around $175 per share but that’s miles away.... Might have to put this stock on hold for now,0.7397
8,Memberships up huge.good sign.,0.3502
9,Remember COST always BOUNCES back !!!!!!!!!!!!!!!!!!!!!!!!!!!mark my words !,0.2921
10,Sales doubled passed three months and stimulus and unemployment will be factor in this quarter,-0.5513
11,"This is crazy. Almost a 33 PE ratio for a retail stock. I love this stock, but it is getting stretched too faar and its time for a pullback",0.7587
12,"2 months ago this same stock was $393...,let that sink in",-0.0455
13,"Special dividend?? I don't think so....Costco is all about looking out for employees, members, suppliers, and shareholders. This year it already raised wages for all employees substantially, and already raised the regular dividend, plus committed to plow $4 Billion into it's own stock, so don't think they will tack on a special div this year!",0.9391
14,Retail sales drop will take Costco down to 250. They are not selling anything that give them any margin. They don't make money on toilet paper.,-0.6164
15,BUY on these dips.........................................,0.3391
16,This stock continues to flounder. Over priced and no where to go even when it exceeds expectations.,-0.1653
17,I expect a climb after call,0.3022
18,Only reason its up is because people think the Fed is going to cut rates more. Not trading on fundamentals because it would be $200 max if it was.,-0.0463
19,here is your chance to get back in @ lower prices.Headed to 330.00-340.00,-0.0767
20,think we will see 300??,-0.1262
21,People are panicking buying lots of supply’s from Costco this stock is gonna explode,0.53
22,"Judging from all the bullish sentiments on this board, this stock is sure to fall. Costco is overpriced!",0.6434
23,Another thing to consider is that Costco put a halt to the samples during the pandemic. It has been proven that in sample days the average transaction increase in both number of items and dollar value. Costco going to benefit from reopening as well!!,0.9153
24,COST getting attention from big investors.Targets could be set too low here.,-0.151
25,awesome report... beat estimates .....,0.7105
26,Brace yourselves and expect that the sp might go down tomorrow. Its not because of earnings its because of the trade war. If it goes down just add more because sooner or later it will go back up and beyond $250. Not a matter of if but a matter of when.,0.1232
27,Will traffic in the stores be down over this holiday season due to less large gatherings?,0.1931
28,Nice DIP....... for buy opportunity.,0.7319
29,It’s going up,0.1862
30,210.00-215.00 a BUY,0.3079
31,I am getting tired of this flea called the Costco stock which I purchased for $303 at the onset of the lockdown and it has not made any substantive move. Now there is an earnings miss. I think it is time to get rid of this flea and invest in stocks which look more promising.,0.2564
32,The price needs to drop so I can buy deeps.,-0.0654
33,Sold today at the high will buy again on the pull back before earnings,0.5454
34,"Next week Costco would cross 295.And when the quarterly numbers come out., it will be 330 plus.",0.404
35,The worst thing is it can go to zero!,-0.6415
36,"Like many of you, I've gotten so accustomed to Costco's soaring stock price, that the decrease over the past 2 days (-4.5%) has been concerning. So I wanted to pass along some info that should restore your confidence.First of all, bigger drops occurred in late Oct (-6.3%) and early Nov (-5.4%), but quickly recovered each time. There is no fundamental reason why it shouldn't do so again.Secondly, today's weakness was due to November's sales report (+13.4% comp) which slightly lagged Sep (+15.5%) and Oct (+14.4%). However, November still surpassed all other months in 2020 - and Aug YTD comp was only +8.4%. Since December's ER covers 1Q of FY21, it will be the best quarterly sales gain of any previous fiscal quarter.Finally, a quick review of financials shows Costco's FY20 margins (Gross Margin/Oper Inc/Pretax Inc) were about 10bp better than FY19 or FY18. With the highest-ever quarterly sales, plus improved margins, Costco will report their best earnings in history, by far!Oh, and I also noticed that Costco's increase in paid members has almost doubled in 2020 (+7.8%) from the 2 previous years (+4.5%).",0.9915
37,Sub $300 tomorrow.,-0.3545
38,Should I still buy at this price? Or wait for drop?,0.2559
39,Cost stock has been least down compares to any other tech stock,0.3065
40,"Costco = fun to shop and walk through store. While Sam’s Club has similar layout, why doesn’t it feel the same?",0.7679
41,"To, The Leadership & Management Team of Costco, I will now on stop my membership and purchase in Costco until I see visible and noticeable Green initiatives from Costco that it has been so lagging as compared to Amazon and Walmart. Examples1) EV Charging points at Costco location do not exist and no plans for it announced. Walmart and Whole Foods already have many stores that offer EV charging.2) Warehousing and supply chain in Walmart and Amazon are going green with Electrification of delivery vans, Hydrogen forklifts, etc ramping up at a fast pace. Costco seems to be following old polluting energy technologies and no new plans announced yet.3) There is no clear public announcements on dollar amounts spend on green initiatives. Costco's website mentions few initiatives but seem more like a check mark and essay on procedural improvements with no clear definition on scale of projects. In contrast Amazon and Walmart have announced multiple projects in excess of billions of dollar for green initiatives.4) Costco does not have a published net zero carbon plan. Period.I request every users of Costco who believe in green and sustainable future for our kids and generations, please question, challenge and put pressure on Costco to wake up and show initiative. I will be watching and waiting to see before I resume purchase in Costco again.PS: I never owned Costco stock and neither have any plans in future to own it.",0.9849
42,goingGREEN soon...............................,0.0
43,sfix DROPS 30% AFTER HOUR: COST stock is very vulnerable for big drop !Target $200!,-0.5272
44,We had a great year. lets do it again this year. Long and strong another 28 % year. Sounds good to me.,0.9327
45,310+ after ER.,0.4658
46,"COST's earnings will blow up the lid this afternoon, this is my prediction. I think COST will pass 300 again for good this time.",0.6197
47,"COSTCO'S going to smoke tomorrow.101% up e-commerce besides all other great numbers!!!Costco’s (COST) net sales for the month of August rose 15% to $13.56 billion.Total comparable sales (excluding the impacts from change in gasoline prices and foreign exchange) increased 14.5%, beating analyst expectations.US comparable sales grew 14.3% compared to the same month last year.A standout was e-commerce sales, which grew 101.6% in August compared to the same month last year.",0.7076
48,"$245 by Dec, 14",0.0191
49,why drop everyday?,-0.2556
50,Picked up 500. This will be up $3.00+ tomorrow.,0.3061
51,china conference on trade talk 11pm china time ....few minutes to go,0.7958
52,"How is it that the US, a first-World country that has less than 5% of World population has more than 20% of World deaths due to COVFEFE-45? Just askin'.",0.6146
53,"Just back from Costco. Holy Traffic Jam, Batman! The lot is full and an aux. lot is full. Every register humming. Gas lines six deep waiting. No wonder the stock is ripping. Big upgrade from Citi today. Very important, but I wonder where the analyst was 15 point lower on the dip. New high coming.",0.8199
54,"Costco is a millionaire maker, just hold and don't listen to to loser bashers",-0.5047
55,"@Anna in this 100% sure higher inflationary environment, COST business model is going to get boosted the biggest compared with WMT and TGT! Ppl reselling products from COST wholesale are accelerating worldwide, not just in the US! COST Chinese official website is empowered to satisfy customers throughout the entire country! In January, their new membership numbers are increased by 800%! If 2020 is an unexpected surprise for COST business, ️️️️ is an even huger boom for COST to surge to the next level on schedule!COST is going to announce the increase of their membership fee!",0.978
56,"Online sales soaring , memberships are up huge and sales are through the roof $$$Buy buy buy",0.7098
57,Costco is my most favorite organization. I have been holding their stock since 2008/2009 recession. There is no doubt if an investor considers further investing with more stocks at this price for LT.,0.1519
58,"Merrill, Ameritrade and Schwab special dividend received. E*Trade as of this morning not received.",0.4657
59,BUY the dips here..................Foot traffic increasing by the day.....................,0.4035
60,https://www.cnn.com/interactive/2019/business/stock-market-by-president/index.html,0.0
61,anyone want in better do so..this stock is about to open up,0.6787
62,This will hit 380 this week.,-0.0215
63,"for all you people that believe in low PE go look at WYNN ,,that PE is insane but the stock is up 4 today,,, again,,, so PE is useful in your finance 101 class only",0.8918
64,"Agreed with Bryan,hopefully announcing some time in the second quarter",0.4158
65,Special dividend coming,0.5325
66,We get the $10 bucks + stock appreciation. No brainer Costco is a winner!,0.8212
67,“Costco wins big in China”,0.6125
68,"A retail store with a PE over 30. this is rediculous. 24, tops. wait till everyone drops down their memberships. less traffic. Way overvalued. Great company, line it, but overvalued. I'll buy way cheaper.",0.615
69,"I bought Costco at $150. a share a number of years ago. I bought because I could never find a time when there weren’t line ups. I liked the products and they pay their employees fairly with benefits. I liked the idea of the dividend, too. All those things remain the same. This is a great stock to have and to hold...",0.9501
70,"Look for the DIPS as great entry point............................Targets raised again, average 400-418.00",0.7089
71,stock is going up..you want in. get in now..over $300 next week,0.2279
72,Costco declares a .70 cent dividend for next quarter. Keep up the good work,0.7487
73,No increase in Corporate tax rates while the GOP controls the senate.,-0.527
74,I think they are about to declare the special dividend,0.7023
75,Why is Costco down so much on the back of great July sales numbers? Can’t find anything on a reason . . . .,0.6196
76,"Costco China planning first store. ... Costco currently has 749 warehouses, including 519 in the US and Puerto Rico, 98 in Canada, 38 in Mexico, 28 in the UK, 26 in Japan, 14 in Korea, 13 in Taiwan, nine in Australia, two in Spain, one in Iceland and one in France.",-0.0408
77,This stock is going up $6 minimum after Q4 earnings report.,0.4908
78,Nothing but an excellent company. Stock might provide future rewards.,0.9269
79,I expected it down on great earnings. Membership is key. Maybe that is why it is up.,0.6983
80,Waiting for short sellers to take it lower so I can add more with Special divi.,0.3857
81,"Look for the SILLY dips as buy opportunities , Institutions are loading here, 400+ soon.",0.5631
82,New target365.00,0.089
83,"Loading up on ""weakness"" as the next leg up !",0.4186
84,"COST Sales continue to grow !ISSAQUAH, Wash., May 05, 2021 (GLOBE NEWSWIRE) -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $15.21 billion for the retail month of April, the four weeks ended May 2, 2021, an increase of 33.5 percent from $11.39 billion last year.For the thirty-five weeks ended May 2, 2021, the Company reported net sales of $126.58 billion, an increase of 17.6 percent from $107.64 billion last year.",0.8823
85,"As far as for my book, it is a great earning report. I am buying more after hour.Waited fir this discount sale for a while.People, please read carefully- Earnings: expected $1.61 per share, actual $1.73 per share! Beat !!!!Revenue: expected 34.6 bil, actual 34.31 bil (0.8% difference, almost round error).",0.9768
86,COST and AAPLjust OWN it dont trade it !,0.3367
87,buy costco for raining day,0.186
88,COST has run from 10 to 300 and this Bernstein guy thinks its over? Yawn.,0.3857
89,I hope their monthly sales figures tomorrow will be good.,0.6391
90,Not sure why this is down with good news coming up,0.7363
91,CC link: https://edge.media-server.com/mmc/p/gov88uus,0.3909
92,"Well, I think 150 is out of the question",0.1775
93,"Does appear that Buffet had it correct. Stock is is overvalued at this point in time. Had be down for past three months despite good numbers. Great company, great products. But stock has gotten over valued.",0.8933
94,"$SCKT low profile volcano ready to explode on wednessdays or friday (short deadline) Mobiles { it has Patented $AAPL RF Scanner , $WMT , $COST } this is premium stock high % to barrow and it has big money pumping see $17.46 Monday 9:45 am",0.7752
95,Cost to expand in China is my concern in this ER,0.6757
96,we are almost there........................................get $$$$ ready..................................,0.0282
97,"pre market down...this stock is not what it used to be, has literally gone no place in the last 4 months...and this was one of the busiest places on the planet a few months ago...zero money to be made here",0.1569
98,Every Costco is jammed. Wells Fargo is the most corrupt major bank. Stick it out,0.0037
99,I AM LOSING MY LIFE SAVINGS IN COSTCO!!!,-0.4509
100,Way to go,-0.0163
101,Why the bump today ? News?,0.3013
102,management is spending too much time working on covid-19 rather than managing the business until the stores are enjoyable again it will be flat at best. sold my shares over a month ago and have no plans to repurchase.,0.8816
103,Good post by R a few hours ago. Spot on information!,0.5731
104,Look for COST to offer Covid19 Vaccinations soon at their drugstores !!!!!!!!!!!!!!this will be a HUGE plus on top of the increased sales !,0.8504
105,Tax cuts are HUGE bonus for COST..................................,0.592
106,What a joke this market is.,0.3285
107,holds ok could be much lower today,0.09
108,a good time to buy,0.5394
109,Costco fiscal Q1 EPS $1.45 vs. expectations $1.33.,-0.1675
110,Sales up by 6+% as compared to last year's same period,0.2245
111,why is the stock down so much today?,0.0562
112,3/01/21 Costco Wholesale Corporation raises it's starting wage to $16/hour.#leadnotfollow,0.6613
113,Great defensive stock. Long term holding in portfolio. Only regret not getting in before 213.,0.8579
114,"COST is showing some weaknesses here, probably buyers are waiting to see how far it will drop before start to accumulate again. It seems that day traders reduced their activities too since the volume is very thin. This is a cycle that COST goes thru and next leg up will be strong which will push it up to $162 areas.",0.579
115,I think that 4B offering is showing up,0.2327
116,Pretty scary 6 month chart,0.1955
117,My bright idea: Costco should be acquired by Amazon. I think the Whole Foods addition to Amazon was favorable and made sense. Adding Costco to the family would be a great advance!,0.9549
118,COST should not be down under any circumstances,-0.3417
119,Up almost $20 in just 3 days. Who cares about pensions. Cost is the best stock for retirement lol.,0.9154
120,"ISM is down to the 2008 level.Manufacturing has shrunk for the past 6 months.Soon as corporations start reporting red, and laying off people, stocks will tank instantlyMark my words,,",-0.7448
121,"What is so wrong with having an improving economy with low rates??????rates were this level in 2020, no one complained then.........",-0.6441
122,Instacart seems doing really well in this bear market. Is this benefit to Costco?http://www.gorket.com/2018/04/06/instacart-raises/,0.4311
123,HEY GALIANO...GREAT CEO MOVE INCREASING THE WAGES TO 16...THAT EXTRA BUCK MADE THE DIFFERENCE IN MISSED EARNINGS. BRILLIANT MOVE.,0.7943
124,"I don't really understand the impact of the Amazon deal on Costco. Costco gets the majority of their profits from membership fees, I thought.",0.5615
125,Undervalued !! Time to start accumulating !!,0.335
126,COST and AAPLMUST HAVE as core holdings...............................,0.1258
127,its friday....might as well sell off your costco stock,0.5363
128,People don't return things they will eventually use Judge. That is a wholey insane assumption.,-0.3547
129,"If they are not doing good, they wont pay $16 min wage. It will fly to $400 tomorrow.",0.6581
130,i would rather have cosco just increase their dividends a little,0.455
131,This is the best panic stock out there.,0.5657
132,I think this has been red for 2 months straight now. What is the bottom? $250? $200? Lower?,-0.5659
133,“what looked like a massive earnings beat was actually an earnings miss as the results included a 17 cent a share lift from the new tax reform plan.”,0.8063
134,you guys think this will dip below $300? I know today it got pumped with the stimulus stuff,0.2477
135,Costco has been up 40%+ YTD.,0.5264
136,"I am not happy about Costco taking advantage of consumers during this crisis. They allow business owners to line up early every morning before regular shoppers, and they work in teams to snap up as much as they can buy as quickly as possible, it is a race every day. There are videos showing how this is going, and it is every day as they buy as much as Costco will allow them to buy and they come back every day. Then those small business owners turn around and re-sell those items in their little stores for outrageous prices. I have been trying to buy toilet paper for 3 weeks now, and online, again, shame on Costco, NO toilet paper can be purchased for delivery at least in my near-Las Vegas zip code, per their website. I am losing faith quickly in Costco and this is enough to make me reconsider remaining a member, there seems little value in being a member when they give small business owners this advantage. Also, as much as they have been able to sell these pig merchants, my own purchases are way down because nothing that I truly need can be purchased anymore.",0.9705
137,Amazon is not in competition with Costco................,0.1824
138,We are maintaining our BUY rating on Costco Wholesale Corp. (COST) and raising our target price to $330 from $315,0.7575
139,295 i am in.,-0.0397
140,When is ER,0.5296
141,Up $15 in just 2 trading days!! Soon all will wonder what was behind the past 3 month long sell off that occurred ? Laughable!!!,0.796
142,"I really never looked at costco as a covid stock, but it turns out it was..now that the rules are loosening..costco stays stagnate",0.0131
143,Costco posts strong November sales because AMAZON ISN'T ALL ITS MADE UP TO BE. IT'S ALL FAKE NEWS ADVERTISEMENT TO BOOST THE STOCK PRICE AND MANIPULATE INVESTORS. Costco isn't going anywhere.,0.8699
144,The fear factor has just started. The virus is spreading in the US. There is nothing that the govt can do but shutdown cities and since this is not China it wont happen.,0.2958
145,I knew it would drop with good earnings because the market is a SHAM.,0.329
146,"Amzn + whole foods = winning formula? Somehow I feel it is delusional. Sure Amazon killed a lot of businesses in the past but not everyone. One of them is Best Buy. Especially Amazon is now charging sales tax, and now Best buy can match Amazon's price. So Amazon lost advantage totally there. On whole foods side, it is well-known its price is ridiculous high. In the meantime everybody else are introducing organic foods --- costco, walmart and sams club to name a few. So in a way whole foods is already circumvented by these companies . Don't see how Amazon can change that.",0.9783
147,"a local gas station, major brand has gas at the same price as my local Costco, quite a surprise. 3.69 (87 octane.)",0.8309
148,This is the norm. RED every single day...ZERO support. Retail play is done and is now way overbought...this can only keep going down irregardless of the ER. We will see pandemic lows of $275 really soon I think,0.499
149,Costco had a $420 price target in the past. I stil believe we will hit and pass $420 by early summer,0.0604
150,Why COST AMZN NFLX AAPL are not participating in today’s rally??,-0.3122
151,Opening tomorrow 390,-0.0282
152,With good earnings and expectations. How could this happen? Any ideas?,0.6177
153,keep loadin on dip days till next earnings u wont be dissapointed,0.3977
154,"I just came back from Costco, parking lot was full, lines were long but cahiers worked very efficiently. Customers carts were full and everything always runs smoothly. Employees are paid well, customer returns are always in favor of the consumer, firing on all cylinders looking for a beat next Thursday.",0.9494
155,Costco is only good if they have the products. They were out of some products this past weekend.,0.754
156,I just bought a lot today. I still believe Costco continue to be successful for long time.,0.8362
157,The stock is up 27% YTD. I don’t understand why you all are complaining...,0.7025
158,below 200 before end of nov?,-0.2681
159,Costco would be a huge beneficiary of $2000 checks which look very likely after GA senate results.Republican senate was blocking it vehemently..,0.0746
160,"IMO, this has to retest 341 support. Overbought for now. I am not buyer, but seller.",0.3025
161,"COSTCO is charging the sales tax based on regular price , not the sale price of all items it puts on sale for ONLINE PURCHASES.So if Costco has something on sale from $120 , to sale price of $100, it is still charging SALES TAX for online purchases based on $120.Costco is collecting this tax, is it paying this sales tax or profiting from it?Costco was INFORMED OF THIS OVER 6 months ago and continues to RIP OFF Customers online.",0.9093
162,EPS 1.59 its a BEAT !,0.449
163,Machine traded market !!!!!,0.3147
164,Be cautious with China news. The Chinese are notorious about abusing return policies. Costco may be in for a big surprise. Look at history of other Brick and Mortar foreign companies. Do your own DD.,0.4341
