,Recent headlines and conversations for COST,Polarity
0,I'm waiting for Trump to call Marshal Law to interrupt the Democratic Primary's forestalling the elections.,-0.47
1,Hey shorts - It must be tough to be you right now. But if you think COST will get a one day haircut like NFLX got today FORGET ABOUT IT.,0.504
2,"They beat, earnings was great! This will climb!!",0.8499
3,going down tomorrow. to much bad news in the world. buy in tomorrow,-0.5971
4,looks like this one's just going sideways for a while,0.5895
5,"This is the most losing crowd around. Wenesday you could’ve pick this dog up under 300 and sold today for 308, learn the market.",0.1873
6,cricket cricket,-0.0832
7,"I guess a great earnings report means nothing....the employees haftar wonder "" why work so hard""",0.7459
8,I was getting tired of losing all my cash to the markets so I found these guys that produce one solid stock pick a week. So far their plays have been awesome. Just go to the-stockdork .,0.7296
9,Dead cat bounce and back below $300,-0.6948
10,$160 is in view.,-0.0418
11,"#$%$,,,everyday this stock drops in the after market,, #$%$ is going on,,,is costco that bad of a company stock now and worthless",-0.5963
12,COST & AAPLJust OWN it dont TRADE it !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.5992
13,Costco is the perfect blend of a growth stock & dividend payer! I bought and held 300 at 73.99 in 2012 - it’s my best investment Got in and then out of amazon 189 to 1000I’ve been supremely disappointed in prime for at least two years - shipping is shoddy - mistakes galore - I keep having to email bezos to get any satisfaction - I dumped prime and get better shipping results!Love Costco- :),0.9707
14,BUY before you miss out,0.3886
15,"I've said this before, I'll say it again..this stock is a $295-305 stock..that's it...it spikes to $310... and then drops",0.2519
16,Up 34 cents . Yippee,0.1862
17,"I remember being young out of high-school working at Costco for a while. being in the management office seeing their total sales for the month and profit written on a whiteboard, and what they had to sell to stay positive.swore they were barley breaking even that month I want to say it was like +100,000 profit for a busy canadian costco",0.945
18,COST is in talk to buy OSTK,0.0503
19,I wish I bought more at $352. I hope I get another chance. Was waiting for it to drop under $350 and missed my opportunity. :(,0.5394
20,COST is rocketing higher in pre-market to 181. If it had Amazon's P/E ratio it would be selling for over $1500 per share.,0.1058
21,"a few months ago costco could shake off a bad day, or a weak earnings report..now it will just crumble.",-0.8527
22,PUTS will print big tomorrow morning. It will be an amazing day,0.5743
23,"as a costco share holder, I am furious of they silly policies allowing certain items to be return. Recently they let a woman returned a Christmas tree well after Christmas. https://www.yahoo.com/news/man-irate-costco-lets-woman-214209983.html",0.7218
24,"easy money, QE buys cost",0.0951
25,"SFIO poised to move 2500% or more. It was taken over for it's stock symbol by a much larger corporation. It's basically a soft IPO and at the price, taking advantage is a no brainier. It's easily a $5.00 stock within the next year.",0.8565
26,Going GREEN......................................buyers are coming !,0.1281
27,Gonna be a slow recovery,-0.1046
28,FKFKFKKFFKFK OPTIONS!,0.0
29,"Costco is a terrific company, but CoronaVirus panic buying is the wrong reason to buy COST. This will likely lead to a sales/profit beat in the coming quarter, but will also create a target that can't be best next year.",-0.8591
30,"ENOUGH WITH THESE HOPEFUL WISHES...'STOCK UP, THANK GOD ITS AT THIS RATE ETC ' OH BROTHER. IF COSTCO HAD MEET EARNINGS",0.9052
31,No special dividend this time. Costco is investing their Trump tax break on their employees!! Other companies should follow their lead. I’m still hopeful on a special dividend payout.,0.8965
32,"But they don't seem to have plans to provide delivery or any other services that others such as WMT or AMZN. Yes they have ""buildings and some good locations for the limited market but the chance to be a viable against the two competitors listed will be very difficult for them.My opinion is that they have a ""Nickel & Dime"" management philosophy.",0.6449
33,ACTUAL CONVERSATION LAST VISIT: me to register person: I wasn't able to find [I named a particular high end food product] today but my friend said he just purchased it here recently. him: oh not sure I guess we don't have it then you could go stand in line at a desk over there then ask them I guess. me: uh forget it then. him: OKdo people think this is good or bad for the way Costco runs? lolz,0.9266
34,i guess they even sell costco stock whole sale! I'll take 3 pallets please,0.7045
35,WOWWW I love that drop.,0.4776
36,Time to start buying ,0.3201
37,gettin 1000 @$300,0.0752
38,foolish sellers today.. thank u for your shares..cosco is a rock solid company and i will always be adding on dips.,0.7031
39,Get rid of your puts now if you don't want to go bankrupt,-0.5495
40,"Funny, Costco doing great U.S. & now in China then analyst HAS to find something negative to say! I just laugh & enjoy my growing shares",0.9383
41,boyah....costco is the best... up big tommorow,0.1684
42,All these positive post on earnings and its tanking??,0.3103
43,https://www.marketwatch.com/story/costcos-first-china-warehouse-has-200000-members-blowing-past-the-68000-average-2019-10-04,0.0
44,$300...Friday sell off day,0.1362
45,"A decent report but a pretax charge on Cord-19 was not liked by the Street.Sept 24 (Reuters) - Costco Wholesale Corp ( COST ) reported a 27% jump in quarterly profit on Thursday, boosted by strong demand for foods, electronics and gardening and sporting products during the COVID-19 pandemic.Net income attributable to the company rose to $1.39 billion, or $3.13 per share, in the fourth quarter ended Aug. 30, from nearly $1.10 billion, or $2.47 per share, a year earlier.Total revenue rose to $53.38 billion from about $47.50 billion, exceeding the average expectation of $52.08 billion, according to IBES data from Refinitiv.",0.9891
46,If you dont want to wear a mask take a hike.,0.0753
47,"#$%$ COSTCO! I LITERALLY DROVE DOWN TO MY CLOSEST COSTCO, TOOK A MASSIVE NUMBER 2 AND DID NOT FLUSH!!!!!!!",0.3139
48,"Do not panic, time to add more!",-0.3319
49,Trump haters are socialist who should not own any stocks.,-0.291
50,Nonsense reaction to earnings. lol,0.0442
51,under 300.00 aBUY,-0.0616
52,$COST Upgraded by Wells Fargo Equal Weight » Overweight USD 340 » USD 370,-0.6705
53,Middle class loves them hot dogs,0.6528
