,Recent headlines and conversations for COST,Polarity
0,BRIEF-Outgoing Sabadell's CFO Expects A Lower Cost Of Risk In 2021,-0.4108
1,Browns release defensive tackle Sheldon Richardson in cost-saving moveNate Ulrich,0.0935
2,Costco Wholesale Corp. stock underperforms Friday when compared to competitors,0.5823
3,"Lazard Freres Gestion S.A.S. Buys Visa Inc, Wells Fargo, Costco Wholesale Corp, Sells Johnson ...",0.8054
4,Costco (COST) Outpaces Stock Market Gains: What You Should Know,0.5973
5,Why the Lakers need to avoid the NBA play-in tournament at all cost,-0.3189
6,BRIEF-Santander's CEO Expects To Accelerate Cost-Cutting Measures In The UK,0.352
7,Final Four: Did late call on UCLA's Johnny Juzang cost Bruins the game against Gonzaga?Scott Gleeson,-0.1897
8,BRIEF-Santander's CEO Says Dividend Can Help Reducing Cost of Capital,0.5561
9,"Verition Fund Management LLC Buys Costco Wholesale Corp, Western Digital Corp, SPDR Portfolio ...",0.7812
10,SURVEY-12th Annual Cost of Compliance Survey,0.5366
11,"Will Biden cancel student loan debt? As college costs spiral, here’s what he’s consideringJeanine Santucci",-0.665
12,"Costco, Walmart lead job pay hikes, perks to lure workers",0.0213
13,"GMC reveals Hummer EV SUV: What it will cost, includeJamie L. LaReau",-0.0481
14,Costco (COST) Dips More Than Broader Markets: What You Should Know,0.0436
15,This 'Shark Tank' toy subscription costs almost $300—is it worth it?,-0.2956
16,"7 Companies Jumping on the $15 Minimum Wage Train: UA, CMG, AMZN, TGT, COST, BAC, BBY",0.1219
17,What to do if you can't afford your mortgage's closing costsMaurie Backman,-0.2241
18,Costco Wholesale's April Sales Climb 34%,0.3027
19,Costco raises dividend by more than 12% to 79 cents,0.2028
20,Better Buy: Amazon vs. Costco,0.5972
21,Better Buy: Costco vs. Target,0.4391
22,COVID-19 pandemic cost Atlantic City casinos more than 80% of their profits in 2020Wayne Parry,0.4902
23,Twitter poll: Parents are balancing college costs with everyday expenses,0.4525
24,Democrats seek narrow path to rein in cost of prescription drugsRicardo Alonso-Zaldivar,-0.0316
25,Costco Wholesale Corp. stock underperforms Wednesday when compared to competitors,0.5444
26,"First Foundation Advisors Buys Costco Wholesale Corp, Linde PLC, Intel Corp, Sells Apple Inc, ...",0.7152
27,"Managing portfolio risk: Sticking to bonds could cost you almost $600,000Maurie Backman",-0.098
28,"BRIEF-Bankia Expects Cost Of Risk To Peak In 2020, 2021, Should Stabilize In 2022",-0.1613
29,"Costco's April sales rise 34%, but online sales slow down",-0.4335
30,Costco Wholesale Corporation Reports April Sales Results,0.6633
31,NHL playoffs: Bryan Rust's late penalty almost cost Penguins; Golden Knights finally scoreMike Brehm,-0.3169
32,"Underestimating health care costs in retirement? Average out-of-pocket medical expenses was $295K, study indicates.Christy Bieber",0.7003
33,BRIEF-Santander's CFO Does Not Foresee Worsening Of Cost Of Credit In Brazil,0.1317
34,"Twin Lakes Capital Management, LLC Buys Costco Wholesale Corp, American Express Co, VMware Inc, ...",0.7114
35,Russia's two-shot Sputnik V vaccine to cost less than $20 per person - statement,0.8153
36,Costco Raises Quarter Dividend to 79 Cents/Share,0.1505
37,Utah dads will be required to pay half of pregnancy costs under new lawSophia Eppolito,-0.121
38,"Odey Holdings AG Buys Charles Schwab Corp, Costco Wholesale Corp, Barrick Gold Corp, Sells ...",0.7675
39,BRIEF-Bankia's CFO Expects Bank To Finish 2020 With Cost Of Risk Of Around 81 BPS,-0.3112
40,Why Costco is secretly a winner from Colonial Pipeline shutdown fueled gas lines,0.8295
41,Falcons hope low-cost free agent class will make big splash,0.7846
42,"Oak Grove Capital LLC Buys Advanced Micro Devices Inc, Costco Wholesale Corp, II-VI Inc, Sells ...",0.7338
43,"Trust Co Of Virginia Buys Linde PLC, Blackstone Group Inc, Costco Wholesale Corp, Sells ...",0.8447
44,Costco's Sales Surge Again in April,0.2971
45,Better Buy: Costco vs. Dollar General,0.4597
46,Costco Wholesale Corp. stock outperforms market on strong trading day,0.8809
47,"Baird Financial Group, Inc. Buys Costco Wholesale Corp, iShares Core MSCI Emerging Markets ETF, ...",0.6335
48,"Absher Wealth Management, Llc Buys M&T Bank Corp, PepsiCo Inc, Costco Wholesale Corp, Sells ...",0.8324
49,Costco (COST) Gains But Lags Market: What You Should Know,-0.0695
50,Better Buy: Costco vs. Jumia,0.4911
51,TGT vs. COST: Which Stock Is the Better Value Option?,0.7192
52,Suez Canal trapped cargo ship is costing the world about $400M an hourBuzz60,-0.4771
53,Costco Wholesale Corporation Announces an Increase in Its Quarterly Cash Dividend,0.7798
54,Suez Canal blockage: Captain of Ever Given not aiding probe; calamity's cost tops $1BJohn Bacon,0.194
55,"Grimes & Company, Inc. Buys Costco Wholesale Corp, PerkinElmer Inc, Consumer Discretionary ...",0.193
56,I drive 4 hours and spend $500 for every Costco trip. Here are 16 things I always stock up on.,0.5435
57,"The Zacks Analyst Blog Highlights: United Parcel Service, 3M, Texas Instruments, Costco and Advanced Micro Devices",0.6149
58,Opinion: Baylor-Gonzaga men's title game shows why NCAA Tournament must be preserved at all costs,0.122
59,"Shell Asset Management Co Buys Cerner Corp, Charles Schwab Corp, Costco Wholesale Corp, Sells ...",0.792
60,Why Costco could be a winner in the national gas shortage,0.5965
61,"Citizens National Bank Trust Department Buys Costco Wholesale Corp, Qualcomm Inc, Adobe Inc, ...",0.8353
62,Costco sales top $18 billion in March,0.1444
63,"Stenahm Asset Managment Ltd Buys Costco Wholesale Corp, Autodesk Inc, Taiwan Semiconductor ...",0.7648
64,Costco lands higher price target from Argus ahead of earnings,0.1496
65,Costco testing curbside pickup in Albuquerque,0.205
66,Costco is running out of some cheese. The reason why is complicated,0.1403
67,"Costco misses fiscal Q2 expectations, pinning it on higher wages",-0.1263
68,Why Costco may actually still win long after the pandemic ends,0.7972
69,NBA 'bubble' cost over $150 million - report,0.1312
70,Costco stock may surprise if the company hikes membership fees in fall 2022,0.2896
