,Recent headlines and conversations for COST,Polarity
0,Costco Sales Rise 15% in Latest Quarter — Update,-0.031
1,Costco testing curbside pickup in Albuquerque,0.205
2,Retirement costs: Estimating what it costs to retire comfortably in every stateSamuel Stebbins,0.3472
3,BRIEF-Outgoing Sabadell's CFO Expects A Lower Cost Of Risk In 2021,-0.4108
4,Russia's two-shot Sputnik V vaccine to cost less than $20 per person - statement,0.8153
5,'Superhero' women have been juggling it all during the pandemic. But it comes at a cost.Sara M Moniuszko,0.0465
6,How much does that tweet cost? Twitter's new Super Followers feature to give users a chance to a make profitTerry Collins,0.8146
7,BRIEF-Santander's CEO Says Dividend Can Help Reducing Cost of Capital,0.5561
8,Draymond Green's late blow-up costs Warriors as Terry Rozier hits buzzer-beater for Hornets,-0.207
9,Fact check: No evidence to support online claims impeachment cost $33 millionDevon Link,0.2762
10,Is Costco Stock a Buy?,0.3115
11,NBA 'bubble' cost over $150 million - report,0.1312
12,"Short selling, penny stocks, leveraged ETFs: Here are 3 risky investments that could cost youKatie Brockman",-0.6382
13,Why Costco may actually still win long after the pandemic ends,0.7972
14,Don't Worry About Costco's Earnings Miss,0.2446
15,"Costco Posts Higher 2Q Profit, Sales on Pandemic Boost",0.7503
16,SURVEY-12th Annual Cost of Compliance Survey,0.5366
17,"Costco to Raise Minimum Hourly Wage to $16, as Congress Debates $15",-0.1266
18,Winter weather: How to keep dogs safe in frigid temperatures (and how much it will cost)Brett Molina,0.5186
19,BRIEF-Santander's CEO Expects To Accelerate Cost-Cutting Measures In The UK,0.352
20,"If You Invested $1,000 in Costco's IPO, This Is How Much Money You'd Have Now",0.3947
21,Xhaka's blunder costs Arsenal in 1-1 draw with Burnley,-0.021
22,BRIEF-EDF Confirms Company Is Working On A Cost Cutting Plan,0.1479
23,"Costco misses fiscal Q2 expectations, pinning it on higher wages",-0.1263
24,Costco Sales Rise 15% in Latest Quarter,-0.0297
25,Take these 5 steps to monitor and reduce your heating costs,-0.0018
26,Democrats say calling witnesses in Trump impeachment trial could have cost them GOP votesWilliam Cummings,0.4352
27,"Costco raises its minimum wage above rivals like Amazon, Target and Best Buy",0.8774
28,"Oracle, Costco, FedEx, NIKE and JPMorgan are part of Zacks Earnings Preview",0.3592
29,Better Buy: Costco vs. GameStop,0.4911
30,The Worst Mistake Costco Investors Can Make Right Now,-0.7415
31,1 Thing Costco Does Better Than Anyone Else,0.5087
32,20 Ways to Pay Less at Costco,-0.1139
33,Costco may be 'poised' to increase membership fees,0.3611
34,The Razer Book 13 has a gorgeous design at a cost,0.624
35,Cost of a single Bitcoin exceeds $50k for first time. Here's how it works and came to be.Matt Ott,0.2534
36,Costco is running out of some cheese. The reason why is complicated,0.1403
37,Costco Wholesale Corporation Reports Second Quarter and Year-to-Date Operating Results for Fiscal 2021 and February Sales Results,0.6387
38,Capitol fencing built after riot to cost at least $19 million through March as lawmakers debate futureNicholas Wu,-0.4906
39,5 Standout Metrics From Costco's Latest Earnings Report,0.3126
40,Gannett beats estimates for its 4Q results amid growing digital subscriptions and lower costsNathan Bomey,-0.7752
41,"Costco Wholesale Corp. stock rises Friday, outperforms market",0.7631
42,Study: Lack of diversity in Hollywood costs industry $10BJake Coyle,0.0575
43,"Costco Wholesale Corp. stock falls Thursday, underperforms market",0.5126
44,"The Zacks Analyst Blog Highlights: Mastercard, NVIDIA, Costco, Disney and Bristol-Myers Squibb",0.0317
45,Costco to Raise Minimum Hourly Wage to $16 — Update,-0.0393
46,BRIEF-Santander's CFO Does Not Foresee Worsening Of Cost Of Credit In Brazil,0.1317
47,"Disneyland to reopen for Californians; Latino vaccinations lag in Texas; FEMA could help pay for funeral costs: Live COVID-19 updatesJohn Bacon, Jorge L. Ortiz and Elinor Aspegren",-0.187
48,Costco's Earnings Miss Is Almost All About Gas,0.0177
