,Recent headlines and conversations for CRM,Polarity
0,BRIEF-Geniee to take over development and sales business of CRM and SFA system for small and medium-sized companies,0.0418
1,BRIEF-‍Eastplats completes settlement regarding CRM share purchase agreement,0.8553
2,BRIEF-Caltex Australia Posts Feb CRM US$4.14/BBL,-0.0289
3,SAP aims to double CRM business in two years - sales chief,-0.046
4,"BRIEF-Zoho announces sales navigator for Zoho CRM, through new partnership with Linkedin​",0.6215
5,Salesforce.com (CRM) Reports Next Week: Wall Street Expects Earnings Growth,0.5178
6,BRIEF- Alphax Food System says acquisition of CRM business from Unity Marketing Solutions,0.6571
7,Buy Salesforce (CRM) Stock on the Dip Before Q1 Earnings?,0.4963
8,Salesforce.com Inc (CRM) President and CFO Amy E Weaver Sold $1.9 million of Shares,0.5265
9,BRIEF-Microport Scientific's unit buys CRM business from Livanova,0.4251
10,Factors Setting the Tone for Salesforce's (CRM) Q1 Earnings,0.2739
11,BRIEF-SAP CEO says investors underestimate its CRM and database moves,0.4424
12,UPDATE 1-SAP aims to double CRM business in two years - sales chief,-0.2303
13,BRIEF-Coheris: Vranken Pommery Chooses Coheris CRM Nomad And Coheris Analytics Liberty Solutions‍​,0.5417
14,Salesforce.com (CRM) Dips More Than Broader Markets: What You Should Know,0.0436
